cell_id,operation,ranks,true_bytes,measured_ps,attempt_0004_prediction_ps,attempt_0004_relative_error,attempt_0005_prediction_ps,attempt_0005_relative_error,arithmetic_prediction_ps,arithmetic_relative_error,final_prediction_ps,final_relative_error,passed,rule
half/all_gather/r2/i01,all_gather,2,1024,5310000,5190640,0.02247834274952919,5274928,0.006604896421845574,5280000,0.005649717514124294,5280000,0.005649717514124294,True,geometric-symmetric-operation-anchor+paired-training-trough
half/all_gather/r2/i03,all_gather,2,4096,5380000,5553102,0.03217509293680297,5461505,0.015149628252788105,5411667,0.0058860594795539034,5410515,0.005671933085501859,True,geometric-symmetric-operation-anchor
half/all_gather/r2/i05,all_gather,2,16384,5780000,7002951,0.21158321799307958,6271667,0.08506349480968858,5843334,0.010957439446366781,5841051,0.010562456747404844,True,geometric-symmetric-operation-anchor
half/all_gather/r2/i07,all_gather,2,65536,6240000,6083477,0.025083814102564102,6124291,0.018543108974358975,6055000,0.029647435897435896,6054751,0.029687339743589742,True,geometric-symmetric-operation-anchor
half/all_gather/r2/i09,all_gather,2,262144,7020000,7079278,0.008444159544159544,7420415,0.05703917378917379,7143334,0.01756894586894587,7143023,0.017524643874643874,True,geometric-symmetric-operation-anchor
half/all_gather/r2/i11,all_gather,2,1048576,10960000,11062483,0.009350638686131387,10899199,0.005547536496350365,10690000,0.024635036496350366,10685505,0.025045164233576642,True,geometric-symmetric-operation-anchor
half/all_gather/r2/i13,all_gather,2,4194304,26500000,26995303,0.018690679245283018,29431424,0.11061977358490566,28317436,0.06858249056603774,28314698,0.06847916981132075,True,geometric-symmetric-operation-anchor+above-floor-transition
half/all_gather/r2/i15,all_gather,2,16777216,54000000,52915003,0.020092537037037037,52079050,0.035573148148148145,51961667,0.03774690740740741,51928307,0.03836468518518518,True,geometric-symmetric-operation-anchor
half/all_gather/r2/i17,all_gather,2,67108864,156380000,152183087,0.02683791405550582,163668725,0.04660906126103082,160348334,0.025376224581148483,160288456,0.02499332395446988,True,geometric-symmetric-operation-anchor
half/all_gather/r2/i19,all_gather,2,268435456,546520000,549255423,0.005005165410232013,505923416,0.07428197321232526,561981667,0.02829112749762131,561530738,0.02746603600966113,True,geometric-symmetric-operation-anchor
half/all_gather/r4/i01,all_gather,4,1024,7160000,7057589,0.014303212290502793,6959137,0.028053491620111733,7100000,0.008379888268156424,7100000,0.008379888268156424,True,geometric-symmetric-operation-anchor+paired-training-trough
half/all_gather/r4/i03,all_gather,4,4096,7240000,7221810,0.0025124309392265194,7333149,0.012865883977900552,7273334,0.004604143646408839,7273331,0.004603729281767956,True,geometric-symmetric-operation-anchor
half/all_gather/r4/i05,all_gather,4,16384,8360000,7878691,0.05757284688995215,8107090,0.030252392344497607,7773334,0.07017535885167464,7772647,0.07025753588516746,True,geometric-symmetric-operation-anchor
half/all_gather/r4/i07,all_gather,4,65536,8770000,10506216,0.1979721778791334,9188870,0.04776168757126568,8488334,0.0321169897377423,8481184,0.03293226909920183,True,geometric-symmetric-operation-anchor
half/all_gather/r4/i09,all_gather,4,262144,8970000,9623684,0.07287447045707915,9200362,0.02568138238573021,9043334,0.008175473801560758,9024500,0.006075808249721293,True,geometric-symmetric-operation-anchor
half/all_gather/r4/i11,all_gather,4,1048576,13540000,13597624,0.004255834564254062,11902522,0.12093633677991138,12628334,0.06733131462333826,12594166,0.06985480059084195,True,geometric-symmetric-operation-anchor
half/all_gather/r4/i13,all_gather,4,4194304,35770000,29493384,0.17547151244059267,42760018,0.19541565557729942,36527693,0.021182359519150127,36364122,0.016609505171931785,True,geometric-symmetric-operation-anchor+above-floor-transition
half/all_gather/r4/i15,all_gather,4,16777216,64400000,63965422,0.006748105590062112,57595151,0.10566535714285714,60998334,0.052820900621118015,60910174,0.05418984472049689,True,geometric-symmetric-operation-anchor
half/all_gather/r4/i17,all_gather,4,67108864,191240000,182684335,0.04473784250156871,196375262,0.02685244718678101,187913334,0.01739524158125915,187889279,0.017521025935996654,True,geometric-symmetric-operation-anchor
half/all_gather/r4/i19,all_gather,4,268435456,660790000,657559989,0.004888105146869656,602276254,0.08855119780868355,660256667,0.0008071142117768126,660211611,0.0008752992630033748,True,geometric-symmetric-operation-anchor
half/all_gather/r8/i01,all_gather,8,1024,10310000,10342819,0.0031832201745877788,11646645,0.1296454898157129,11020000,0.06886517943743937,10997746,0.0667066925315228,True,geometric-symmetric-operation-anchor
half/all_gather/r8/i03,all_gather,8,4096,11460000,10851064,0.05313577661431065,9784300,0.14622164048865618,10530000,0.08115183246073299,10530000,0.08115183246073299,True,geometric-symmetric-operation-anchor+paired-training-trough
half/all_gather/r8/i05,all_gather,8,16384,13340000,12884042,0.03417976011994003,12966315,0.028012368815592204,12065000,0.09557721139430285,12027145,0.09841491754122939,True,geometric-symmetric-operation-anchor
half/all_gather/r8/i07,all_gather,8,65536,14820000,21015954,0.4180805668016194,18299815,0.234805330634278,14518334,0.020355330634278003,14492939,0.02206889338731444,True,geometric-symmetric-operation-anchor
half/all_gather/r8/i09,all_gather,8,262144,17710000,14231569,0.19641055900621118,13135061,0.25832518351214,16602565,0.06253162055335969,16602565,0.06253162055335969,True,geometric-symmetric-operation-anchor+paired-training-trough+whole-completion-transition
half/all_gather/r8/i11,all_gather,8,1048576,18650000,17321997,0.07120659517426274,17861324,0.04228825737265415,17028334,0.08695260053619303,17028234,0.08695796246648793,True,geometric-symmetric-operation-anchor
half/all_gather/r8/i13,all_gather,8,4194304,35800000,29683709,0.17084611731843574,33487778,0.06458720670391062,35942394,0.003977486033519553,35924221,0.0034698603351955306,True,geometric-symmetric-operation-anchor+above-floor-transition
half/all_gather/r8/i15,all_gather,8,16777216,66520000,79130559,0.18957545099218281,76011324,0.14268376428141913,69821667,0.04963420024052916,69817292,0.04956843054720385,True,geometric-symmetric-operation-anchor
half/all_gather/r8/i17,all_gather,8,67108864,207640000,208059677,0.002021176073974186,214197596,0.03158156424581006,206211667,0.006878891350414178,206189086,0.0069876420728183395,True,geometric-symmetric-operation-anchor
