family,instance,status,measured_ps,before_ps,calibrated_ps,before_relative_error,after_relative_error,observed,lower_bound,upper_bound,passed
H,half/all_gather/r2/i01,PASS,5310000,2000,5190640,0.9996233521657251,0.02247834274952919,0.02247834274952919,0,0.1,True
H,half/all_gather/r2/i03,PASS,5380000,5000,5553102,0.9990706319702602,0.03217509293680297,0.03217509293680297,0,0.1,True
H,half/all_gather/r2/i05,FAIL,5780000,19000,7002951,0.9967128027681661,0.21158321799307958,0.21158321799307958,0,0.1,False
H,half/all_gather/r2/i07,PASS,6240000,73000,6083477,0.9883012820512821,0.025083814102564102,0.025083814102564102,0,0.1,True
H,half/all_gather/r2/i09,PASS,7020000,292000,7079278,0.9584045584045584,0.008444159544159544,0.008444159544159544,0,0.1,True
H,half/all_gather/r2/i11,PASS,10960000,1166000,11062483,0.8936131386861313,0.009350638686131387,0.009350638686131387,0,0.1,True
H,half/all_gather/r2/i13,PASS,26500000,4661000,26995303,0.8241132075471698,0.018690679245283018,0.018690679245283018,0,0.1,True
H,half/all_gather/r2/i15,PASS,54000000,18642000,52915003,0.6547777777777778,0.020092537037037037,0.020092537037037037,0,0.1,True
H,half/all_gather/r2/i17,PASS,156380000,74566000,152183087,0.5231743189666198,0.02683791405550582,0.02683791405550582,0,0.1,True
H,half/all_gather/r2/i19,PASS,546520000,298262000,549255423,0.4542523603893728,0.005005165410232013,0.005005165410232013,0,0.1,True
H,half/all_gather/r4/i01,PASS,7160000,3000,7057589,0.9995810055865921,0.014303212290502793,0.014303212290502793,0,0.1,True
H,half/all_gather/r4/i03,PASS,7240000,9000,7221810,0.998756906077348,0.0025124309392265194,0.0025124309392265194,0,0.1,True
H,half/all_gather/r4/i05,PASS,8360000,30000,7878691,0.9964114832535885,0.05757284688995215,0.05757284688995215,0,0.1,True
H,half/all_gather/r4/i07,FAIL,8770000,111000,10506216,0.9873432155074117,0.1979721778791334,0.1979721778791334,0,0.1,False
H,half/all_gather/r4/i09,PASS,8970000,438000,9623684,0.9511705685618729,0.07287447045707915,0.07287447045707915,0,0.1,True
H,half/all_gather/r4/i11,PASS,13540000,1749000,13597624,0.8708271787296898,0.004255834564254062,0.004255834564254062,0,0.1,True
H,half/all_gather/r4/i13,FAIL,35770000,6993000,29493384,0.8045009784735813,0.17547151244059267,0.17547151244059267,0,0.1,False
H,half/all_gather/r4/i15,PASS,64400000,27963000,63965422,0.5657919254658386,0.006748105590062112,0.006748105590062112,0,0.1,True
H,half/all_gather/r4/i17,PASS,191240000,111849000,182684335,0.4151380464338005,0.04473784250156871,0.04473784250156871,0,0.1,True
H,half/all_gather/r4/i19,PASS,660790000,447393000,657559989,0.3229422358086533,0.004888105146869656,0.004888105146869656,0,0.1,True
H,half/all_gather/r8/i01,PASS,10310000,7000,10342819,0.9993210475266732,0.0031832201745877788,0.0031832201745877788,0,0.1,True
H,half/all_gather/r8/i03,PASS,11460000,14000,10851064,0.9987783595113437,0.05313577661431065,0.05313577661431065,0,0.1,True
H,half/all_gather/r8/i05,PASS,13340000,35000,12884042,0.9973763118440779,0.03417976011994003,0.03417976011994003,0,0.1,True
H,half/all_gather/r8/i07,FAIL,14820000,133000,21015954,0.9910256410256411,0.4180805668016194,0.4180805668016194,0,0.1,False
H,half/all_gather/r8/i09,FAIL,17710000,511000,14231569,0.9711462450592885,0.19641055900621118,0.19641055900621118,0,0.1,False
H,half/all_gather/r8/i11,PASS,18650000,2044000,17321997,0.890402144772118,0.07120659517426274,0.07120659517426274,0,0.1,True
H,half/all_gather/r8/i13,FAIL,35800000,8162000,29683709,0.7720111731843575,0.17084611731843574,0.17084611731843574,0,0.1,False
H,half/all_gather/r8/i15,FAIL,66520000,32627000,79130559,0.5095159350571257,0.18957545099218281,0.18957545099218281,0,0.1,False
H,half/all_gather/r8/i17,PASS,207640000,130494000,208059677,0.3715372760547101,0.002021176073974186,0.002021176073974186,0,0.1,True
H,half/all_gather/r8/i19,PASS,722100000,521962000,720447679,0.27716105802520424,0.002288216313529982,0.002288216313529982,0,0.1,True
H,half/reduce_scatter/r2/i00,PASS,5260000,1000,5327781,0.999809885931559,0.012886121673003802,0.012886121673003802,0,0.1,True
H,half/reduce_scatter/r2/i02,PASS,5280000,3000,5344678,0.9994318181818181,0.012249621212121212,0.012249621212121212,0,0.1,True
H,half/reduce_scatter/r2/i04,PASS,5570000,10000,5412266,0.9982046678635548,0.028318491921005388,0.028318491921005388,0,0.1,True
H,half/reduce_scatter/r2/i06,PASS,6070000,37000,5682618,0.9939044481054365,0.06381911037891269,0.06381911037891269,0,0.1,True
H,half/reduce_scatter/r2/i08,PASS,6170000,146000,6764027,0.9763371150729335,0.09627666126418152,0.09627666126418152,0,0.1,True
H,half/reduce_scatter/r2/i10,PASS,8200000,583000,8266667,0.9289024390243903,0.008130121951219512,0.008130121951219512,0,0.1,True
H,half/reduce_scatter/r2/i12,PASS,15100000,2331000,14606667,0.8456291390728476,0.03267105960264901,0.03267105960264901,0,0.1,True
H,half/reduce_scatter/r2/i14,PASS,31360000,9321000,32566746,0.7027742346938776,0.03848042091836735,0.03848042091836735,0,0.1,True
H,half/reduce_scatter/r2/i16,PASS,91690000,37283000,87047686,0.59337986694296,0.050630537681317485,0.050630537681317485,0,0.1,True
H,half/reduce_scatter/r2/i18,PASS,304820000,149131000,304971447,0.5107571681648185,0.0004968407584804147,0.0004968407584804147,0,0.1,True
H,half/reduce_scatter/r2/i20,PASS,1094320000,596524000,1176666489,0.45489070838511586,0.0752490030338475,0.0752490030338475,0,0.1,True
H,half/reduce_scatter/r4/i00,PASS,7130000,3000,7416960,0.9995792426367461,0.0402468443197756,0.0402468443197756,0,0.1,True
H,half/reduce_scatter/r4/i02,PASS,7090000,6000,7423303,0.9991537376586742,0.04701029619181946,0.04701029619181946,0,0.1,True
H,half/reduce_scatter/r4/i04,PASS,7260000,15000,7448677,0.9979338842975206,0.025988567493112947,0.025988567493112947,0,0.1,True
H,half/reduce_scatter/r4/i06,PASS,8060000,57000,7550170,0.9929280397022332,0.06325434243176178,0.06325434243176178,0,0.1,True
H,half/reduce_scatter/r4/i08,PASS,8040000,219000,7956143,0.9727611940298507,0.01042997512437811,0.01042997512437811,0,0.1,True
H,half/reduce_scatter/r4/i10,PASS,9800000,876000,9580035,0.9106122448979592,0.022445408163265308,0.022445408163265308,0,0.1,True
H,half/reduce_scatter/r4/i12,FAIL,18380000,3498000,16075604,0.8096844396082699,0.1253751904243743,0.1253751904243743,0,0.1,False
H,half/reduce_scatter/r4/i14,PASS,39250000,13983000,41100000,0.6437452229299363,0.04713375796178344,0.04713375796178344,0,0.1,True
H,half/reduce_scatter/r4/i16,FAIL,102190000,55926000,90960000,0.45272531558860946,0.10989333594285156,0.10989333594285156,0,0.1,False
H,half/reduce_scatter/r4/i18,PASS,348540000,223698000,349936667,0.358185574109141,0.00400719286165146,0.00400719286165146,0,0.1,True
H,half/reduce_scatter/r4/i20,PASS,1292600000,894786000,1304036667,0.307762648924648,0.008847800557016866,0.008847800557016866,0,0.1,True
H,half/reduce_scatter/r8/i00,PASS,11910000,7000,10840795,0.9994122586062133,0.08977371956339211,0.08977371956339211,0,0.1,True
H,half/reduce_scatter/r8/i02,PASS,10410000,7000,10903321,0.9993275696445725,0.047389145052833814,0.047389145052833814,0,0.1,True
H,half/reduce_scatter/r8/i04,FAIL,12580000,21000,11153426,0.9983306836248013,0.11340015898251192,0.11340015898251192,0,0.1,False
H,half/reduce_scatter/r8/i06,PASS,13330000,70000,12153848,0.994748687171793,0.08823345836459115,0.08823345836459115,0,0.1,True
H,half/reduce_scatter/r8/i08,FAIL,13390000,259000,16155536,0.9806572068707992,0.20653741598207617,0.20653741598207617,0,0.1,False
H,half/reduce_scatter/r8/i10,FAIL,12190000,1022000,14278781,0.9161607875307629,0.17135200984413454,0.17135200984413454,0,0.1,False
H,half/reduce_scatter/r8/i12,PASS,21260000,4081000,20873053,0.8080432737535278,0.018200705550329255,0.018200705550329255,0,0.1,True
H,half/reduce_scatter/r8/i14,PASS,44430000,16317000,47250144,0.6327481431465226,0.06347386900742741,0.06347386900742741,0,0.1,True
H,half/reduce_scatter/r8/i16,PASS,111150000,65247000,112937190,0.4129824561403509,0.016079082321187585,0.016079082321187585,0,0.1,True
H,half/reduce_scatter/r8/i18,PASS,376840000,260981000,374669068,0.30744878463008174,0.005760885256342214,0.005760885256342214,0,0.1,True
H,half/reduce_scatter/r8/i20,PASS,1394160000,1043917000,1421596581,0.25122152407184256,0.019679650111895333,0.019679650111895333,0,0.1,True
B,byte-exact-bypass,PASS,,,,,,1,1,1,1
D8,ep-8-quotient,REFUTED,,,,,,1.1091430503889075,0.9,1.1,0
M,supported-metric-chain,PASS,,,,,,1,1,1,1
W,wall-time-seconds,PASS,,,,,,358.23272075131536,0,600.0,1
