operation,ranks,regime_index,lower_bytes,upper_bytes,floor_ps,floor_us,slope_ps_per_byte,slope_ps_per_byte_float,effective_bandwidth_bytes_per_second,effective_bandwidth_gb_per_second,fit_role
all_gather,2,0,512,65535,6931784548769119715344973204532083722182/114978748463241295280714527171895,60.287528272976566,16191606500511795894899522513820010657/125096878328006529265417405563021760,129.43253834086153,125096878328006529265417405563021760000000000000/16191606500511795894899522513820010657,7.726032517159577,training
all_gather,2,1,65536,786431,9917118901376941607138286736797059450448750294276733065557103090501548476844727416831718/154721249556860635674776835818498767528010659088507041209647695342785262399489249,64.09668309802761,111181818354934405094029944174967105090535186439979819598996009354876348855792034816141/5069905905479209309791087356100567614357853277012198726357735680992387478306463711232,21.92975972882981,5069905905479209309791087356100567614357853277012198726357735680992387478306463711232000000000000/111181818354934405094029944174967105090535186439979819598996009354876348855792034816141,45.600134810658986,training
all_gather,2,2,786432,67108864,113927444270766441060170271679625904928436548122173205310025415085601379629611900260749029281720197881833442197451304096010426463379125304207108829521161879465882632/1382511400838147456796626903167338751473738855052874146704088484489598921625066450479173891361708508439420744857156930509756816233625160797092651394164788577,82.4061517335032,923370542329728359853318864794551459830613377364757510923185501135793489886600990179665319288810932837080517125047419246013232832599567826344344933804193544603009/90604267165328831728623740725974712416582949604745160078399142919510354927620354898603140144280928809085877934958636597887422708686858537998264001767983584182272,10.191247843159763,90604267165328831728623740725974712416582949604745160078399142919510354927620354898603140144280928809085877934958636597887422708686858537998264001767983584182272000000000000/923370542329728359853318864794551459830613377364757510923185501135793489886600990179665319288810932837080517125047419246013232832599567826344344933804193544603009,98.12341092962305,training
all_gather,4,0,512,196607,2519612392185081935140146407711361791249094225868231635764111222074199917142/34416146269284095697039368191755175601108875714281907236096166289341,73.21018374546482,631382826558482630323162004530408400940419762617923883171960399026321553/17621066889873456996884156514178649907767744365712336504881237140142592,35.83113499905776,17621066889873456996884156514178649907767744365712336504881237140142592000000000000/631382826558482630323162004530408400940419762617923883171960399026321553,27.908688910532607,training
all_gather,4,1,196608,2097151,25066040184466981335927650470769976657046394264422717959398816222585895858995161843590697447327588328702009627535931939406257415657351452300336788/363790706741176417743063206488088616420094534606998620219484987758868454285036553904184180218946860138263207015586960582910440905069646011,68.90236534354501,26255332910553935258835745418933030000201678420483595670520816315156319204763421160865162188388542868776867248363005877122564052614689561132915/2980173469623717214151173787550421945713414427500532696838021019720650377503019449583076804353612678252652191871688381095202331894330540122112,8.810001558019703,596034693924743442830234757510084389142682885500106539367604203944130075500603889916615360870722535650530438374337676219040466378866108024422400000000000/5251066582110787051767149083786606000040335684096719134104163263031263840952684232173032437677708573755373449672601175424512810522937912226583,113.50735790616343,training
all_gather,4,2,2097152,67108864,7291780991297320698293680600512974616367477981386039541565533639511193941439299707940330746/75183114411974898367019888922030774466011282592920965972166515192667614063217480551,96.98695043864679,325365625890161777795124000090666257682994828863963430539741188282939059941049968489838487/78835209377650991030096247046307341366472246656154694815230475834666636083952332886245376,4.12716130849016,78835209377650991030096247046307341366472246656154694815230475834666636083952332886245376000000000000/325365625890161777795124000090666257682994828863963430539741188282939059941049968489838487,242.29728989338443,training
reduce_scatter,2,0,512,65535,768670676810879440348894096445396942838656/12537128160583025968359346354181595,61.31154335867722,415410608431638460384034547553153024073/3209504809109254647899992666670488320,129.4313712360284,3209504809109254647899992666670488320000000000000/415410608431638460384034547553153024073,7.726102184117483,training
reduce_scatter,2,1,65536,786431,17147995608682391874851782953865912654320034692626499666983848121893871515173131452416000/275756972432767991364227359435636564489159474902123976128271534737646950338560081,62.18517507427025,6310840677245251250756664227159696865857968133560755936105568903668738392064000000/275756972432767991364227359435636564489159474902123976128271534737646950338560081,22.885516262998173,4308702694261999865066052491181821320143116795345687127004242730275733599040001265625/98606885581957050793072878549370263529030752086886811501649514119824037376,43.69575885936307,training
reduce_scatter,2,2,786432,67108864,6622356159250885909225642592058770570679555859969981000544758529277171845380664108294996888399350344899748031824734553341283189964001280000/83989919949576785229031848618943121867214548236960517718624346099136812506209540467257270963312657812983209082664364897207328468367,78.84703501594724,5574678466507570166558348068617380576759462049245784160487557684571010507412068786664198273637205472432594026923898381099862458103125/671919359596614281832254788951544974937716385895684141748994768793094500049676323738058167706501262503865672661314919177658627746936,8.296648082672181,215014195070916570186321532464494391980069243486618925359678326013790240015896423596178613666080404001237015251620774136850760879019520000000/1783897109282422453298671381957561784563027855758650931356018459062723362371862011732543447563905751178430088615647481951955986593,120.53060344797947,training
reduce_scatter,4,0,512,2097151,306191479794344501772168359182487322076779424807392933016868299338844119571475130021847262391598402585390634940037209857345297537155349888052645150003329211911698868690247681241519277060133164601806392113303922678/4653084462400902841405656782334854924301519057954940333156862127033635967963490447587046308157282144582530035493928133545705965761936579497114495497586038648291019948481326260512494103948117726955242930885,65.8039806215672,11036247164338760085254186221633280798826468730728768013399943097819682942913088773044464060768992474071298073103006292113901987875636699481523980283908835592184876246981020335272964531622139263194076411718661/1191189622374631127399848136277722860621188878836464725288156704520610807798653554582283854888264229013127689086445602187700727235055764351261310847382025893962501106811219522691198490610718138100542190306560,9.264895325681273,1191189622374631127399848136277722860621188878836464725288156704520610807798653554582283854888264229013127689086445602187700727235055764351261310847382025893962501106811219522691198490610718138100542190306560000000000000/11036247164338760085254186221633280798826468730728768013399943097819682942913088773044464060768992474071298073103006292113901987875636699481523980283908835592184876246981020335272964531622139263194076411718661,107.93430091197143,training
reduce_scatter,4,1,2097152,67108864,41222531786408300029816737954679202004529349746507482039381774032721848718293885600873453280/451510470686204632053215991032826285153342015022154378734018911620745539836730090393,91.29917125456335,233359005672532379917451428793708312968763099851689611703944905890613230454084850910336585/59180380413782213532479126376654606847618844592983818729425326783954359397479886407991296,3.9431819133455015,11836076082756442706495825275330921369523768918596763745885065356790871879495977281598259200000000000/46671801134506475983490285758741662593752619970337922340788981178122646090816970182067317,253.60229935513505,training
all_gather,8,0,512,196607,24594045443982056628921431759078337461950796333761305377512859821636790225840/255032675398760006567610177424608818073740009023411084647572264597169,96.43487998362438,153085774688685561942862336379415938138571773291036266865075215172548738885/130576729804165123362616410841399714853754884619986475339556999473750528,1172.3817476381803,26115345960833024672523282168279942970750976923997295067911399894750105600000000000/30617154937737112388572467275883187627714354658207253373015043034509747777,0.8529644904610195,descriptive
all_gather,8,1,196608,2097151,111168566188336906557017307358596670899276685017562542882418297533304100290921125322865332502742024662664702761302107837696501924097802378809847722783373847040507130160/249568489630511320357796952179188972546185993547783973390517887116186607215997911021428287525569835412447557156066582138143011369132266572701776740498346734009,445.4431180511734,1788531377697463335851349941073949110831386628565615226476300502544251076782919587667217243299978144908423668595751013850433764705771780517145385250848252486162924775/8177860268212594945484290529007664252393422636573785240060490125023202745253819548350162125637872366795081552889989763502670196543726111054291820232649825780006912,218.70407649901998,327114410728503797819371621160306570095736905462951409602419605000928109810152781934006485025514894671803262115599590540106807861749044442171672809305993031200276480000000000/71541255107898533434053997642957964433255465142624609059052020101770043071316783506688689731999125796336946743830040554017350588230871220685815410033930099446516991,4.572388480397077,descriptive
all_gather,8,2,2097152,67108864,87607263521322833511653052323602490097176433495954769536243736722161019583583396762667105449974509710828/225426467332518587707816367104175461649134424661510165479766058252873150049070594471704699120843,388.62900420693046,57062842783707051391969198681249014356352480534980371775592653606636468417587242167150312849307234937835/354565175114494515936466882428941833311304167710801524917166761447847074278781371503143339878005604352,160.93752796021377,70913035022898903187293376485788366662260833542160304983433352289569414855756274300628667975601120870400000000000/11412568556741410278393839736249802871270496106996074355118530721327293683517448433430062569861446987567,6.2135911535015955,descriptive
reduce_scatter,8,0,512,2097151,1792224101197473532272633523844072543104453176213909915292633913549241144651372089102693817204455705940285342237211539272910967823055392502471363174190706940906189997968956158094317753137628263640993437522913564994786270991396963671107959761175813120000/17306184705851624625562591482275033222002443107273897604803791987882625735233908056214120845920844265648022518046168034537667142993281492583301007127815817241825576737309792045353048288422056738492733938636897353643978425221657907430271794751929,103.55974651024502,36794088190048791928757533569012790974377687168298676286248374770868754082156267268181489357596112157953063494005506223070117069189893800229745420524455494102758037528413381442063757397487136917476562305858909216326520451180541457480402490694689375/69224738823406498502250365929100132888009772429095590419215167951530502940935632224856483383683377062592090072184672138150668571973125970333204028511263268967302306949239168181412193153688226953970935754547589414575913700886631629721087179007716,531.5164609564096,110759582117450397603600585486560212620815635886552944670744268722448804705497011559770373413893403300147344115495475421041069715157001552533126445618021230347683691118782669090259509045901163126353497207276143063321461921418610607553739486412345600000000/58870541104078067086012053710420465559004299469277882057997399633390006531450027629090382972153779452724901590408809956912187310703830080367592672839128790564412860045461410307302011835979419067962499689374254746122432721888866331968643985111503,1.881409276018662,descriptive
reduce_scatter,8,1,2097152,67108864,443891533803518882054253204496099813289263818288713691084104137258368900649433816337608422440295078525734/1200233502235525349182783843171370429795552294441774335342731451207849124328307028593261682270911,369.8376465718858,6330242758408944311163472465773582079616257655764836475747544489468449132697155233298252687645602237501/39329251401253694642021460973039466243540657584268061420510624193178800105989964712943998804653211648,160.95507879936804,39329251401253694642021460973039466243540657584268061420510624193178800105989964712943998804653211648000000000000/6330242758408944311163472465773582079616257655764836475747544489468449132697155233298252687645602237501,6.212913612042706,descriptive
