operation,ranks,operation_buffer_bytes,median_us,minimum_us,maximum_us,p05_us_nearest_rank,p95_us_nearest_rank,job_id,nodelist,freeze_commit,harness_commit,gpu,cuda_module,nccl_version,network_classes,gdr_states,source_sha256,binary_sha256,nccl_sha256
all_gather,2,512,60.416002,37.8880016506,79.8719972372,38.9119982719,65.5359998345,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,2048,60.416002,37.8880016506,80.8959975839,38.9119982719,68.6080008745,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,8192,61.439998,39.9359986186,68.6080008745,39.9359986186,65.5359998345,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,32768,64.511999,40.9599989653,68.6080008745,40.9599989653,66.5600001812,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,65536,65.536,41.9839993119,69.6320012212,41.9839993119,68.6080008745,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,131072,67.584001,44.0320000052,70.6560015678,44.0320000052,69.6320012212,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,196608,68.608001,44.0320000052,79.8719972372,45.0560003519,72.7040022612,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,262144,69.632001,46.0800006986,77.8239965439,46.0800006986,77.8239965439,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,393216,71.680002,49.1520017385,80.8959975839,49.1520017385,74.7520029545,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,524288,74.752003,51.1999987066,89.0880003572,52.2239990532,88.0640000105,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,655360,79.871997,56.3200004399,83.9679986238,56.3200004399,82.9439982772,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,786432,91.136001,67.5840005279,105.471998453,68.6080008745,98.3040034771,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,917504,93.184002,68.6080008745,103.42399776,69.6320012212,100.35199672,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,1048576,93.184002,69.6320012212,113.664001226,70.6560015678,108.543999493,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,1179648,93.184002,71.6800019145,98.3040034771,72.7040022612,98.3040034771,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,1310720,95.232002,71.6800019145,113.664001226,72.7040022612,99.3279963732,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,1572864,97.280003,74.7520029545,11019.2642212,75.7760033011,124.927997589,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,2097152,104.447998,79.8719972372,123.903997242,79.8719972372,109.56799984,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,3145728,115.712002,90.1120007038,134.143993258,91.1360010505,126.975998282,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,4194304,124.927998,100.35199672,171.008005738,100.35199672,134.143993258,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,8388608,164.864004,142.335996032,172.031998634,142.335996032,169.983997941,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,2,16777216,254.976004,233.472004533,264.19198513,234.495997429,261.119991541,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
