pattern,buffer_bytes,seed,registered,goodput_gbps,wire_gbps,wire_gbps_lower,makespan_us,p50_completion_us,p95_completion_us,goodput_p95_gbps,offered_packets,rtx_packets,dropped_packets,rtx_per_drop,loss_rate,goodput_tax,share_low_pct,share_high_pct,silent_rtos,ecn_marked_packets
incast,33554432,1,True,7.3516,7.5495,7.4687,73027.56,73004.566,73027.481,7.3516,16884,180,316,0.5696,0.018716,0.026211,50.0,50.0,38,4083
incast,33554432,2,True,7.3513,7.5488,7.4685,73030.273,73004.928,73030.195,7.3514,16883,179,324,0.5525,0.019191,0.026153,50.0,50.0,39,4091
incast,33554432,3,True,7.3513,7.5488,7.4685,73030.273,73004.928,73030.195,7.3514,16883,179,324,0.5525,0.019191,0.026153,50.0,50.0,39,4075
incast,524288,1,False,1.579,3.2465,1.6042,340002.149,70003.663,272759.388,1.9683,33745,17041,29477,0.5781,0.873522,0.513626,50.0,50.0,90,4233
incast,524288,2,False,1.579,3.2465,1.6042,340002.149,70003.663,272759.388,1.9683,33745,17041,29480,0.5781,0.873611,0.513626,50.0,50.0,90,4233
incast,524288,3,False,1.579,3.2465,1.6042,340002.149,70003.663,272759.388,1.9683,33745,17041,29489,0.5779,0.873878,0.513626,50.0,50.0,90,4214
fanout,33554432,1,True,95.9952,97.5244,97.5244,5592.686,5591.86,5592.607,95.9965,16704,0,0,0.0,0.0,0.01568,50.0,50.0,0,0
fanout,33554432,2,True,95.9952,97.5244,97.5244,5592.686,5591.86,5592.607,95.9965,16704,0,0,0.0,0.0,0.01568,50.0,50.0,0,0
fanout,33554432,3,True,95.9952,97.5244,97.5244,5592.686,5591.86,5592.607,95.9965,16704,0,0,0.0,0.0,0.01568,50.0,50.0,0,0
fanout,524288,1,False,95.9952,97.5244,97.5244,5592.686,5591.86,5592.607,95.9965,16704,0,0,0.0,0.0,0.01568,50.0,50.0,0,0
fanout,524288,2,False,95.9952,97.5244,97.5244,5592.686,5591.86,5592.607,95.9965,16704,0,0,0.0,0.0,0.01568,50.0,50.0,0,0
fanout,524288,3,False,95.9952,97.5244,97.5244,5592.686,5591.86,5592.607,95.9965,16704,0,0,0.0,0.0,0.01568,50.0,50.0,0,0
