profile,q,size_bytes,jct_us,goodput_gbps,dropped_packets,ecn_marked_packets
cx5_100g,1,4096,2.7527,11.9038,0,0
cx5_100g,1,16384,3.7819,34.6575,0,0
cx5_100g,1,65536,7.8987,66.3767,0,0
cx5_100g,1,262144,24.3729,86.0444,0,0
cx5_100g,1,1048576,90.2626,92.9356,0,0
cx5_100g,1,4194304,353.8212,94.8344,0,0
cx5_100g,16,4096,7.9483,65.9626,0,0
cx5_100g,16,16384,24.322,86.2244,0,0
cx5_100g,16,65536,89.8171,93.3966,0,0
cx5_100g,16,262144,351.8812,95.3573,0,0
cx5_100g,16,1048576,1400.0537,95.8661,0,0
cx5_100g,16,4194304,5592.7439,95.9942,0,0
cx7_400g,1,4096,2.229,14.701,0,0
cx7_400g,1,16384,2.4862,52.7206,0,0
cx7_400g,1,65536,3.515,149.1586,0,0
cx7_400g,1,262144,7.634,274.7115,0,0
cx7_400g,1,1048576,24.1064,347.9828,0,0
cx7_400g,1,4194304,89.9959,372.8441,0,0
cx7_400g,16,4096,3.4962,149.9611,0,0
cx7_400g,16,16384,7.4898,280.0026,0,0
cx7_400g,16,65536,23.4642,357.5073,0,0
cx7_400g,16,262144,87.3822,383.996,0,0
cx7_400g,16,1048576,343.0341,391.2665,0,0
cx7_400g,16,4194304,1365.6414,393.1273,0,0
