check,fct_us,measured_us,ratio,ok,worst_cell,worst_deviation,fitted_c_gbps,rendered_gbps,point_4mib_gbps,c_ratio,t_eff_ratio,cx5_t_eff_us,cx7_t_eff_us,fitted_t_eff_us,model_ratio,measured_ratio,q16_vs_q1_at_16x_size,ratios_by_size,median_ratio_at_or_below_256kib,model_above_measurement,mtu4096_gbps,mtu1024_gbps,tax_pp,measured_tax_pp,worst_share_deviation_pp,goodput_gbps,goodput_min,goodput_max,q16_reference_gbps,fraction_of_reference,drops_plus_rtx,reason,goodput_tax,tax_min,tax_max,loss_rate,loss_min,loss_max,rtx_per_drop,literal_identity_tax,amplification_packets,measured_amplification,amplification_within_2x,goodput_p95_gbps,measured_gbps,wire_gbps,wire_min,wire_max,wire_fraction_pct,measured_pct,steady_goodput_gbps,steady_window_us,wire_fraction_low_pct,wire_fraction_high_pct,makespan_us,silent_rtos,dropped_packets,rto_stall_share_pct,cells,bytes_conserved,max_ecn_marked_packets,max_shared_pool_dropped_packets
M3,2.0813,2.08,1.0006,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,,,,True,cx7_400g@65536,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-cx5_100g,,,0.9844,True,,,95.485,97,94.8344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-cx7_400g,,,0.9844,True,,,381.938,388,372.8441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,,,,True,,,,,,4.0,0.8895,2.4091,2.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,,4.48,0.5378,False,,,,,,,,,,2.4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,,,,True,,,,,,,,,,,1.4071,1.5734,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,,,,reported,,,,,,,,,,,,,,4096:1.6909;16384:1.5789;65536:1.3374;262144:1.086;1048576:1.2567;4194304:1.2311,1.4581,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,,,,True,,,,,,,,,,,,,,,,,92.9356,88.8586,4.387,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,,,,True,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,,,,True,,,,,,,,,,,,,,,,,,,,,0.0,95.9952,95.9952,95.9952,95.8661,1.0013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,,,,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the comparator requires the egress buffer to exceed ecn_kmax_bytes, so this arm cannot be configured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-diagnostic-b524288,,,,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5136,0.5136,0.5136,0.8736,0.8735,0.8739,0.5781,223.6416,0.588,15.6,False,,,,,,,,,,,,,,,,,,,
T4-b33554432,,,0.0995,False,,,,,,,,,,,,,,,,,,,,,,7.3513,7.3513,7.3516,,,,,,,,,,,,,,,,7.3514,73.9,,,,,,,,,,,,,,,,,
T5-b33554432,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5488,7.5488,7.5495,7.782,99.4,,,,,,,,,,,,
T4-b262016,,,,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the comparator requires the egress buffer to exceed ecn_kmax_bytes, so this arm cannot be configured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5-b262016,,,,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the comparator requires the egress buffer to exceed ecn_kmax_bytes, so this arm cannot be configured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4-diagnostic-b524288,,,0.0214,reported,,,,,,,,,,,,,,,,,,,,,,1.579,1.579,1.579,,,,,,,,,,,,,,,,1.9683,73.9,,,,,,,,,,,,,,,,,
T5-diagnostic-b524288,,,,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2465,3.2465,3.2465,3.347,99.4,,,,,,,,,,,,
L1-1GiB-m32,,,0.731,reported,,,,,,,,,,,,,,,,,,,,,,54.0244,,,,,,,,,,,,,,,,,,,73.9,,,,,99.4,72.8802,183784.405,56.579,100.0,318002.133,113,882978,37.26,,,,
L1-1GiB-m1,,,1.1925,reported,,,,,,,,,,,,,,,,,,,,,,88.1247,,,,,,,,,,,,,,,,,,,73.9,,,,,99.4,88.1588,60731.802,92.292,92.293,194949.53,0,0,0.0,,,,
L1-4GiB-m32,,,0.3723,reported,,,,,,,,,,,,,,,,,,,,,,27.5147,,,,,,,,,,,,,,,,,,,73.9,,,,,99.4,28.7958,2363340.458,28.816,100.0,2497558.186,912,7842268,38.289,,,,
L1-4GiB-m1,,,1.194,reported,,,,,,,,,,,,,,,,,,,,,,88.2342,,,,,,,,,,,,,,,,,,,73.9,,,,,99.4,88.2883,644612.84,92.407,92.407,778830.568,0,0,0.0,,,,
L2-long-arm-guards,,,,reported,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,True,2325638,7842268
