scope,model,context,device,hbm_scale,batch,weight_bytes,kv_bytes,flops,memory_ps,compute_ps,tpot_ps,rational_floor_ps,serial_ceiling_ps,bound
sweep,dense7b-tp1,1,a100,0.5,1,15009316864,131072,15009316864,14722361879,48106784,14722361879,14722361879,14770468665,memory
sweep,dense7b-tp1,1,a100,0.5,2,15009316864,262144,30018633728,14722490444,96213569,14722490444,14722490444,14818704014,memory
sweep,dense7b-tp1,1,a100,0.5,4,15009316864,524288,60037267456,14722747574,192427139,14722747574,14722747574,14915174714,memory
sweep,dense7b-tp1,1,a100,0.5,8,15009316864,1048576,120074534912,14723261834,384854278,14723261834,14723261834,15108116113,memory
sweep,dense7b-tp1,1,a100,0.5,16,15009316864,2097152,240149069824,14724290354,769708557,14724290354,14724290354,15493998912,memory
sweep,dense7b-tp1,1,a100,0.5,32,15009316864,4194304,480298139648,14726347393,1539417114,14726347393,14726347393,16265764509,memory
sweep,dense7b-tp1,1,a100,0.5,64,15009316864,8388608,960596279296,14730461473,3078834228,14730461473,14730461473,17809295702,memory
sweep,dense7b-tp1,1,a100,0.5,128,15009316864,16777216,1921192558592,14738689632,6157668457,14738689632,14738689632,20896358090,memory
sweep,dense7b-tp1,1,a100,0.5,256,15009316864,33554432,3842385117184,14755145949,12315336914,14755145949,14755145949,27070482865,memory
knee,dense7b-tp1,1,a100,0.5,306,15009316864,40108032,4592850960384,14761574199,14720676155,14761574199,14761574199,29482250355,memory
knee,dense7b-tp1,1,a100,0.5,307,15009316864,40239104,4607860277248,14761702764,14768782939,14768782939,14768782939,29530485704,compute
sweep,dense7b-tp1,1,a100,1,1,15009316864,131072,15009316864,7361180939,48106784,7361180939,7361180939,7409287725,memory
sweep,dense7b-tp1,1,a100,1,2,15009316864,262144,30018633728,7361245222,96213569,7361245222,7361245222,7457458792,memory
sweep,dense7b-tp1,1,a100,1,4,15009316864,524288,60037267456,7361373787,192427139,7361373787,7361373787,7553800927,memory
sweep,dense7b-tp1,1,a100,1,8,15009316864,1048576,120074534912,7361630917,384854278,7361630917,7361630917,7746485196,memory
sweep,dense7b-tp1,1,a100,1,16,15009316864,2097152,240149069824,7362145177,769708557,7362145177,7362145177,8131853735,memory
sweep,dense7b-tp1,1,a100,1,32,15009316864,4194304,480298139648,7363173696,1539417114,7363173696,7363173696,8902590812,memory
sweep,dense7b-tp1,1,a100,1,64,15009316864,8388608,960596279296,7365230736,3078834228,7365230736,7365230736,10444064966,memory
sweep,dense7b-tp1,1,a100,1,128,15009316864,16777216,1921192558592,7369344816,6157668457,7369344816,7369344816,13527013274,memory
knee,dense7b-tp1,1,a100,1,153,15009316864,20054016,2296425480192,7370951878,7360338077,7370951878,7370951878,14731289956,memory
knee,dense7b-tp1,1,a100,1,154,15009316864,20185088,2311434797056,7371016160,7408444862,7408444862,7408444862,14779461024,compute
sweep,dense7b-tp1,1,a100,1,256,15009316864,33554432,3842385117184,7377572974,12315336914,12315336914,12315336914,19692909890,compute
sweep,dense7b-tp1,1,a100,2,1,15009316864,131072,15009316864,3680590469,48106784,3680590469,3680590469,3728697255,memory
sweep,dense7b-tp1,1,a100,2,2,15009316864,262144,30018633728,3680622611,96213569,3680622611,3680622611,3776836181,memory
sweep,dense7b-tp1,1,a100,2,4,15009316864,524288,60037267456,3680686893,192427139,3680686893,3680686893,3873114033,memory
sweep,dense7b-tp1,1,a100,2,8,15009316864,1048576,120074534912,3680815458,384854278,3680815458,3680815458,4065669738,memory
sweep,dense7b-tp1,1,a100,2,16,15009316864,2097152,240149069824,3681072588,769708557,3681072588,3681072588,4450781146,memory
sweep,dense7b-tp1,1,a100,2,32,15009316864,4194304,480298139648,3681586848,1539417114,3681586848,3681586848,5221003963,memory
sweep,dense7b-tp1,1,a100,2,64,15009316864,8388608,960596279296,3682615368,3078834228,3682615368,3682615368,6761449597,memory
knee,dense7b-tp1,1,a100,2,76,15009316864,9961472,1140708081664,3683001063,3656115646,3683001063,3683001063,7339116710,memory
knee,dense7b-tp1,1,a100,2,77,15009316864,10092544,1155717398528,3683033204,3704222431,3704222431,3704222431,7387255636,compute
sweep,dense7b-tp1,1,a100,2,128,15009316864,16777216,1921192558592,3684672408,6157668457,6157668457,6157668457,9842340866,compute
sweep,dense7b-tp1,1,a100,2,256,15009316864,33554432,3842385117184,3688786487,12315336914,12315336914,12315336914,16004123402,compute
sweep,dense7b-tp1,1,h100,0.5,1,15009316864,131072,15009316864,8960864439,15168587,8960864439,8960864439,8976033027,memory
sweep,dense7b-tp1,1,h100,0.5,2,15009316864,262144,30018633728,8960942691,30337174,8960942691,8960942691,8991279866,memory
sweep,dense7b-tp1,1,h100,0.5,4,15009316864,524288,60037267456,8961099195,60674348,8961099195,8961099195,9021773544,memory
sweep,dense7b-tp1,1,h100,0.5,8,15009316864,1048576,120074534912,8961412202,121348696,8961412202,8961412202,9082760900,memory
sweep,dense7b-tp1,1,h100,0.5,16,15009316864,2097152,240149069824,8962038218,242697392,8962038218,8962038218,9204735611,memory
sweep,dense7b-tp1,1,h100,0.5,32,15009316864,4194304,480298139648,8963290249,485394784,8963290249,8963290249,9448685035,memory
sweep,dense7b-tp1,1,h100,0.5,64,15009316864,8388608,960596279296,8965794311,970789569,8965794311,8965794311,9936583882,memory
sweep,dense7b-tp1,1,h100,0.5,128,15009316864,16777216,1921192558592,8970802435,1941579139,8970802435,8970802435,10912381576,memory
sweep,dense7b-tp1,1,h100,0.5,256,15009316864,33554432,3842385117184,8980818684,3883158279,8980818684,8980818684,12863976964,memory
knee,dense7b-tp1,1,h100,0.5,593,15009316864,77725696,8900524900352,9007189588,8994972107,9007189588,9007189588,18002161696,memory
knee,dense7b-tp1,1,h100,0.5,594,15009316864,77856768,8915534217216,9007267840,9010140694,9010140694,9010140694,18017408535,compute
sweep,dense7b-tp1,1,h100,1,1,15009316864,131072,15009316864,4480432219,15168587,4480432219,4480432219,4495600807,memory
sweep,dense7b-tp1,1,h100,1,2,15009316864,262144,30018633728,4480471345,30337174,4480471345,4480471345,4510808520,memory
sweep,dense7b-tp1,1,h100,1,4,15009316864,524288,60037267456,4480549597,60674348,4480549597,4480549597,4541223946,memory
sweep,dense7b-tp1,1,h100,1,8,15009316864,1048576,120074534912,4480706101,121348696,4480706101,4480706101,4602054798,memory
sweep,dense7b-tp1,1,h100,1,16,15009316864,2097152,240149069824,4481019109,242697392,4481019109,4481019109,4723716502,memory
sweep,dense7b-tp1,1,h100,1,32,15009316864,4194304,480298139648,4481645124,485394784,4481645124,4481645124,4967039910,memory
sweep,dense7b-tp1,1,h100,1,64,15009316864,8388608,960596279296,4482897155,970789569,4482897155,4482897155,5453686726,memory
sweep,dense7b-tp1,1,h100,1,128,15009316864,16777216,1921192558592,4485401217,1941579139,4485401217,4485401217,6426980358,memory
sweep,dense7b-tp1,1,h100,1,256,15009316864,33554432,3842385117184,4490409342,3883158279,4490409342,4490409342,8373567622,memory
knee,dense7b-tp1,1,h100,1,296,15009316864,38797312,4442757791744,4491974380,4489901760,4491974380,4491974380,8981876142,memory
knee,dense7b-tp1,1,h100,1,297,15009316864,38928384,4457767108608,4492013506,4505070347,4505070347,4505070347,8997083855,compute
sweep,dense7b-tp1,1,h100,2,1,15009316864,131072,15009316864,2240216109,15168587,2240216109,2240216109,2255384697,memory
sweep,dense7b-tp1,1,h100,2,2,15009316864,262144,30018633728,2240235672,30337174,2240235672,2240235672,2270572847,memory
sweep,dense7b-tp1,1,h100,2,4,15009316864,524288,60037267456,2240274798,60674348,2240274798,2240274798,2300949147,memory
sweep,dense7b-tp1,1,h100,2,8,15009316864,1048576,120074534912,2240353050,121348696,2240353050,2240353050,2361701747,memory
sweep,dense7b-tp1,1,h100,2,16,15009316864,2097152,240149069824,2240509554,242697392,2240509554,2240509554,2483206948,memory
sweep,dense7b-tp1,1,h100,2,32,15009316864,4194304,480298139648,2240822562,485394784,2240822562,2240822562,2726217348,memory
sweep,dense7b-tp1,1,h100,2,64,15009316864,8388608,960596279296,2241448577,970789569,2241448577,2241448577,3212238148,memory
sweep,dense7b-tp1,1,h100,2,128,15009316864,16777216,1921192558592,2242700608,1941579139,2242700608,2242700608,4184279749,memory
knee,dense7b-tp1,1,h100,2,147,15009316864,19267584,2206369579008,2243072305,2229782293,2243072305,2243072305,4472854599,memory
knee,dense7b-tp1,1,h100,2,148,15009316864,19398656,2221378895872,2243091868,2244950880,2244950880,2244950880,4488042749,compute
sweep,dense7b-tp1,1,h100,2,256,15009316864,33554432,3842385117184,2245204671,3883158279,3883158279,3883158279,6128362951,compute
sweep,dense7b-tp1,1,h200,0.5,1,15009316864,131072,15009316864,6253936640,15168587,6253936640,6253936640,6269105228,memory
sweep,dense7b-tp1,1,h200,0.5,2,15009316864,262144,30018633728,6253991253,30337174,6253991253,6253991253,6284328428,memory
sweep,dense7b-tp1,1,h200,0.5,4,15009316864,524288,60037267456,6254100480,60674348,6254100480,6254100480,6314774829,memory
sweep,dense7b-tp1,1,h200,0.5,8,15009316864,1048576,120074534912,6254318933,121348696,6254318933,6254318933,6375667630,memory
sweep,dense7b-tp1,1,h200,0.5,16,15009316864,2097152,240149069824,6254755840,242697392,6254755840,6254755840,6497453233,memory
sweep,dense7b-tp1,1,h200,0.5,32,15009316864,4194304,480298139648,6255629653,485394784,6255629653,6255629653,6741024439,memory
sweep,dense7b-tp1,1,h200,0.5,64,15009316864,8388608,960596279296,6257377280,970789569,6257377280,6257377280,7228166850,memory
sweep,dense7b-tp1,1,h200,0.5,128,15009316864,16777216,1921192558592,6260872533,1941579139,6260872533,6260872533,8202451673,memory
sweep,dense7b-tp1,1,h200,0.5,256,15009316864,33554432,3842385117184,6267863040,3883158279,6267863040,6267863040,10151021320,memory
knee,dense7b-tp1,1,h200,0.5,413,15009316864,54132736,6198847864832,6276437333,6264626442,6276437333,6276437333,12541063776,memory
knee,dense7b-tp1,1,h200,0.5,414,15009316864,54263808,6213857181696,6276491946,6279795029,6279795029,6279795029,12556286977,compute
sweep,dense7b-tp1,1,h200,1,1,15009316864,131072,15009316864,3126968320,15168587,3126968320,3126968320,3142136908,memory
sweep,dense7b-tp1,1,h200,1,2,15009316864,262144,30018633728,3126995626,30337174,3126995626,3126995626,3157332801,memory
sweep,dense7b-tp1,1,h200,1,4,15009316864,524288,60037267456,3127050240,60674348,3127050240,3127050240,3187724589,memory
sweep,dense7b-tp1,1,h200,1,8,15009316864,1048576,120074534912,3127159466,121348696,3127159466,3127159466,3248508163,memory
sweep,dense7b-tp1,1,h200,1,16,15009316864,2097152,240149069824,3127377920,242697392,3127377920,3127377920,3370075313,memory
sweep,dense7b-tp1,1,h200,1,32,15009316864,4194304,480298139648,3127814826,485394784,3127814826,3127814826,3613209612,memory
sweep,dense7b-tp1,1,h200,1,64,15009316864,8388608,960596279296,3128688640,970789569,3128688640,3128688640,4099478210,memory
sweep,dense7b-tp1,1,h200,1,128,15009316864,16777216,1921192558592,3130436266,1941579139,3130436266,3130436266,5072015407,memory
knee,dense7b-tp1,1,h200,1,206,15009316864,27000832,3091919273984,3132566186,3124728927,3132566186,3132566186,6257295115,memory
knee,dense7b-tp1,1,h200,1,207,15009316864,27131904,3106928590848,3132593493,3139897514,3139897514,3139897514,6272491009,compute
sweep,dense7b-tp1,1,h200,1,256,15009316864,33554432,3842385117184,3133931520,3883158279,3883158279,3883158279,7017089800,compute
sweep,dense7b-tp1,1,h200,2,1,15009316864,131072,15009316864,1563484160,15168587,1563484160,1563484160,1578652748,memory
sweep,dense7b-tp1,1,h200,2,2,15009316864,262144,30018633728,1563497813,30337174,1563497813,1563497813,1593834988,memory
sweep,dense7b-tp1,1,h200,2,4,15009316864,524288,60037267456,1563525120,60674348,1563525120,1563525120,1624199469,memory
sweep,dense7b-tp1,1,h200,2,8,15009316864,1048576,120074534912,1563579733,121348696,1563579733,1563579733,1684928430,memory
sweep,dense7b-tp1,1,h200,2,16,15009316864,2097152,240149069824,1563688960,242697392,1563688960,1563688960,1806386353,memory
sweep,dense7b-tp1,1,h200,2,32,15009316864,4194304,480298139648,1563907413,485394784,1563907413,1563907413,2049302199,memory
sweep,dense7b-tp1,1,h200,2,64,15009316864,8388608,960596279296,1564344320,970789569,1564344320,1564344320,2535133890,memory
knee,dense7b-tp1,1,h200,2,103,15009316864,13500416,1545959636992,1564876800,1562364463,1564876800,1564876800,3127241264,memory
knee,dense7b-tp1,1,h200,2,104,15009316864,13631488,1560968953856,1564890453,1577533050,1577533050,1577533050,3142423505,compute
sweep,dense7b-tp1,1,h200,2,128,15009316864,16777216,1921192558592,1565218133,1941579139,1941579139,1941579139,3506797273,compute
sweep,dense7b-tp1,1,h200,2,256,15009316864,33554432,3842385117184,1566965760,3883158279,3883158279,3883158279,5450124040,compute
sweep,dense7b-tp1,1,b100,0.5,1,15009316864,131072,15009316864,3752361984,8338509,3752361984,3752361984,3760700494,memory
sweep,dense7b-tp1,1,b100,0.5,2,15009316864,262144,30018633728,3752394752,16677018,3752394752,3752394752,3769071771,memory
sweep,dense7b-tp1,1,b100,0.5,4,15009316864,524288,60037267456,3752460288,33354037,3752460288,3752460288,3785814326,memory
sweep,dense7b-tp1,1,b100,0.5,8,15009316864,1048576,120074534912,3752591360,66708074,3752591360,3752591360,3819299435,memory
sweep,dense7b-tp1,1,b100,0.5,16,15009316864,2097152,240149069824,3752853504,133416149,3752853504,3752853504,3886269654,memory
sweep,dense7b-tp1,1,b100,0.5,32,15009316864,4194304,480298139648,3753377792,266832299,3753377792,3753377792,4020210092,memory
sweep,dense7b-tp1,1,b100,0.5,64,15009316864,8388608,960596279296,3754426368,533664599,3754426368,3754426368,4288090968,memory
sweep,dense7b-tp1,1,b100,0.5,128,15009316864,16777216,1921192558592,3756523520,1067329199,3756523520,3756523520,4823852720,memory
sweep,dense7b-tp1,1,b100,0.5,256,15009316864,33554432,3842385117184,3760717824,2134658398,3760717824,3760717824,5895376223,memory
knee,dense7b-tp1,1,b100,0.5,451,15009316864,59113472,6769201905664,3767107584,3760667725,3767107584,3767107584,7527775310,memory
knee,dense7b-tp1,1,b100,0.5,452,15009316864,59244544,6784211222528,3767140352,3769006234,3769006234,3769006234,7536146587,compute
sweep,dense7b-tp1,1,b100,1,1,15009316864,131072,15009316864,1876180992,8338509,1876180992,1876180992,1884519502,memory
sweep,dense7b-tp1,1,b100,1,2,15009316864,262144,30018633728,1876197376,16677018,1876197376,1876197376,1892874395,memory
sweep,dense7b-tp1,1,b100,1,4,15009316864,524288,60037267456,1876230144,33354037,1876230144,1876230144,1909584182,memory
sweep,dense7b-tp1,1,b100,1,8,15009316864,1048576,120074534912,1876295680,66708074,1876295680,1876295680,1943003755,memory
sweep,dense7b-tp1,1,b100,1,16,15009316864,2097152,240149069824,1876426752,133416149,1876426752,1876426752,2009842902,memory
sweep,dense7b-tp1,1,b100,1,32,15009316864,4194304,480298139648,1876688896,266832299,1876688896,1876688896,2143521196,memory
