scope,model,context,device,hbm_scale,batch,weight_bytes,kv_bytes,flops,memory_ps,compute_ps,tpot_ps,rational_floor_ps,serial_ceiling_ps,bound,weight_floor_ps,tpot_ms,tp,ep,request_tokens_per_second,throughput_tokens_per_second_per_gpu,throughput_decimal,hbm_bytes_per_second,peak_flops,cache_to_weight_ratio,weight_cache_equal_batch,crossover_batch,relative_to_crossover,evidence_class,capacity_status,deployment_step_ps,deployment_guards_ok
sweep,dense7b-tp1,1,a100,0.5,1,15009316864,131072,15009316864,14722361879,48106784,14722361879,14722361879,14770468665,memory,14722233314,14.722361879,1,1,1000000000000/14722361879,1000000000000/14722361879,67.92388396772135,1019500000000,312000000000000,1/114512,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,0.5,2,15009316864,262144,30018633728,14722490444,96213569,14722490444,14722490444,14818704014,memory,14722233314,14.722490444,1,1,250000000000/3680622611,500000000000/3680622611,135.84658163694579,1019500000000,312000000000000,1/57256,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,0.5,4,15009316864,524288,60037267456,14722747574,192427139,14722747574,14722747574,14915174714,memory,14722233314,14.722747574,1,1,500000000000/7361373787,2000000000000/7361373787,271.6884182042147,1019500000000,312000000000000,1/28628,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,0.5,8,15009316864,1048576,120074534912,14723261834,384854278,14723261834,14723261834,15108116113,memory,14722233314,14.723261834,1,1,500000000000/7361630917,4000000000000/7361630917,543.3578571241485,1019500000000,312000000000000,1/14314,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,0.5,16,15009316864,2097152,240149069824,14724290354,769708557,14724290354,14724290354,15493998912,memory,14722233314,14.724290354,1,1,500000000000/7362145177,8000000000000/7362145177,1086.6398050656098,1019500000000,312000000000000,1/7157,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,0.5,32,15009316864,4194304,480298139648,14726347393,1539417114,14726347393,14726347393,16265764509,memory,14722233314,14.726347393,1,1,1000000000000/14726347393,32000000000000/14726347393,2172.9760371679695,1019500000000,312000000000000,2/7157,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,0.5,64,15009316864,8388608,960596279296,14730461473,3078834228,14730461473,14730461473,17809295702,memory,14722233314,14.730461473,1,1,1000000000000/14730461473,64000000000000/14730461473,4344.738290603314,1019500000000,312000000000000,4/7157,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,0.5,128,15009316864,16777216,1921192558592,14738689632,6157668457,14738689632,14738689632,20896358090,memory,14722233314,14.738689632,1,1,31250000000/460584051,4000000000000/460584051,8684.625512575554,1019500000000,312000000000000,8/7157,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,0.5,256,15009316864,33554432,3842385117184,14755145949,12315336914,14755145949,14755145949,27070482865,memory,14722233314,14.755145949,1,1,1000000000000/14755145949,256000000000000/14755145949,17349.879213993805,1019500000000,312000000000000,16/7157,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
knee,dense7b-tp1,1,a100,0.5,306,15009316864,40108032,4592850960384,14761574199,14720676155,14761574199,14761574199,29482250355,memory,14722233314,14.761574199,1,1,1000000000000/14761574199,34000000000000/1640174911,20729.496453076765,1019500000000,312000000000000,9/3368,114512,4465968000/14554123,below,ROOFLINE,unchecked,unavailable,True
knee,dense7b-tp1,1,a100,0.5,307,15009316864,40239104,4607860277248,14761702764,14768782939,14768782939,14768782939,29530485704,compute,14722233314,14.768782939,1,1,1000000000000/14768782939,307000000000000/14768782939,20787.088636078708,1019500000000,312000000000000,307/114512,114512,4465968000/14554123,at-or-above,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,1,1,15009316864,131072,15009316864,7361180939,48106784,7361180939,7361180939,7409287725,memory,7361116657,7.361180939,1,1,1000000000000/7361180939,1000000000000/7361180939,135.84776794467,2039000000000,312000000000000,1/114512,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,1,2,15009316864,262144,30018633728,7361245222,96213569,7361245222,7361245222,7457458792,memory,7361116657,7.361245222,1,1,500000000000/3680622611,1000000000000/3680622611,271.69316327389157,2039000000000,312000000000000,1/57256,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,1,4,15009316864,524288,60037267456,7361373787,192427139,7361373787,7361373787,7553800927,memory,7361116657,7.361373787,1,1,1000000000000/7361373787,4000000000000/7361373787,543.3768364084294,2039000000000,312000000000000,1/28628,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,1,8,15009316864,1048576,120074534912,7361630917,384854278,7361630917,7361630917,7746485196,memory,7361116657,7.361630917,1,1,1000000000000/7361630917,8000000000000/7361630917,1086.715714248297,2039000000000,312000000000000,1/14314,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,1,16,15009316864,2097152,240149069824,7362145177,769708557,7362145177,7362145177,8131853735,memory,7361116657,7.362145177,1,1,1000000000000/7362145177,16000000000000/7362145177,2173.2796101312197,2039000000000,312000000000000,1/7157,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,1,32,15009316864,4194304,480298139648,7363173696,1539417114,7363173696,7363173696,8902590812,memory,7361116657,7.363173696,1,1,15625000000/115049589,500000000000/115049589,4345.952074631054,2039000000000,312000000000000,2/7157,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,1,64,15009316864,8388608,960596279296,7365230736,3078834228,7365230736,7365230736,10444064966,memory,7361116657,7.365230736,1,1,62500000000/460326921,4000000000000/460326921,8689.476581796527,2039000000000,312000000000000,4/7157,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
sweep,dense7b-tp1,1,a100,1,128,15009316864,16777216,1921192558592,7369344816,6157668457,7369344816,7369344816,13527013274,memory,7361116657,7.369344816,1,1,62500000000/460584051,8000000000000/460584051,17369.25102515111,2039000000000,312000000000000,8/7157,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
knee,dense7b-tp1,1,a100,1,153,15009316864,20054016,2296425480192,7370951878,7360338077,7370951878,7370951878,14731289956,memory,7361116657,7.370951878,1,1,500000000000/3685475939,76500000000000/3685475939,20757.156271316522,2039000000000,312000000000000,9/6736,114512,2232984000/14573623,below,ROOFLINE,unchecked,unavailable,True
