anchor_id,layer,frozen_point_verdict,distribution_status,prior_lower_fraction,point_fraction,prior_upper_fraction,propagated_lower_fraction,propagated_upper_fraction,new_boundary_contact,intersects_acceptance_interval,rescore_performed
sglang_prefill_1k,physics_only,CALIBRATION_CONTEXT,REPEAT_DERIVED,3276800000000000/57154494067,3276800000000000/57154494009,3276800000000000/57154494009,1177752763195791769600000000000/20978149866374854852501121,45580288000000000000/778847077884741,False,True,False
sglang_prefill_1k,physics_plus_boundary,CALIBRATION_CONTEXT,REPEAT_DERIVED,3276800000000000/74195118567,3276800000000000/57154494009,3276800000000000/57154494009,33938901808773654118400000000000/789750900952671174752844009,45580288000000000000/778847077884741,False,True,False
sglang_prefill_1k,physics_plus_boundary_plus_attenuation,CALIBRATION_CONTEXT,REPEAT_DERIVED,1857310975704731648/46371949104375,3079182591456051200000000/59126568730699352529,1863290581979942912/35721558755625,19899648313049358907673516772300490380210176/510625429974465817916947652647314080625,1099283456737913619421187420622848/20646591305600190345078163125,False,False,False
sglang_prefill_2k,physics_only,PASS,REPEAT_DERIVED,3276800000000000/57154494067,3276800000000000/57154494009,3276800000000000/57154494009,4622141100690642534400000000000/81960014618108216517452877,2423212441600000000000/41586238540382499,True,True,False
sglang_prefill_2k,physics_plus_boundary,PASS,REPEAT_DERIVED,3276800000000000/74908202467,3276800000000000/57154494009,3276800000000000/57154494009,133350110655572052377600000000000/3115150376423930790715425033,2423212441600000000000/41586238540382499,False,True,False
sglang_prefill_2k,physics_plus_boundary_plus_attenuation,PASS,REPEAT_DERIVED,1857310975704731648/46817626541875,3079182591456051200000000/59126568730699352529,1863290581979942912/35721558755625,4599346555795979040711294189059774735527936/118479279425342568891280229756362730625,1425421244535685116409458119176192/26888213625445554120611386875,False,True,False
sglang_prefill_4k,physics_only,PASS,REPEAT_DERIVED,3276800000000000/57154494067,3276800000000000/57154494009,3276800000000000/57154494009,673540287279494758400000000000000/11782296137081765294749231977,114582441164800000000000/1992765944032474733,False,False,False
sglang_prefill_4k,physics_plus_boundary,PASS,REPEAT_DERIVED,26214400000000000/616749291811,3276800000000000/57154494009,3276800000000000/57154494009,5382834973746610749440000000000000/127141757040735274465189790841,114582441164800000000000/1992765944032474733,False,True,False
sglang_prefill_4k,physics_plus_boundary_plus_attenuation,PASS,REPEAT_DERIVED,14858487805637853184/385468307381875,3079182591456051200000000/59126568730699352529,1863290581979942912/35721558755625,3156278321128008215663236307590834763210522624/82205432470314083013718015064068181450625,67402963922717060919246913693323264/1288453062582875946445519983125,False,True,False
sglang_decode_standard,physics_only,CALIBRATION_CONTEXT,REPEAT_DERIVED,6400000000/715103,6400000000/715103,6400000000/715103,74718720000000/8383152469,75335680000000/8383152469,False,False,False
sglang_decode_standard,physics_plus_boundary,CALIBRATION_CONTEXT,REPEAT_DERIVED,6400000000/715103,6400000000/715103,6400000000/715103,74718720000000/8383152469,75335680000000/8383152469,False,False,False
sglang_decode_standard,physics_plus_boundary_plus_attenuation,CALIBRATION_CONTEXT,REPEAT_DERIVED,6400000000/715103,6400000000/715103,6400000000/715103,74718720000000/8383152469,75335680000000/8383152469,False,False,False
sglang_decode_simulated_mtp,physics_only,REFUTED,SINGLE_SEED_NOT_PROPAGATED,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,False,False,False
sglang_decode_simulated_mtp,physics_plus_boundary,REFUTED,SINGLE_SEED_NOT_PROPAGATED,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,False,False,False
sglang_decode_simulated_mtp,physics_plus_boundary_plus_attenuation,REFUTED,SINGLE_SEED_NOT_PROPAGATED,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,1024000000000/124071011,False,False,False
