configuration_id,batch_per_gpu,analytical_step_ps,simulated_step_ps,inter_node_attributed_ps,intra_node_attributed_ps,residual_ps,fabric_raw_excess_ps,intra_node_raw_excess_ps,fabric_mechanism,intra_node_module,bottleneck,analytical_x_tokens_per_second_per_request,analytical_y_tokens_per_second_per_gpu,simulated_x_tokens_per_second_per_request,simulated_y_tokens_per_second_per_gpu
b100-one-node-intra,1,3448398380,3448398380,0,0,0,0,8318508,none,TX credits and packetization,neither,289.9896966080816,289.9896966080816,289.9896966080816,289.9896966080816
b100-one-node-intra,2,3465966380,3465966380,0,0,0,0,16633388,none,TX credits and packetization,neither,288.51982112994415,577.0396422598883,288.51982112994415,577.0396422598883
b100-one-node-intra,4,3501102380,3501102380,0,0,0,0,33263148,none,TX credits and packetization,neither,285.62432384510845,1142.4972953804338,285.62432384510845,1142.4972953804338
b100-one-node-intra,8,3571374380,3571374380,0,0,0,0,66522668,none,TX credits and packetization,neither,280.00424867246767,2240.0339893797413,280.00424867246767,2240.0339893797413
b100-one-node-intra,16,3711918380,3711918380,0,0,0,0,133041708,none,TX credits and packetization,neither,269.4024753852481,4310.43960616397,269.4024753852481,4310.43960616397
b100-one-node-intra,32,4257218560,4523298348,0,266079788,0,0,266079788,none,TX credits and packetization,intra-node,234.8951518241995,7516.644858374384,221.07761263241795,7074.4836042373745
h100-two-node-serialized,1,8234981205,8234981205,0,0,0,4162920,4161068,serialization,TX credits and packetization,neither,121.43318546894,121.43318546894,121.43318546894,121.43318546894
h100-two-node-serialized,2,8276934638,8276934638,0,0,0,6240840,8318508,serialization,TX credits and packetization,neither,120.81767510992879,241.63535021985757,120.81767510992879,241.63535021985757
h100-two-node-serialized,4,8360841504,8360841504,0,0,0,10398680,16633388,serialization,TX credits and packetization,neither,119.6051856169716,478.4207424678864,119.6051856169716,478.4207424678864
h100-two-node-serialized,8,8528655235,8528655235,0,0,0,18713360,33263148,serialization,TX credits and packetization,neither,117.25177914288149,938.0142331430519,117.25177914288149,938.0142331430519
h100-two-node-serialized,16,8864282698,8864282698,0,0,0,35343720,66522668,serialization,TX credits and packetization,neither,112.81228657403092,1804.9965851844947,112.81228657403092,1804.9965851844947
h100-two-node-serialized,32,9535537623,9535537623,0,0,0,68602440,133041708,serialization,TX credits and packetization,neither,104.87085673994619,3355.867415678278,104.87085673994619,3355.867415678278
h100-nine-node-incast,1,8234981205,8234981205,0,0,0,212791980,930774,incast,TX credits and packetization,neither,121.43318546894,121.43318546894,121.43318546894,121.43318546894
h100-nine-node-incast,2,8276934638,8276934638,0,0,0,423500960,1852140,incast,TX credits and packetization,neither,120.81767510992879,241.63535021985757,120.81767510992879,241.63535021985757
h100-nine-node-incast,4,8360841504,8360841504,0,0,0,844917920,3703620,incast,TX credits and packetization,neither,119.6051856169716,478.4207424678864,119.6051856169716,478.4207424678864
h100-nine-node-incast,8,8528655235,8528655235,0,0,0,1687751840,7398674,incast,TX credits and packetization,neither,117.25177914288149,938.0142331430519,117.25177914288149,938.0142331430519
h100-nine-node-incast,16,8864282698,8864282698,0,0,0,3372835700,14786468,incast,TX credits and packetization,neither,112.81228657403092,1804.9965851844947,112.81228657403092,1804.9965851844947
h100-nine-node-incast,32,9535537623,9535537623,0,0,0,6743004420,29569308,incast,TX credits and packetization,neither,104.87085673994619,3355.867415678278,104.87085673994619,3355.867415678278
