series,configuration_id,candidate_key,batch_per_gpu,point_class,step_ps,analytical_step_ps,x_numerator,x_denominator,y_numerator,y_denominator,kernel_floor_ps,fabric_floor_ps,intra_floor_ps,fabric_excess_ps,intra_excess_ps,stamp_schema
analytical,b100-one-node-intra,9cb2b4311ed055a2310c9d51d7733d788572e1999ff9fc183cd23e4a686ca6d6,1,ESTIMATE,3448398380,3448398380,50000000000,172419919,50000000000,172419919,3448398380,0,133038080,0,0,simllm-deployment-estimate-v1
analytical,b100-one-node-intra,9cb2b4311ed055a2310c9d51d7733d788572e1999ff9fc183cd23e4a686ca6d6,2,ESTIMATE,3465966380,3465966380,50000000000,173298319,100000000000,173298319,3465966380,0,266076160,0,0,simllm-deployment-estimate-v1
analytical,b100-one-node-intra,9cb2b4311ed055a2310c9d51d7733d788572e1999ff9fc183cd23e4a686ca6d6,4,ESTIMATE,3501102380,3501102380,50000000000,175055119,200000000000,175055119,3501102380,0,532152320,0,0,simllm-deployment-estimate-v1
analytical,b100-one-node-intra,9cb2b4311ed055a2310c9d51d7733d788572e1999ff9fc183cd23e4a686ca6d6,8,ESTIMATE,3571374380,3571374380,50000000000,178568719,400000000000,178568719,3571374380,0,1064304640,0,0,simllm-deployment-estimate-v1
analytical,b100-one-node-intra,9cb2b4311ed055a2310c9d51d7733d788572e1999ff9fc183cd23e4a686ca6d6,16,ESTIMATE,3711918380,3711918380,50000000000,185595919,800000000000,185595919,3711918380,0,2128609280,0,0,simllm-deployment-estimate-v1
analytical,b100-one-node-intra,9cb2b4311ed055a2310c9d51d7733d788572e1999ff9fc183cd23e4a686ca6d6,32,ESTIMATE,4257218560,4257218560,48828125,207872,48828125,6496,3993006379,0,4257218560,0,0,simllm-deployment-estimate-v1
analytical,h100-two-node-serialized,4cd48f49931e1476e1ccaf8f194f4cfc780854b5bc9836af63f89953cfbaece8,1,ESTIMATE,8234981205,8234981205,200000000000,1646996241,200000000000,1646996241,8234981205,133038080,66519040,0,0,simllm-deployment-estimate-v1
analytical,h100-two-node-serialized,4cd48f49931e1476e1ccaf8f194f4cfc780854b5bc9836af63f89953cfbaece8,2,ESTIMATE,8276934638,8276934638,500000000000,4138467319,1000000000000,4138467319,8276934638,266076160,133038080,0,0,simllm-deployment-estimate-v1
analytical,h100-two-node-serialized,4cd48f49931e1476e1ccaf8f194f4cfc780854b5bc9836af63f89953cfbaece8,4,ESTIMATE,8360841504,8360841504,31250000000,261276297,125000000000,261276297,8360841504,532152320,266076160,0,0,simllm-deployment-estimate-v1
analytical,h100-two-node-serialized,4cd48f49931e1476e1ccaf8f194f4cfc780854b5bc9836af63f89953cfbaece8,8,ESTIMATE,8528655235,8528655235,200000000000,1705731047,1600000000000,1705731047,8528655235,1064304640,532152320,0,0,simllm-deployment-estimate-v1
analytical,h100-two-node-serialized,4cd48f49931e1476e1ccaf8f194f4cfc780854b5bc9836af63f89953cfbaece8,16,ESTIMATE,8864282698,8864282698,500000000000,4432141349,8000000000000,4432141349,8864282698,2128609280,1064304640,0,0,simllm-deployment-estimate-v1
analytical,h100-two-node-serialized,4cd48f49931e1476e1ccaf8f194f4cfc780854b5bc9836af63f89953cfbaece8,32,ESTIMATE,9535537623,9535537623,1000000000000,9535537623,32000000000000,9535537623,9535537623,4257218560,2128609280,0,0,simllm-deployment-estimate-v1
