model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,500,500,20,3.79,20,20,287.179,10.009,5281.461,0,0.0,3.79,0.948,1891.384,472.846,99.914,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,15.245,0.04,1.0,19.0,4019.0,4000,19.0,trtllm,1.3.0rc10,h200_sxm,0.0,472.846
Qwen/Qwen3-32B-FP8,4000,500,500,16,3.419,16,16,266.49,8.81,4662.567,0,0.0,3.419,0.855,1705.93,426.483,113.51,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.695,0.032,1.0,15.0,4015.0,4000,15.0,trtllm,1.3.0rc10,h200_sxm,0.0,426.483
Qwen/Qwen3-32B-FP8,4000,500,500,15,3.291,15,15,261.288,8.563,4534.345,0,0.0,3.291,0.823,1642.378,410.594,116.778,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.558,0.03,1.0,14.0,4014.0,4000,14.0,trtllm,1.3.0rc10,h200_sxm,0.0,410.594
Qwen/Qwen3-32B-FP8,4000,500,500,14,3.186,14,14,256.092,8.236,4365.848,0,0.0,3.186,0.796,1589.69,397.422,121.418,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.421,0.028,1.0,13.0,4013.0,4000,13.0,trtllm,1.3.0rc10,h200_sxm,0.0,397.422
Qwen/Qwen3-32B-FP8,4000,500,500,13,3.03,13,13,250.904,8.028,4256.782,0,0.0,3.03,0.757,1511.802,377.95,124.567,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.283,0.026,1.0,12.0,4012.0,4000,12.0,trtllm,1.3.0rc10,h200_sxm,0.0,377.95
Qwen/Qwen3-32B-FP8,4000,500,500,12,2.89,12,12,245.722,7.75,4112.998,0,0.0,2.89,0.722,1441.967,360.492,129.031,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.146,0.024,1.0,11.0,4011.0,4000,11.0,trtllm,1.3.0rc10,h200_sxm,0.0,360.492
Qwen/Qwen3-32B-FP8,4000,500,500,11,2.737,11,11,240.547,7.482,3974.046,0,0.0,2.737,0.684,1365.688,341.422,133.655,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.009,0.022,1.0,10.0,4010.0,4000,10.0,trtllm,1.3.0rc10,h200_sxm,0.0,341.422
Qwen/Qwen3-32B-FP8,4000,500,500,10,2.56,10,10,235.378,7.255,3855.69,0,0.0,2.56,0.64,1277.429,319.357,137.833,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,13.871,0.02,1.0,9.0,4009.0,4000,9.0,trtllm,1.3.0rc10,h200_sxm,0.0,319.357
Qwen/Qwen3-32B-FP8,4000,500,500,9,2.399,9,9,230.216,6.946,3696.032,0,0.0,2.399,0.6,1196.896,299.224,143.978,4,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,13.734,0.018,1.0,8.0,4008.0,4000,8.0,trtllm,1.3.0rc10,h200_sxm,0.0,299.224
Qwen/Qwen3-32B-FP8,4000,500,500,16,4.616,16,16,287.145,6.204,3382.725,0,0.0,4.616,0.577,2303.498,287.937,161.198,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.602,0.016,2.0,14.0,8014.0,8000,14.0,trtllm,1.3.0rc10,h200_sxm,0.0,287.937
Qwen/Qwen3-32B-FP8,4000,500,500,15,4.353,15,15,287.081,6.163,3362.592,0,0.0,4.353,0.544,2172.11,271.514,162.249,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.533,0.015,2.0,13.0,8013.0,8000,13.0,trtllm,1.3.0rc10,h200_sxm,0.0,271.514
Qwen/Qwen3-32B-FP8,4000,500,500,14,4.256,14,14,280.639,5.848,3198.793,0,0.0,4.256,0.532,2123.954,265.494,170.999,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.464,0.014,2.0,12.0,8012.0,8000,12.0,trtllm,1.3.0rc10,h200_sxm,0.0,265.494
Qwen/Qwen3-32B-FP8,4000,500,500,13,3.981,13,13,280.577,5.801,3175.182,0,0.0,3.981,0.498,1986.46,248.308,172.39,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.396,0.013,2.0,11.0,8011.0,8000,11.0,trtllm,1.3.0rc10,h200_sxm,0.0,248.308
Qwen/Qwen3-32B-FP8,4000,500,500,12,3.844,12,12,274.139,5.512,3024.476,0,0.0,3.844,0.48,1918.104,239.763,181.432,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.327,0.012,2.0,10.0,8010.0,8000,10.0,trtllm,1.3.0rc10,h200_sxm,0.0,239.763
Qwen/Qwen3-32B-FP8,4000,500,500,11,3.559,11,11,274.078,5.45,2993.63,0,0.0,3.559,0.445,1775.751,221.969,183.486,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.258,0.011,2.0,9.0,8009.0,8000,9.0,trtllm,1.3.0rc10,h200_sxm,0.0,221.969
Qwen/Qwen3-32B-FP8,4000,500,500,10,3.411,10,10,267.645,5.13,2827.571,0,0.0,3.411,0.426,1701.901,212.738,194.927,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.19,0.01,2.0,8.0,8008.0,8000,8.0,trtllm,1.3.0rc10,h200_sxm,0.0,212.738
Qwen/Qwen3-32B-FP8,4000,500,500,9,3.099,9,9,267.611,5.075,2800.083,0,0.0,3.099,0.387,1546.156,193.269,197.041,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.121,0.009,2.0,7.0,8007.0,8000,7.0,trtllm,1.3.0rc10,h200_sxm,0.0,193.269
Qwen/Qwen3-32B-FP8,4000,500,500,8,2.896,8,8,261.206,4.789,2651.078,0,0.0,2.896,0.362,1445.044,180.63,208.798,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.052,0.008,2.0,6.0,8006.0,8000,6.0,trtllm,1.3.0rc10,h200_sxm,0.0,180.63
Qwen/Qwen3-32B-FP8,4000,500,500,7,2.55,7,7,261.173,4.754,2633.596,0,0.0,2.55,0.319,1272.44,159.055,210.334,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,8.984,0.007,2.0,5.0,8005.0,8000,5.0,trtllm,1.3.0rc10,h200_sxm,0.0,159.055
Qwen/Qwen3-32B-FP8,4000,500,500,6,2.307,6,6,254.771,4.712,2605.927,0,0.0,2.307,0.288,1151.0,143.875,212.236,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,8.915,0.006,2.0,4.0,8004.0,8000,4.0,trtllm,1.3.0rc10,h200_sxm,0.0,143.875
Qwen/Qwen3-32B-FP8,4000,500,500,5,1.952,5,5,157.024,4.703,2503.966,0,0.0,1.952,0.244,973.904,121.738,212.617,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,8.846,0.01,1.0,4.0,4004.0,4000,4.0,trtllm,1.3.0rc10,h200_sxm,0.0,121.738
Qwen/Qwen3-32B-FP8,4000,500,500,5,1.939,5,5,254.73,4.667,2583.592,0,0.0,1.939,0.242,967.458,120.932,214.268,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,8.846,0.005,2.0,3.0,8003.0,8000,3.0,trtllm,1.3.0rc10,h200_sxm,0.0,120.932
Qwen/Qwen3-32B-FP8,4000,500,500,4,1.636,4,4,248.321,4.645,2566.063,0,0.0,1.636,0.204,816.331,102.041,215.296,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,8.778,0.004,2.0,2.0,8002.0,8000,2.0,trtllm,1.3.0rc10,h200_sxm,0.0,102.041
Qwen/Qwen3-32B-FP8,4000,500,500,4,1.612,4,4,153.252,4.54,2418.691,0,0.0,1.612,0.202,804.634,100.579,220.266,8,8,1,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,8.778,0.008,1.0,3.0,4003.0,4000,3.0,trtllm,1.3.0rc10,h200_sxm,0.0,100.579
