model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,500,500,256,24.743,1,1,3,128,128,2,196.423,17.847,9102.076,0.0,24.743,1.546,12371.4,773.212,56.032,9.164,14.373,16,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,55.039,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,773.212
Qwen/Qwen3-32B-FP8,4000,500,500,224,24.5,1,1,3,112,112,2,196.423,16.857,8608.066,0.0,24.5,1.531,12249.8,765.613,59.324,9.164,13.315,16,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,50.644,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,765.613
Qwen/Qwen3-32B-FP8,4000,500,500,288,41.238,1,1,5,48,48,6,196.423,11.904,6136.519,0.0,41.238,1.289,20619.0,644.344,84.006,9.164,8.081,32,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,33.066,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,644.344
Qwen/Qwen3-32B-FP8,4000,500,500,192,38.565,1,1,5,64,64,3,196.423,9.179,4776.744,0.0,38.565,1.205,19282.74,602.586,108.944,9.164,13.973,32,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,20.73,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,602.586
Qwen/Qwen3-32B-FP8,4000,500,500,168,34.663,1,1,5,56,56,3,196.423,8.936,4655.487,0.0,34.663,1.083,17331.42,541.607,111.906,9.164,12.559,32,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,19.632,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,541.607
Qwen/Qwen3-32B-FP8,4000,500,500,64,14.116,1,1,2,64,64,1,196.423,8.359,4367.564,0.0,14.116,0.882,7058.24,441.14,119.638,9.164,15.344,16,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.341,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,441.14
Qwen/Qwen3-32B-FP8,4000,500,500,130,24.743,1,1,3,26,26,5,196.423,7.87,4123.553,0.0,24.743,0.773,12371.4,386.606,127.064,9.164,6.621,32,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,15.512,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,386.606
Qwen/Qwen3-32B-FP8,4000,500,500,64,16.495,1,1,2,16,16,4,196.423,6.849,3614.074,0.0,16.495,0.687,8247.6,343.65,146.002,9.164,4.681,24,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.139,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,257.73749999999995
Qwen/Qwen3-32B-FP8,4000,500,500,40,12.4,1,1,2,20,20,2,196.423,5.948,3164.475,0.0,12.4,0.517,6199.88,258.328,168.131,9.164,6.739,24,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,9.32,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,193.74599999999998
Qwen/Qwen3-32B-FP8,4000,500,500,27,10.063,1,1,2,9,9,3,196.423,4.946,2664.477,0.0,10.063,0.314,5031.48,157.234,202.168,9.164,3.646,32,4,1,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.262,trtllm,1.3.0rc10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,8.564,trtllm,1.3.0rc10,h200_sxm,0,0,0,,0.0,0.0,157.234
