series,row,point_class,x_tokens_per_second_per_user,y_tokens_per_second_per_gpu,candidate_id
simllm-e0.6,1,ESTIMATE,146.97244600735127,502.22268937776215,p-tp8-w3-d-tp8-w1-b112
simllm-e0.6,2,ESTIMATE,165.829021302712,497.48706390813595,p-tp4-w6-d-tp8-w1-b96
simllm-e0.6,3,ESTIMATE,244.13553886280815,478.307323214354,p-tp4-w5-d-tp8-w1-b56
simllm-e0.6,4,ESTIMATE,269.5969418527557,462.1661860332955,p-tp4-w5-d-tp8-w1-b48
simllm-e0.6,5,ESTIMATE,340.6514345513212,446.42016833578856,p-tp8-w2-d-tp8-w1-b32
simllm-e0.6,6,ESTIMATE,378.01199970817777,409.5129996838592,p-tp4-w4-d-tp8-w1-b26
simllm-e0.6,7,ESTIMATE,424.57700813950595,401.7781515000574,p-tp4-w3-d-tp8-w1-b20
simllm-e0.6,8,ESTIMATE,462.5639777614948,370.0511822091959,p-tp4-w3-d-tp8-w1-b16
simllm-e0.6,9,ESTIMATE,548.4337707171995,308.4939960284247,p-tp8-w1-d-tp8-w1-b9
simllm-e0.6,10,ESTIMATE,563.374357213661,286.9843939286124,p-tp4-w3-d-tp8-w2-b8
simllm-e0.6,11,ESTIMATE,632.2725394291541,210.7575131430514,p-tp4-w2-d-tp8-w2-b4
simllm-e0.6,12,ESTIMATE,673.4526752847925,133.92605050001913,p-tp4-w1-d-tp8-w2-b2
simllm-e0.6,13,ESTIMATE,696.1220129306098,74.58450138542248,p-tp4-w1-d-tp8-w3-b1
simllm-e0.8,1,ESTIMATE,195.96326134313503,669.6302525012914,p-tp4-w6-d-tp8-w1-b112
simllm-e0.8,2,ESTIMATE,221.1053617491712,663.3160852475136,p-tp4-w6-d-tp8-w1-b96
simllm-e0.8,3,ESTIMATE,325.5140517905877,637.7430976202775,p-tp4-w5-d-tp8-w1-b56
simllm-e0.8,4,ESTIMATE,359.4625891370076,618.1202330759075,p-tp2-w9-d-tp8-w1-b48
simllm-e0.8,5,ESTIMATE,454.20191273509494,595.226891112259,p-tp4-w4-d-tp8-w1-b32
simllm-e0.8,6,ESTIMATE,504.01599973791974,568.1711233323999,p-tp2-w7-d-tp8-w1-b26
simllm-e0.8,7,ESTIMATE,566.1026774392233,535.7042020010331,p-tp4-w3-d-tp8-w1-b20
simllm-e0.8,8,ESTIMATE,616.7519704437555,496.0224092584444,p-tp2-w5-d-tp8-w1-b16
simllm-e0.8,9,ESTIMATE,731.2450278902922,416.6588237770933,p-tp2-w7-d-tp8-w2-b9
simllm-e0.8,10,ESTIMATE,751.1658093360896,400.6217649792478,p-tp2-w7-d-tp8-w2-b8
simllm-e0.8,11,ESTIMATE,843.0300525722056,281.01001752406853,p-tp4-w2-d-tp8-w2-b4
simllm-e0.8,12,ESTIMATE,897.9369001781507,178.5680673336777,p-tp4-w1-d-tp8-w2-b2
simllm-e0.8,13,ESTIMATE,928.1626836921082,99.44600182415445,p-tp4-w1-d-tp8-w3-b1
simllm-e1.0,1,ESTIMATE,244.95407670291976,837.0378156266142,p-tp4-w6-d-tp8-w1-b112
simllm-e1.0,2,ESTIMATE,276.38170217118665,829.1451065135599,p-tp4-w6-d-tp8-w1-b96
simllm-e1.0,3,ESTIMATE,406.8925647382346,797.1788720253469,p-tp4-w5-d-tp8-w1-b56
simllm-e1.0,4,ESTIMATE,449.32823638088036,772.6502913441947,p-tp2-w9-d-tp8-w1-b48
simllm-e1.0,5,ESTIMATE,567.7523909188686,744.0336138903237,p-tp4-w4-d-tp8-w1-b32
simllm-e1.0,6,ESTIMATE,630.0199993548595,710.2139041648658,p-tp2-w7-d-tp8-w1-b26
simllm-e1.0,7,ESTIMATE,707.628346799029,669.6302525012914,p-tp4-w3-d-tp8-w1-b20
simllm-e1.0,8,ESTIMATE,770.9399632924337,620.0280115725019,p-tp2-w5-d-tp8-w1-b16
simllm-e1.0,9,ESTIMATE,914.0562846957656,520.8235297209015,p-tp2-w7-d-tp8-w2-b9
simllm-e1.0,10,ESTIMATE,938.957261670112,500.77720622405974,p-tp2-w7-d-tp8-w2-b8
simllm-e1.0,11,ESTIMATE,1053.7875661594442,351.2625220531481,p-tp4-w2-d-tp8-w2-b4
simllm-e1.0,12,ESTIMATE,1122.4211252226883,223.21008416709714,p-tp4-w1-d-tp8-w2-b2
simllm-e1.0,13,ESTIMATE,1160.203355153564,124.30750233788186,p-tp4-w1-d-tp8-w3-b1
aiconfigurator-0.11.0,1,MEASURED-EXTERNAL,56.032,773.212,external-disaggregated-row
aiconfigurator-0.11.0,2,MEASURED-EXTERNAL,59.324,765.613,external-disaggregated-row
aiconfigurator-0.11.0,3,MEASURED-EXTERNAL,84.006,644.344,external-disaggregated-row
aiconfigurator-0.11.0,4,MEASURED-EXTERNAL,108.944,602.586,external-disaggregated-row
aiconfigurator-0.11.0,5,MEASURED-EXTERNAL,111.906,541.607,external-disaggregated-row
aiconfigurator-0.11.0,6,MEASURED-EXTERNAL,119.638,441.14,external-disaggregated-row
aiconfigurator-0.11.0,7,MEASURED-EXTERNAL,127.064,386.606,external-disaggregated-row
aiconfigurator-0.11.0,8,MEASURED-EXTERNAL,146.002,343.65,external-disaggregated-row
aiconfigurator-0.11.0,9,MEASURED-EXTERNAL,168.131,258.328,external-disaggregated-row
aiconfigurator-0.11.0,10,MEASURED-EXTERNAL,202.168,157.234,external-disaggregated-row
