evidence_class,family,id,expected,observed,units,passed
exact-oracle,L-A,L-A-b1,135038,135038,ns,true
exact-oracle,L-A,L-A-b2,268076,268076,ns,true
exact-oracle,L-A,L-A-b4,534152,534152,ns,true
exact-oracle,L-A,L-A-b8,1066304,1066304,ns,true
exact-oracle,L-A,L-A-b16,2130609,2130609,ns,true
exact-oracle,L-A,L-A-b32,4259218,4259218,ns,true
exact-oracle,L-B,L-B-b1,31564,31564,ns,true
exact-oracle,L-B,L-B-b2,61128,61128,ns,true
exact-oracle,L-B,L-B-b4,120256,120256,ns,true
exact-oracle,L-B,L-B-b8,238512,238512,ns,true
exact-oracle,L-B,L-B-b16,475024,475024,ns,true
exact-oracle,L-B,L-B-b32,948048,948048,ns,true
behavioral-relation,M-1,M-1-b1,"{""lower"": {""decimal"": 1.0, ""denominator"": 1, ""numerator"": 1, ""reduced_denominator"": 1, ""reduced_numerator"": 1}, ""upper"": {""decimal"": 1.02, ""denominator"": 50, ""numerator"": 51, ""reduced_denominator"": 50, ""reduced_numerator"": 51}}","{""decimal"": 1.016017713532487, ""denominator"": 135038000, ""numerator"": 137201000, ""reduced_denominator"": 135038, ""reduced_numerator"": 137201}",quotient,true
behavioral-relation,M-1,M-1-b2,"{""lower"": {""decimal"": 1.0, ""denominator"": 1, ""numerator"": 1, ""reduced_denominator"": 1, ""reduced_numerator"": 1}, ""upper"": {""decimal"": 1.02, ""denominator"": 50, ""numerator"": 51, ""reduced_denominator"": 50, ""reduced_numerator"": 51}}","{""decimal"": 1.0158201405571554, ""denominator"": 268076000, ""numerator"": 272317000, ""reduced_denominator"": 268076, ""reduced_numerator"": 272317}",quotient,true
behavioral-relation,M-1,M-1-b4,"{""lower"": {""decimal"": 1.0, ""denominator"": 1, ""numerator"": 1, ""reduced_denominator"": 1, ""reduced_numerator"": 1}, ""upper"": {""decimal"": 1.02, ""denominator"": 50, ""numerator"": 51, ""reduced_denominator"": 50, ""reduced_numerator"": 51}}","{""decimal"": 1.0157239886773801, ""denominator"": 534152000, ""numerator"": 542551000, ""reduced_denominator"": 534152, ""reduced_numerator"": 542551}",quotient,true
behavioral-relation,M-1,M-1-b8,"{""lower"": {""decimal"": 1.0, ""denominator"": 1, ""numerator"": 1, ""reduced_denominator"": 1, ""reduced_numerator"": 1}, ""upper"": {""decimal"": 1.02, ""denominator"": 50, ""numerator"": 51, ""reduced_denominator"": 50, ""reduced_numerator"": 51}}","{""decimal"": 1.0156747043994958, ""denominator"": 1066304000, ""numerator"": 1083018000, ""reduced_denominator"": 533152, ""reduced_numerator"": 541509}",quotient,true
behavioral-relation,M-1,M-1-b16,"{""lower"": {""decimal"": 1.0, ""denominator"": 1, ""numerator"": 1, ""reduced_denominator"": 1, ""reduced_numerator"": 1}, ""upper"": {""decimal"": 1.02, ""denominator"": 50, ""numerator"": 51, ""reduced_denominator"": 50, ""reduced_numerator"": 51}}","{""decimal"": 1.0156499855205718, ""denominator"": 2130609000, ""numerator"": 2163953000, ""reduced_denominator"": 2130609, ""reduced_numerator"": 2163953}",quotient,true
behavioral-relation,M-1,M-1-b32,"{""lower"": {""decimal"": 1.0, ""denominator"": 1, ""numerator"": 1, ""reduced_denominator"": 1, ""reduced_numerator"": 1}, ""upper"": {""decimal"": 1.02, ""denominator"": 50, ""numerator"": 51, ""reduced_denominator"": 50, ""reduced_numerator"": 51}}","{""decimal"": 1.0156373775655532, ""denominator"": 4259218000, ""numerator"": 4325821000, ""reduced_denominator"": 4259218, ""reduced_numerator"": 4325821}",quotient,true
behavioral-relation,M-2,M-2-b1,"{""lower"": {""decimal"": 7.5, ""denominator"": 2, ""numerator"": 15, ""reduced_denominator"": 2, ""reduced_numerator"": 15}, ""upper"": {""decimal"": 8.5, ""denominator"": 2, ""numerator"": 17, ""reduced_denominator"": 2, ""reduced_numerator"": 17}}","{""decimal"": 7.678241034089469, ""denominator"": 31564000, ""numerator"": 242356000, ""reduced_denominator"": 7891, ""reduced_numerator"": 60589}",quotient,true
behavioral-relation,M-2,M-2-b2,"{""lower"": {""decimal"": 7.5, ""denominator"": 2, ""numerator"": 15, ""reduced_denominator"": 2, ""reduced_numerator"": 15}, ""upper"": {""decimal"": 8.5, ""denominator"": 2, ""numerator"": 17, ""reduced_denominator"": 2, ""reduced_numerator"": 17}}","{""decimal"": 7.89538345766261, ""denominator"": 61128000, ""numerator"": 482629000, ""reduced_denominator"": 61128, ""reduced_numerator"": 482629}",quotient,true
behavioral-relation,M-2,M-2-b4,"{""lower"": {""decimal"": 7.5, ""denominator"": 2, ""numerator"": 15, ""reduced_denominator"": 2, ""reduced_numerator"": 15}, ""upper"": {""decimal"": 8.5, ""denominator"": 2, ""numerator"": 17, ""reduced_denominator"": 2, ""reduced_numerator"": 17}}","{""decimal"": 8.009363358169239, ""denominator"": 120256000, ""numerator"": 963174000, ""reduced_denominator"": 60128, ""reduced_numerator"": 481587}",quotient,true
behavioral-relation,M-2,M-2-b8,"{""lower"": {""decimal"": 7.5, ""denominator"": 2, ""numerator"": 15, ""reduced_denominator"": 2, ""reduced_numerator"": 15}, ""upper"": {""decimal"": 8.5, ""denominator"": 2, ""numerator"": 17, ""reduced_denominator"": 2, ""reduced_numerator"": 17}}","{""decimal"": 8.067786945730195, ""denominator"": 238512000, ""numerator"": 1924264000, ""reduced_denominator"": 29814, ""reduced_numerator"": 240533}",quotient,true
behavioral-relation,M-2,M-2-b16,"{""lower"": {""decimal"": 7.5, ""denominator"": 2, ""numerator"": 15, ""reduced_denominator"": 2, ""reduced_numerator"": 15}, ""upper"": {""decimal"": 8.5, ""denominator"": 2, ""numerator"": 17, ""reduced_denominator"": 2, ""reduced_numerator"": 17}}","{""decimal"": 8.096138300380613, ""denominator"": 475024000, ""numerator"": 3845860000, ""reduced_denominator"": 118756, ""reduced_numerator"": 961465}",quotient,true
behavioral-relation,M-2,M-2-b32,"{""lower"": {""decimal"": 7.5, ""denominator"": 2, ""numerator"": 15, ""reduced_denominator"": 2, ""reduced_numerator"": 15}, ""upper"": {""decimal"": 8.5, ""denominator"": 2, ""numerator"": 17, ""reduced_denominator"": 2, ""reduced_numerator"": 17}}","{""decimal"": 8.110404747438949, ""denominator"": 948048000, ""numerator"": 7689053000, ""reduced_denominator"": 948048, ""reduced_numerator"": 7689053}",quotient,true
behavioral-relation,M-3,M-3-b1,"{""lower"": {""decimal"": 1.0, ""denominator"": 1, ""numerator"": 1, ""reduced_denominator"": 1, ""reduced_numerator"": 1}, ""upper"": {""decimal"": 1.035, ""denominator"": 200, ""numerator"": 207, ""reduced_denominator"": 200, ""reduced_numerator"": 207}}","{""decimal"": 1.0172981878088962, ""denominator"": 31564000, ""numerator"": 32110000, ""reduced_denominator"": 1214, ""reduced_numerator"": 1235}",quotient,true
behavioral-relation,M-3,M-3-b2,"{""lower"": {""decimal"": 1.0, ""denominator"": 1, ""numerator"": 1, ""reduced_denominator"": 1, ""reduced_numerator"": 1}, ""upper"": {""decimal"": 1.035, ""denominator"": 200, ""numerator"": 207, ""reduced_denominator"": 200, ""reduced_numerator"": 207}}","{""decimal"": 1.0164899882214369, ""denominator"": 61128000, ""numerator"": 62136000, ""reduced_denominator"": 849, ""reduced_numerator"": 863}",quotient,true
