check,parameter_a_name,parameter_a,parameter_b_name,parameter_b,measured_value,expected_value,residual,unit
sm_waves,grid_blocks,4,sm_count,1,1024,1024,0,cycles
sm_waves,grid_blocks,4,sm_count,4,256,256,0,cycles
sm_waves,grid_blocks,9,sm_count,1,2304,2304,0,cycles
sm_waves,grid_blocks,9,sm_count,4,768,768,0,cycles
warp_issue,ready_warps,4,schedulers_per_sm,1,7,7,0,cycles
warp_issue,ready_warps,4,schedulers_per_sm,4,4,4,0,cycles
warp_issue,ready_warps,16,schedulers_per_sm,1,19,19,0,cycles
warp_issue,ready_warps,16,schedulers_per_sm,4,7,7,0,cycles
dependency_chain,instructions,8,schedulers_per_sm,1,32,32,0,cycles
dependency_chain,instructions,8,schedulers_per_sm,4,32,32,0,cycles
occupancy,threads_per_block,128,registers_per_thread,32,16,16,0,resident_ctas_per_sm
occupancy,threads_per_block,128,registers_per_thread,128,4,4,0,resident_ctas_per_sm
occupancy,threads_per_block,256,registers_per_thread,32,8,8,0,resident_ctas_per_sm
occupancy,threads_per_block,256,registers_per_thread,128,2,2,0,resident_ctas_per_sm
hbm,transacted_bytes,4096,bytes_per_cycle,32,228,228,0,cycles
hbm,transacted_bytes,4096,bytes_per_cycle,64,164,164,0,cycles
hbm,transacted_bytes,8192,bytes_per_cycle,32,356,356,0,cycles
hbm,transacted_bytes,8192,bytes_per_cycle,64,228,228,0,cycles
copy,descriptor_bytes,4096,bytes_per_cycle,32,148,148,0,copy_engine_cycles
copy,descriptor_bytes,4096,bytes_per_cycle,64,84,84,0,copy_engine_cycles
copy,descriptor_bytes,8192,bytes_per_cycle,32,276,276,0,copy_engine_cycles
copy,descriptor_bytes,8192,bytes_per_cycle,64,148,148,0,copy_engine_cycles
