check,evidence_class,family,case,expected,measured,residual,status
A1,exact_oracle,pipeline throughput closed form,interval=1,11,11,0,PASS
A1,exact_oracle,pipeline throughput closed form,interval=2,18,18,0,PASS
A1,exact_oracle,pipeline throughput closed form,interval=4,32,32,0,PASS
A2,exact_oracle,dependent-chain closed form,interval=1,32,32,0,PASS
A2,exact_oracle,dependent-chain closed form,interval=4,32,32,0,PASS
A3,exact_oracle,two-SM compute closed form,"interval=1,sm_count=2",7,7,0,PASS
B1,exact_oracle,HBM serialization closed form,"bytes=64,bw=32,sms=1",164,164,0,PASS
B2,behavioral_relation,HBM duration is SM-count invariant,"bytes=64,bw=32,sms=2",164,164,0,PASS
B1,exact_oracle,HBM serialization closed form,"bytes=64,bw=64,sms=1",132,132,0,PASS
B2,behavioral_relation,HBM duration is SM-count invariant,"bytes=64,bw=64,sms=2",132,132,0,PASS
B1,exact_oracle,HBM serialization closed form,"bytes=128,bw=32,sms=1",228,228,0,PASS
B2,behavioral_relation,HBM duration is SM-count invariant,"bytes=128,bw=32,sms=2",228,228,0,PASS
B1,exact_oracle,HBM serialization closed form,"bytes=128,bw=64,sms=1",164,164,0,PASS
B2,behavioral_relation,HBM duration is SM-count invariant,"bytes=128,bw=64,sms=2",164,164,0,PASS
B3,behavioral_relation,HBM serialization scales inversely with bandwidth,serialization ratio,64,64,0,PASS
C1,exact_oracle,ring egress byte closed form,"payload=65536,world=2,egress",65536,65536,0,PASS
C1,structural_invariant,ring load-store byte symmetry,"payload=65536,world=2,loaded",65536,65536,0,PASS
C1,exact_oracle,ring egress byte closed form,"payload=65536,world=4,egress",98304,98304,0,PASS
C1,structural_invariant,ring load-store byte symmetry,"payload=65536,world=4,loaded",98304,98304,0,PASS
C1,exact_oracle,ring egress byte closed form,"payload=65536,world=8,egress",114688,114688,0,PASS
C1,structural_invariant,ring load-store byte symmetry,"payload=65536,world=8,loaded",114688,114688,0,PASS
C1,exact_oracle,ring egress byte closed form,"payload=131072,world=2,egress",131072,131072,0,PASS
C1,structural_invariant,ring load-store byte symmetry,"payload=131072,world=2,loaded",131072,131072,0,PASS
C1,exact_oracle,ring egress byte closed form,"payload=131072,world=4,egress",196608,196608,0,PASS
C1,structural_invariant,ring load-store byte symmetry,"payload=131072,world=4,loaded",196608,196608,0,PASS
C1,exact_oracle,ring egress byte closed form,"payload=131072,world=8,egress",229376,229376,0,PASS
C1,structural_invariant,ring load-store byte symmetry,"payload=131072,world=8,loaded",229376,229376,0,PASS
C2,exact_oracle,NVLink serialization closed form,"chunk=64,bw=8",456,456,0,PASS
