check,fct_us,measured_us,ratio,ok,goodput_gbps,rendered_gbps,shortfall_pct,max_abs_jct_difference_ps,curve_gbps,mismatched_fields,cells,ratios,nack_us,worst_deviation,rtx_by_source,worst_source_share_pct,clean_sources,unreacted_drops_by_ingress,worst_unreacted_deviation_pct,drops_by_ingress,worst_run_deviation_pct,reason,loss_fractions,min_rate_gbps,loss_rate_cuts,worst_share_deviation_pp,shares,ceiling_gbps,comparator_baseline_gbps,makespan_us,silent_rtos,gbn_nacks,dropped_packets,offending_cells,max_ecn_marked_packets,max_shared_pool_dropped_packets,max_pause_frames
M1,2.0808,2.08,1.0004,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,,,,True,97.7488,100.0,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-buffer,,,,reported,,,,0,4096:11.9773;65536:67.8441;1048576:95.7382;4194304:97.7488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,,,,True,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3a,,,,True,,,,,,,4,n2b5200000:1.0033;n2b2600000:1.0061;n3b5200000:1.0047;n3b2600000:1.0086,n2b5200000:834.705;n2b2600000:418.552;n3b5200000:626.956;n3b2600000:314.677,0.0086,,,,,,,,,,,,,,,,,,,,,,,
M3a-loss-split,,,,reported,,,,,,,,,,,n2b5200000:1:10591;2:9368;n2b2600000:1:13376;2:8817;n3b5200000:1:27855;2:29542;3:16662;n3b2600000:1:24997;2:19217;3:24990,n2b5200000:53.064;n2b2600000:60.271;n3b5200000:39.89;n3b2600000:36.121,n2b5200000:0;n2b2600000:0;n3b5200000:0;n3b2600000:0,,,,,,,,,,,,,,,,,,,,
M3a-drop-split,,,,reported,,,,,,,,,,,,,,n2b5200000:1:638;2:637;n2b2600000:1:320;2:320;n3b5200000:1:851;2:850;3:850;n3b2600000:1:427;2:427;3:426,0.156,n2b5200000:1:6717;2:2915;n2b2600000:1:10920;2:1366;n3b5200000:1:22517;2:11248;3:11771;n3b2600000:1:23350;2:3790;3:22488,77.763,,,,,,,,,,,,,,,,
M3b,,,,void,,,,,,,,,,,,,,,,,,"the measured identity needs an open-loop paced sender; this path has only a DCQCN closed-loop source with loss_rate_cut on, so the excess collapses",n2b5200000:0.263133;n2b2600000:0.316332;n3b5200000:0.45983;n3b2600000:0.526988,n2b5200000:50.0;n2b2600000:48.9451;n3b5200000:50.0;n3b2600000:49.1899,n2b5200000:12;n2b2600000:8;n3b5200000:22;n3b2600000:19,,,,,,,,,,,,
M4,,,,False,,,,,,,,,,,,,,,,,,,,,,15.546,262144b5200000:50.0/50.0;262144b2600000:49.994/50.006;1048576b5200000:34.454/65.546;1048576b2600000:50.0/50.0,,,,,,,,,,
B1,,,,True,3.9187,,,,,,,,,,,,,,,,,,,,,,,20.0,7.351,137002.751,43,33,7870,,,,
G2,,,,True,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,none,,,
G3,,,,True,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,0,,
G4,,,,True,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,0,
G5-pfc-still,,,,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
