cell_id,measured_rank,datasheet_rank,class,verdict,arm,bytes_declared,cell_guard_findings,cell_void,compute_peak_flops_s,datasheet_binding_floor_s,datasheet_bytes_s,datasheet_class,datasheet_compute_fraction,datasheet_diagnostic_below_0.25,datasheet_diagnostic_below_0.5,datasheet_diagnostic_below_0.75,datasheet_flops_s,datasheet_fraction,datasheet_intensity_flops_byte,datasheet_memory_fraction,datasheet_ridge_class,datasheet_ridge_flops_byte,device,device_batch_mean_s,distinct_bytes,distribution_verdict,evidence_class,family,flop_accounting,flops_declared,host_issue_bound,host_loop_mean_s,host_ratio_max,launch_bound,launch_count_in_cell,launch_count_per_step,launch_scale_s,measured_binding_floor_s,measured_bytes_s,measured_class,measured_compute_fraction,measured_diagnostic_below_0.25,measured_diagnostic_below_0.5,measured_diagnostic_below_0.75,measured_flops_s,measured_fraction,measured_intensity_flops_byte,measured_memory_fraction,measured_ridge_class,measured_ridge_flops_byte,memory_mhz,nsys_time_s,physical_floor_s,record_sha256,shape,sm_mhz_high,sm_mhz_low,source_batch_cv,source_file,source_group,source_guard_reasons,source_in_scored_scope,source_state,source_void,source_void_for_scoring,time_s,verdict_void,work_missing_reason,work_state
constants/boosted/attn_decode_b1_l128,1,1,launch-bound,void-with-findings,boosted,262144,[],False,311869440000000.0,1.285624607658506e-07,9637647058.82353,launch-bound,6.1805652126887e-05,False,False,False,19275294117.64706,0.004726561057568036,2.0,0.004726561057568036,HBM-bound,152.94915254237287,a100,0.0002176,262144,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,524288,False,1.3084e-05,0.06876474056603774,True,1,,1.8060582199999998e-06,1.463437510986328e-07,9637647058.82353,launch-bound,6.1805652126887e-05,False,False,False,19275294117.64706,0.0053802849668615,2.0,0.0053802849668615,HBM-bound,174.10333138515472,1593,,1.6811137378513265e-09,,"{""k"":64,""length"":128,""m"":1,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.002352941176470578,examples/a100_kernel_constants_v1/measurements/results.json,8,"[""G9R"",""G10"",""G11R""]",False,void,True,False,2.72e-05,True,,declared
constants/boosted/attn_decode_b1_l512,2,2,launch-bound,void-with-findings,boosted,1048576,[],False,311869440000000.0,5.142498430634024e-07,11511007025.761126,launch-bound,7.381939715389315e-05,False,False,False,23022014051.52225,0.005645307117938405,2.0,0.005645307117938405,HBM-bound,152.94915254237287,a100,0.0003643733333333333,1048576,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,2097152,False,6.564916666666666e-06,0.018689102001404494,True,1,,1.8060582199999998e-06,5.853750043945312e-07,11511007025.761126,launch-bound,7.381939715389315e-05,False,False,False,23022014051.52225,0.006426101482668303,2.0,0.006426101482668303,HBM-bound,174.10333138515472,1593,,6.724454951405306e-09,,"{""k"":64,""length"":512,""m"":1,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.0010473386311474105,examples/a100_kernel_constants_v1/measurements/results.json,4,"[""G9R"",""G10"",""G11R""]",False,void,True,False,9.109333333333332e-05,True,,declared
constants/boosted/attn_decode_b1_l8192,3,3,HBM-bound,void-with-findings,boosted,16777216,[],False,311869440000000.0,8.227997489014438e-06,11677139632.951237,HBM-bound,7.488479559235581e-05,True,True,True,23354279265.902473,0.005726783012079821,2.0,0.005726783012079821,HBM-bound,152.94915254237287,a100,0.0014367573333333335,16777216,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,33554432,False,1.6347499999999999e-06,0.0011763456723891273,False,1,,1.8060582199999998e-06,9.3660000703125e-06,11677139632.951237,HBM-bound,7.488479559235581e-05,True,True,True,23354279265.902473,0.006518846191362749,2.0,0.006518846191362749,HBM-bound,174.10333138515472,1593,,1.075912792224849e-07,,"{""k"":64,""length"":8192,""m"":1,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.0015246775141644579,examples/a100_kernel_constants_v1/measurements/results.json,1,"[""G9R"",""G10"",""G11R""]",False,void,True,False,0.0014367573333333335,True,,declared
constants/boosted/attn_decode_b1_l2048,4,4,HBM-bound,void-with-findings,boosted,4194304,[],False,311869440000000.0,2.0569993722536095e-06,12097464927.393553,HBM-bound,7.758031647726402e-05,True,True,True,24194929854.787106,0.00593292182958331,2.0,0.00593292182958331,HBM-bound,152.94915254237287,a100,0.0003467093333333333,4194304,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,8388608,False,1.6105e-06,0.0048336954511834325,False,1,,1.8060582199999998e-06,2.341500017578125e-06,12097464927.393553,HBM-bound,7.758031647726402e-05,True,True,True,24194929854.787106,0.006753495774303138,2.0,0.006753495774303138,HBM-bound,174.10333138515472,1593,,2.6897819805621224e-08,,"{""k"":64,""length"":2048,""m"":1,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.0014560865821067555,examples/a100_kernel_constants_v1/measurements/results.json,1,"[""G9R"",""G10"",""G11R""]",False,void,True,False,0.0003467093333333333,True,,declared
constants/boosted/attn_decode_b4_l8192,5,5,HBM-bound,void-with-findings,boosted,67108864,[],False,311869440000000.0,3.291198995605775e-05,25902704127.00504,HBM-bound,0.0001661124868599183,True,True,True,51805408254.01008,0.012703382045965276,2.0,0.012703382045965276,HBM-bound,152.94915254237287,a100,0.0025908053333333334,67108864,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,134217728,False,1.6347499999999999e-06,0.0006655922418908228,False,1,,1.8060582199999998e-06,3.746400028125e-05,25902704127.00504,HBM-bound,0.0001661124868599183,True,True,True,51805408254.01008,0.014460368673492256,2.0,0.014460368673492256,HBM-bound,174.10333138515472,1593,,1.2341996233521658e-05,,"{""k"":64,""length"":8192,""m"":4,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.001123243167549149,examples/a100_kernel_constants_v1/measurements/results.json,1,"[""G9R"",""G10"",""G11R""]",False,void,True,False,0.0025908053333333334,True,,declared
constants/boosted/attn_decode_b4_l128,6,6,launch-bound,void-with-findings,boosted,1048576,[],False,311869440000000.0,5.142498430634024e-07,38475146771.03718,launch-bound,0.00024673880692534147,False,False,False,76950293542.07436,0.01886924570927357,2.0,0.01886924570927357,HBM-bound,152.94915254237287,a100,0.00021802666666666668,1048576,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,2097152,False,1.2840666666666667e-05,0.05994626613849765,True,1,,1.8060582199999998e-06,5.853750043945312e-07,38475146771.03718,launch-bound,0.00024673880692534147,False,False,False,76950293542.07436,0.021479024133850215,2.0,0.021479024133850215,HBM-bound,174.10333138515472,1593,,6.724454951405306e-09,,"{""k"":64,""length"":128,""m"":4,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.0030063192750953323,examples/a100_kernel_constants_v1/measurements/results.json,8,"[""G9R"",""G10"",""G11R""]",False,void,True,False,2.7253333333333336e-05,True,,declared
constants/boosted/attn_decode_b4_l512,7,7,HBM-bound,void-with-findings,boosted,4194304,[],False,311869440000000.0,2.0569993722536095e-06,45722790697.674416,HBM-bound,0.000293217512415929,True,True,True,91445581395.34883,0.022423685017299518,2.0,0.022423685017299518,HBM-bound,152.94915254237287,a100,0.0003669333333333334,4194304,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,8388608,False,6.570916666666668e-06,0.01880494864206128,False,1,,1.8060582199999998e-06,2.341500017578125e-06,45722790697.674416,HBM-bound,0.000293217512415929,True,True,True,91445581395.34883,0.025525072866040603,2.0,0.025525072866040603,HBM-bound,174.10333138515472,1593,,2.6897819805621224e-08,,"{""k"":64,""length"":512,""m"":4,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.0013155474998819779,examples/a100_kernel_constants_v1/measurements/results.json,4,"[""G9R"",""G10"",""G11R""]",False,void,True,False,9.173333333333334e-05,True,,declared
constants/boosted/attn_decode_b4_l2048,8,8,HBM-bound,void-with-findings,boosted,16777216,[],False,311869440000000.0,8.227997489014438e-06,47103018687.11069,HBM-bound,0.0003020688316695005,True,True,True,94206037374.22137,0.02310058590665739,2.0,0.02310058590665739,HBM-bound,152.94915254237287,a100,0.00035618133333333333,16777216,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,33554432,False,1.6080833333333334e-06,0.004567610770893372,False,1,,1.8060582199999998e-06,9.3660000703125e-06,47103018687.11069,HBM-bound,0.0003020688316695005,True,True,True,94206037374.22137,0.026295594950640776,2.0,0.026295594950640776,HBM-bound,174.10333138515472,1593,,1.075912792224849e-07,,"{""k"":64,""length"":2048,""m"":4,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.0025803377130496213,examples/a100_kernel_constants_v1/measurements/results.json,1,"[""G9R"",""G10"",""G11R""]",False,void,True,False,0.00035618133333333333,True,,declared
constants/boosted/attn_decode_b16_l2048,9,9,HBM-bound,void-with-findings,boosted,67108864,[],False,311869440000000.0,3.291198995605775e-05,99636640060.81337,HBM-bound,0.0006389637924178359,True,True,True,199273280121.62674,0.04886448527778433,2.0,0.04886448527778433,HBM-bound,152.94915254237287,a100,0.0006735360000000001,67108864,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,134217728,False,1.6080833333333334e-06,0.0024532793503039517,False,1,,1.8060582199999998e-06,3.746400028125e-05,99636640060.81337,HBM-bound,0.0006389637924178359,True,True,True,199273280121.62674,0.05562286244721885,2.0,0.05562286244721885,HBM-bound,174.10333138515472,1593,,1.2341996233521658e-05,,"{""k"":64,""length"":2048,""m"":16,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.002161246941496503,examples/a100_kernel_constants_v1/measurements/results.json,1,"[""G9R"",""G10"",""G11R""]",True,void,True,False,0.0006735360000000001,True,,declared
constants/boosted/attn_decode_b16_l8192,10,10,HBM-bound,void-with-findings,boosted,268435456,[],False,311869440000000.0,0.000131647959824231,100524973636.27647,HBM-bound,0.0006446606223185989,True,True,True,201049947272.55295,0.04930014793053421,2.0,0.04930014793053421,HBM-bound,152.94915254237287,a100,0.002670336,268435456,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,536870912,False,1.62175e-06,0.0006782099444869831,False,1,,1.8060582199999998e-06,0.000149856001125,100524973636.27647,HBM-bound,0.0006446606223185989,True,True,True,201049947272.55295,0.05611878097924755,2.0,0.05611878097924755,HBM-bound,174.10333138515472,1593,,0.00011107796610169492,,"{""k"":64,""length"":8192,""m"":16,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.0008873194245943325,examples/a100_kernel_constants_v1/measurements/results.json,1,"[""G9R"",""G10"",""G11R""]",True,void,True,False,0.002670336,True,,declared
