evidence_class,family,id,expected,observed,units,passed
exact-oracle,E1,E1-base,175,175,ns,true
exact-oracle,E1,E1-L,205,205,ns,true
exact-oracle,E1,E1-o,181,181,ns,true
exact-oracle,E1,E1-g,179,179,ns,true
exact-oracle,E1,E1-G,207,207,ns,true
exact-oracle,E1,E1-O,239,239,ns,true
exact-oracle,E1,E1-S50,277,277,ns,true
exact-oracle,E1,E1-S51,277,277,ns,true
exact-oracle,E1,E1-held,579,579,ns,true
exact-oracle,E2,E2-s50,0,0,ns,true
exact-oracle,E2,E2-s51,1,1,ns,true
exact-oracle,E2,E2-s64,1,1,ns,true
exact-oracle,E2,E2-s101,2,2,ns,true
exact-oracle,E2,E2-s4096,81,81,ns,true
exact-oracle,E2,E2-s65536,1310,1310,ns,true
exact-oracle,E2,E2-s1048576,20971,20971,ns,true
exact-oracle,E3,E3-requires,140,140,ns,true
exact-oracle,E3,E3-irequires,123,123,ns,true
exact-oracle,E4,E4-A-round,175,175,ns,true
exact-oracle,E4,E4-A-chain,700,700,ns,true
exact-oracle,E4,E4-A-allreduce,1050,1050,ns,true
exact-oracle,E4,E4-B-round,6581,6581,ns,true
exact-oracle,E4,E4-B-chain,26324,26324,ns,true
exact-oracle,E4,E4-B-allreduce,39486,39486,ns,true
exact-oracle,E5,E5-A,1462,1462,ns,true
exact-oracle,E5,E5-B,13569,13569,ns,true
exact-oracle,E6,E6-chain,4422432,4422432,ns,true
exact-oracle,E6,E6-alltoall,1408731,1408731,ns,true
live-identity,L1,L1a,0,0,identity,true
live-identity,L1,L1b,202000,202000,identity,true
live-identity,L1,L1c,"{""200000000000"": ""0.04"", ""400000000000"": ""0.02""}","{""200000000000"": ""0.04"", ""400000000000"": ""0.02""}",identity,true
wall-time,W,W1,1.0,0.002033177,s,true
wall-time,W,W2,5.0,0.020580883,s,true
wall-time,W,W3,30.0,0.516878711,s,true
