evidence_class,family,id,kind,passed,expected,observed,units,detail
GUARD,FG,FG-AGG-1a,fatal,True,true,true,,all positive forward-pass durations come from the imported measured operation database and RooflineProvider was never reached
GUARD,FG,FG-AGG-1b,fatal,True,true,true,,"the five reachable adjustments, donor source hashes, source ranges and imported memory constants match the freeze"
GUARD,FG,FG-AGG-1c,fatal,True,true,true,,all ten declared factors have complete remove-one TPOT and TTFT projections with identity on unreachable outputs
GUARD,FG,FG-AGG-2,fatal,True,true,true,,"all protected prior publications, the aggregate table and the parity record are byte-identical before and after evaluation"
GUARD,FG,FG-AGG-3,fatal,True,true,true,,"package versions, imported slice identity, donor hashes and source line ranges match the frozen aggregate semantics"
GUARD,FG,FG-AGG-4,fatal,True,true,true,,every figure series names its strategy and traffic while both co-located aggregate arms carry zero P/D handoff bytes and start no packet process
GUARD,FG,FG-AGG-5,fatal,True,true,true,,"every published operating-point TTFT is decomposed into prefill, queueing and a residual inside the frozen rounding bound"
GUARD,FG,FG-AGG-7,fatal,True,true,true,,"all 25 scheduling counters, table identities, axes and request rates reproduce the declared aggregate arithmetic"
GUARD,FG,FG-AGG-8,fatal,True,true,true,,"all measured aggregate services satisfy the frozen HBM, compute, causal, scaling and throughput bounds"
GUARD,FG,FG-AGG-9,fatal,True,true,true,,the immutable DEPLOY-22 expectation freeze precedes this implementation and evaluation
MEASURED-EXTERNAL,AR,AR-01,scored,True,"[0.98, 1.02]",0.999958049968,,aggregate-tp4-b20-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-02,scored,True,"[0.98, 1.02]",0.999974265342,,aggregate-tp4-b16-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-03,scored,True,"[0.98, 1.02]",1.000028075001,,aggregate-tp4-b15-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-04,scored,True,"[0.98, 1.02]",0.999997899320,,aggregate-tp4-b14-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-05,scored,True,"[0.98, 1.02]",0.999976581561,,aggregate-tp4-b13-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-06,scored,True,"[0.98, 1.02]",1.000006805812,,aggregate-tp4-b12-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-07,scored,True,"[0.98, 1.02]",0.999994978670,,aggregate-tp4-b11-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-08,scored,True,"[0.98, 1.02]",1.000018454060,,aggregate-tp4-b10-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-09,scored,True,"[0.98, 1.02]",0.999931345189,,aggregate-tp4-b9-ctx4000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-10,scored,True,"[0.98, 1.02]",0.999930062827,,aggregate-tp8-b16-ctx8000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-11,scored,True,"[0.98, 1.02]",1.000056418122,,aggregate-tp8-b15-ctx8000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-12,scored,True,"[0.98, 1.02]",1.000000630017,,aggregate-tp8-b14-ctx8000; composed TPOT / published aggregate operating-point TPOT
MEASURED-EXTERNAL,AR,AR-13,scored,True,"[0.98, 1.02]",0.999967472313,,aggregate-tp8-b13-ctx8000; composed TPOT / published aggregate operating-point TPOT
