architecture,condition_id,family,width,bytes,requested_protocol,protocol,requested_channels,channels,requested_sms,granted_sms,requested_threads,warps,warmup,iterations,rotate,qualified_control,unqualified_reasons,physical_floor_us,captures,repetitions,event_us,event_us_q1,event_us_q3,wall_us,wall_us_q1,wall_us_q3,paired_gap_us,paired_gap_us_q1,paired_gap_us_q3
a100,c0000,channels,2,16384,LL,LL,1,1,0,108,0,16,20,100,0,True,,0.16383999999999999,205237;205466,5,12.9638397694,11.8271994591,12.9740798473,13.05117,11.89724,13.07371,0.07392960690000017,0.0725099726000007,0.0770901527000003
a100,c0000,channels,2,65536,LL,LL,1,1,0,108,0,16,20,100,0,True,,0.6553599999999999,205237;205466,5,19.8143994808,19.7632002831,19.8655998707,19.89106,19.83164,19.93825,0.07397018480000028,0.07265012930000125,0.07666051920000072
a100,c0000,channels,2,131072,LL,LL,1,1,0,108,0,16,20,100,0,True,,1.3107199999999999,205237;205466,5,36.0345602036,36.0038399696,36.0652804375,36.11303,36.07668,36.13678,0.07697976910000648,0.07284003040000187,0.07846979640000029
a100,c0000,channels,2,262144,LL,LL,1,1,0,108,0,16,20,100,0,True,,2.6214399999999998,205237;205466,5,64.0819215775,58.0198383331,64.0921592712,64.16813,58.09704,64.17144,0.07928072880000059,0.07720166690000241,0.07945830199999904
a100,c0000,channels,2,524288,LL,LL,1,1,0,108,0,16,20,100,0,True,,5.2428799999999995,205237;205466,5,108.994560242,108.943357468,109.096956253,109.07304,109.0145,109.18106,0.07847975800000029,0.07448100599999918,0.07880642199999954
a100,c0000,channels,2,1048576,LL,LL,1,1,0,108,0,16,20,100,0,True,,10.485759999999999,205237;205466,5,217.948150635,210.90303421,233.379840851,218.0223,210.98596,233.46519,0.08292579000001865,0.0741493650000109,0.08534914899999535
a100,c0000,channels,2,2097152,LL,LL,1,1,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,458.29120636,414.023666382,458.444786072,458.37057,414.10267,458.52003,0.07900361800000155,0.07744781500002773,0.07936363999999685
a100,c0000,channels,2,3145728,LL,LL,1,1,0,108,0,16,20,100,0,True,,31.45728,205237;205466,5,683.960342407,680.048675537,685.107192993,684.04688,680.12606,685.19296,0.08576700699995854,0.07738446300004398,0.08653759300000274
a100,c0000,channels,2,4194304,LL,LL,1,1,0,108,0,16,20,100,0,True,,41.943039999999996,205237;205466,5,864.491500854,822.814712524,904.642562866,864.57005,822.88668,904.71968,0.07711713399999098,0.07410012200000438,0.07854914600000029
a100,c0001,channels,2,32768,LL,LL,2,2,0,108,0,16,20,100,0,True,,0.32767999999999997,205237;205466,5,14.3462395668,14.3359994888,14.3564796448,14.421,14.40868,14.43624,0.07902058910000065,0.07476043319999981,0.07976035519999947
a100,c0001,channels,2,131072,LL,LL,2,2,0,108,0,16,20,100,0,True,,1.3107199999999999,205237;205466,5,23.5110402107,23.4291195869,23.5315203667,23.58088,23.50332,23.61564,0.07547951029999922,0.07420041309999803,0.0841196332999985
a100,c0001,channels,2,262144,LL,LL,2,2,0,108,0,16,20,100,0,True,,2.6214399999999998,205237;205466,5,37.4783992767,37.4579191208,37.8777599335,37.55713,37.55091,38.01251,0.09299087920000204,0.07873072329999786,0.13409991059999982
a100,c0001,channels,2,524288,LL,LL,2,2,0,108,0,16,20,100,0,True,,5.2428799999999995,205237;205466,5,65.5667209625,65.5257606506,65.5974388123,65.64969,65.6038,65.67494,0.07784212340000352,0.07750118770000824,0.0780393494000009
a100,c0001,channels,2,1048576,LL,LL,2,2,0,108,0,16,20,100,0,True,,10.485759999999999,205237;205466,5,122.470397949,122.327041626,122.470397949,122.5422,122.40133,122.54801,0.072861771999996,0.0718020509999917,0.07428837400000532
a100,c0001,channels,2,2097152,LL,LL,2,2,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,235.612163544,235.601921082,235.663356781,235.68388,235.67965,235.74339,0.0800332190000006,0.07772891800001958,0.0822052090000227
