width,protocol,sms,link_rate_multiplier,phase,token_metric_ps,communication_ps,fixed_compute_ps,completed_at_ps
2,LL,1,0.5,prefill,2239680,2039680,200000,2239680
2,LL,1,0.5,decode,2239680,2039680,200000,4479360
2,LL,1,1,prefill,1839680,1639680,200000,1839680
2,LL,1,1,decode,1839680,1639680,200000,3679360
2,LL,1,2,prefill,1439680,1239680,200000,1439680
2,LL,1,2,decode,1439680,1239680,200000,2879360
2,LL,4,0.5,prefill,1430080,1230080,200000,1430080
2,LL,4,0.5,decode,1430080,1230080,200000,2860160
2,LL,4,1,prefill,1430080,1230080,200000,1430080
2,LL,4,1,decode,1430080,1230080,200000,2860160
2,LL,4,2,prefill,1224960,1024960,200000,1224960
2,LL,4,2,decode,1224960,1024960,200000,2449920
2,LL128,1,0.5,prefill,3395392,3195392,200000,3395392
2,LL128,1,0.5,decode,3395392,3195392,200000,6790784
2,LL128,1,1,prefill,2595392,2395392,200000,2595392
2,LL128,1,1,decode,2595392,2395392,200000,5190784
2,LL128,1,2,prefill,2595392,2395392,200000,2595392
2,LL128,1,2,decode,2595392,2395392,200000,5190784
2,LL128,4,0.5,prefill,2402816,2202816,200000,2402816
2,LL128,4,0.5,decode,2402816,2202816,200000,4805632
2,LL128,4,1,prefill,1802816,1602816,200000,1802816
2,LL128,4,1,decode,1802816,1602816,200000,3605632
2,LL128,4,2,prefill,1638656,1438656,200000,1638656
2,LL128,4,2,decode,1638656,1438656,200000,3277312
2,SIMPLE,1,0.5,prefill,2383040,2183040,200000,2383040
2,SIMPLE,1,0.5,decode,2383040,2183040,200000,4766080
2,SIMPLE,1,1,prefill,2296000,2096000,200000,2296000
2,SIMPLE,1,1,decode,2296000,2096000,200000,4592000
2,SIMPLE,1,2,prefill,2269440,2069440,200000,2269440
2,SIMPLE,1,2,decode,2269440,2069440,200000,4538880
2,SIMPLE,4,0.5,prefill,1535040,1335040,200000,1535040
2,SIMPLE,4,0.5,decode,1535040,1335040,200000,3070080
2,SIMPLE,4,1,prefill,1469760,1269760,200000,1469760
2,SIMPLE,4,1,decode,1469760,1269760,200000,2939520
2,SIMPLE,4,2,prefill,1444960,1244960,200000,1444960
2,SIMPLE,4,2,decode,1444960,1244960,200000,2889920
4,LL,1,0.5,prefill,2591040,2391040,200000,2591040
4,LL,1,0.5,decode,2591040,2391040,200000,5182080
4,LL,1,1,prefill,2191040,1991040,200000,2191040
4,LL,1,1,decode,2191040,1991040,200000,4382080
4,LL,1,2,prefill,2191040,1991040,200000,2191040
4,LL,1,2,decode,2191040,1991040,200000,4382080
4,LL,4,0.5,prefill,2005440,1805440,200000,2005440
4,LL,4,0.5,decode,2005440,1805440,200000,4010880
4,LL,4,1,prefill,1605440,1405440,200000,1605440
4,LL,4,1,decode,1605440,1405440,200000,3210880
4,LL,4,2,prefill,1400640,1200640,200000,1400640
4,LL,4,2,decode,1400640,1200640,200000,2801280
4,LL128,1,0.5,prefill,7973312,7773312,200000,7973312
4,LL128,1,0.5,decode,7973312,7773312,200000,15946624
4,LL128,1,1,prefill,5573312,5373312,200000,5573312
4,LL128,1,1,decode,5573312,5373312,200000,11146624
4,LL128,1,2,prefill,5573312,5373312,200000,5573312
4,LL128,1,2,decode,5573312,5373312,200000,11146624
4,LL128,4,0.5,prefill,5289216,5089216,200000,5289216
4,LL128,4,0.5,decode,5289216,5089216,200000,10578432
4,LL128,4,1,prefill,3289216,3089216,200000,3289216
4,LL128,4,1,decode,3289216,3089216,200000,6578432
4,LL128,4,2,prefill,3135488,2935488,200000,3135488
4,LL128,4,2,decode,3135488,2935488,200000,6270976
4,SIMPLE,1,0.5,prefill,4567360,4367360,200000,4567360
4,SIMPLE,1,0.5,decode,4567360,4367360,200000,9134720
4,SIMPLE,1,1,prefill,4487680,4287680,200000,4487680
4,SIMPLE,1,1,decode,4487680,4287680,200000,8975360
4,SIMPLE,1,2,prefill,4487680,4287680,200000,4487680
4,SIMPLE,1,2,decode,4487680,4287680,200000,8975360
4,SIMPLE,4,0.5,prefill,2607360,2407360,200000,2607360
4,SIMPLE,4,0.5,decode,2607360,2407360,200000,5214720
4,SIMPLE,4,1,prefill,2551760,2351760,200000,2551760
4,SIMPLE,4,1,decode,2551760,2351760,200000,5103520
4,SIMPLE,4,2,prefill,2548960,2348960,200000,2548960
4,SIMPLE,4,2,decode,2548960,2348960,200000,5097920
