width,protocol,channels,sms,payload_bytes,link_rate_multiplier,duration_ps,useful_network_bytes,protocol_data_bytes,counter_bytes,resource_work_wait_ps,input_bytes,output_bytes
2,LL,1,1,16384,0.5,3181440,32768,65536,32,1356800,32768,32768
2,LL,1,1,65536,0.5,11537600,131072,262144,32,5601920,131072,131072
2,LL,1,1,262144,0.5,45286400,524288,1048576,128,22407680,524288,524288
2,LL,1,1,16384,1,1796160,32768,65536,32,2207040,32768,32768
2,LL,1,1,65536,1,5985120,131072,262144,32,7079680,131072,131072
2,LL,1,1,262144,1,23076480,524288,1048576,128,28318720,524288,524288
2,LL,1,1,16384,2,1143840,32768,65536,32,3393280,32768,32768
2,LL,1,1,65536,2,3447840,131072,262144,32,13776640,131072,131072
2,LL,1,1,262144,2,12927360,524288,1048576,128,55106560,524288,524288
2,LL,1,4,16384,0.5,3181440,32768,65536,32,1356800,32768,32768
2,LL,1,4,65536,0.5,11537600,131072,262144,32,5601920,131072,131072
2,LL,1,4,262144,0.5,45286400,524288,1048576,128,22407680,524288,524288
2,LL,1,4,16384,1,1796160,32768,65536,32,2207040,32768,32768
2,LL,1,4,65536,1,5985120,131072,262144,32,7079680,131072,131072
2,LL,1,4,262144,1,23076480,524288,1048576,128,28318720,524288,524288
2,LL,1,4,16384,2,1143840,32768,65536,32,3393280,32768,32768
2,LL,1,4,65536,2,3447840,131072,262144,32,13776640,131072,131072
2,LL,1,4,262144,2,12927360,524288,1048576,128,55106560,524288,524288
2,LL,4,1,16384,0.5,3796800,32768,65536,128,2241280,32768,32768
2,LL,4,1,65536,0.5,12125760,131072,262144,128,5427200,131072,131072
2,LL,4,1,262144,0.5,45550400,524288,1048576,128,22407680,524288,524288
2,LL,4,1,16384,1,2297920,32768,65536,128,2197760,32768,32768
2,LL,4,1,65536,1,6584640,131072,262144,128,8828160,131072,131072
2,LL,4,1,262144,1,23340480,524288,1048576,128,28318720,524288,524288
2,LL,4,1,16384,2,1671360,32768,65536,128,3189760,32768,32768
2,LL,4,1,65536,2,3975360,131072,262144,128,13573120,131072,131072
2,LL,4,1,262144,2,13191360,524288,1048576,128,55106560,524288,524288
2,LL,4,4,16384,0.5,3156320,32768,65536,128,5539520,32768,32768
2,LL,4,4,65536,0.5,11529120,131072,262144,128,17261760,131072,131072
2,LL,4,4,262144,0.5,44996320,524288,1048576,128,60510720,524288,524288
2,LL,4,4,16384,1,1772800,32768,65536,128,5593600,32768,32768
2,LL,4,4,65536,1,5988000,131072,262144,128,19536320,131072,131072
2,LL,4,4,262144,1,22725760,524288,1048576,128,87259840,524288,524288
2,LL,4,4,16384,2,1061440,32768,65536,128,7784000,32768,32768
2,LL,4,4,65536,2,3194080,131072,262144,128,71822400,131072,131072
2,LL,4,4,262144,2,11544960,524288,1048576,128,315184640,524288,524288
2,LL128,1,1,16384,0.5,2227360,32768,40960,32,837760,32768,32768
2,LL128,1,1,65536,0.5,6724864,131072,147456,32,3754560,131072,131072
2,LL128,1,1,262144,0.5,24502880,524288,565248,32,18417280,524288,524288
2,LL128,1,1,16384,1,1323360,32768,40960,32,1303360,32768,32768
2,LL128,1,1,65536,1,3575824,131072,147456,32,5647040,131072,131072
2,LL128,1,1,262144,1,12439520,524288,565248,32,27009120,524288,524288
2,LL128,1,1,16384,2,979680,32768,40960,32,2444960,32768,32768
2,LL128,1,1,65536,2,2484480,131072,147456,32,12540256,131072,131072
2,LL128,1,1,262144,2,8524000,524288,565248,32,51416960,524288,524288
2,LL128,1,4,16384,0.5,2227360,32768,40960,32,837760,32768,32768
2,LL128,1,4,65536,0.5,6724864,131072,147456,32,3754560,131072,131072
2,LL128,1,4,262144,0.5,24502880,524288,565248,32,18417280,524288,524288
2,LL128,1,4,16384,1,1323360,32768,40960,32,1303360,32768,32768
2,LL128,1,4,65536,1,3575824,131072,147456,32,5647040,131072,131072
2,LL128,1,4,262144,1,12439520,524288,565248,32,27009120,524288,524288
2,LL128,1,4,16384,2,979680,32768,40960,32,2444960,32768,32768
2,LL128,1,4,65536,2,2484480,131072,147456,32,12540256,131072,131072
2,LL128,1,4,262144,2,8524000,524288,565248,32,51416960,524288,524288
2,LL128,4,1,16384,0.5,3926976,32768,65536,128,552960,32768,32768
2,LL128,4,1,65536,0.5,8309440,131072,163840,128,3351040,131072,131072
2,LL128,4,1,262144,0.5,26299456,524288,589824,128,15018240,524288,524288
2,LL128,4,1,16384,1,2726976,32768,65536,128,520960,32768,32768
2,LL128,4,1,65536,1,4693440,131072,163840,128,5213440,131072,131072
2,LL128,4,1,262144,1,13703296,524288,589824,128,22588160,524288,524288
2,LL128,4,1,16384,2,2455808,32768,65536,128,1002624,32768,32768
2,LL128,4,1,65536,2,3318720,131072,163840,128,9779840,131072,131072
2,LL128,4,1,262144,2,9337920,524288,589824,128,50161024,524288,524288
2,LL128,4,4,16384,0.5,3293184,32768,65536,128,1792000,32768,32768
2,LL128,4,4,65536,0.5,7462240,131072,163840,128,17683680,131072,131072
2,LL128,4,4,262144,0.5,25563424,524288,589824,128,78992480,524288,524288
2,LL128,4,4,16384,1,1825392,32768,65536,128,1728832,32768,32768
2,LL128,4,4,65536,1,3977040,131072,163840,128,19818240,131072,131072
2,LL128,4,4,262144,1,12991904,524288,589824,128,127967840,524288,524288
2,LL128,4,4,16384,2,1172000,32768,65536,128,2067808,32768,32768
2,LL128,4,4,65536,2,2490720,131072,163840,128,47775840,131072,131072
2,LL128,4,4,262144,2,8516000,524288,589824,128,275467488,524288,524288
2,SIMPLE,1,1,16384,0.5,2157280,32768,32768,144,3032320,32768,32768
2,SIMPLE,1,1,65536,0.5,6826720,131072,131072,144,12678400,131072,131072
2,SIMPLE,1,1,262144,0.5,25519280,524288,524288,144,51079680,524288,524288
2,SIMPLE,1,1,16384,1,1460960,32768,32768,144,3032320,32768,32768
2,SIMPLE,1,1,65536,1,4041440,131072,131072,144,12678400,131072,131072
2,SIMPLE,1,1,262144,1,14378160,524288,524288,144,51079680,524288,524288
2,SIMPLE,1,1,16384,2,1172520,32768,32768,144,3032320,32768,32768
