channels,sms,completion_ps,oracle_ps,issued_cycles
1,1,1000000,1000000,1000
1,2,1000000,1000000,1000
1,4,1000000,1000000,1000
1,8,1000000,1000000,1000
1,16,1000000,1000000,1000
1,32,1000000,1000000,1000
2,1,2000000,2000000,2000
2,2,1000000,1000000,2000
2,4,1000000,1000000,2000
2,8,1000000,1000000,2000
2,16,1000000,1000000,2000
2,32,1000000,1000000,2000
4,1,4000000,4000000,4000
4,2,2000000,2000000,4000
4,4,1000000,1000000,4000
4,8,1000000,1000000,4000
4,16,1000000,1000000,4000
4,32,1000000,1000000,4000
8,1,8000000,8000000,8000
8,2,4000000,4000000,8000
8,4,2000000,2000000,8000
8,8,1000000,1000000,8000
8,16,1000000,1000000,8000
8,32,1000000,1000000,8000
12,1,12000000,12000000,12000
12,2,6000000,6000000,12000
12,4,3000000,3000000,12000
12,8,2000000,2000000,12000
12,16,1000000,1000000,12000
12,32,1000000,1000000,12000
16,1,16000000,16000000,16000
16,2,8000000,8000000,16000
16,4,4000000,4000000,16000
16,8,2000000,2000000,16000
16,16,1000000,1000000,16000
16,32,1000000,1000000,16000
20,1,20000000,20000000,20000
20,2,10000000,10000000,20000
20,4,5000000,5000000,20000
20,8,3000000,3000000,20000
20,16,2000000,2000000,20000
20,32,1000000,1000000,20000
22,1,22000000,22000000,22000
22,2,11000000,11000000,22000
22,4,6000000,6000000,22000
22,8,3000000,3000000,22000
22,16,2000000,2000000,22000
22,32,1000000,1000000,22000
23,1,23000000,23000000,23000
23,2,12000000,12000000,23000
23,4,6000000,6000000,23000
23,8,3000000,3000000,23000
23,16,2000000,2000000,23000
23,32,1000000,1000000,23000
24,1,24000000,24000000,24000
24,2,12000000,12000000,24000
24,4,6000000,6000000,24000
24,8,3000000,3000000,24000
24,16,2000000,2000000,24000
24,32,1000000,1000000,24000
28,1,28000000,28000000,28000
28,2,14000000,14000000,28000
28,4,7000000,7000000,28000
28,8,4000000,4000000,28000
28,16,2000000,2000000,28000
28,32,1000000,1000000,28000
32,1,32000000,32000000,32000
32,2,16000000,16000000,32000
32,4,8000000,8000000,32000
32,8,4000000,4000000,32000
32,16,2000000,2000000,32000
32,32,1000000,1000000,32000
