width,protocol,channels,sms,parameter,baseline_ps,perturbed_ps,fractional_parameter_change,normalized_sensitivity
2,LL,1,1,kernel_entry_cycles,621920,631920,0.05,0.32158476974530487
2,LL,1,1,block_setup_cycles,621920,625920,0.05,0.12863390789812193
2,LL,1,1,warp_issue_cycles,621920,534040,0.25,-0.5652173913043478
2,LL,1,1,barrier_cycles_per_warp,621920,543040,0.5,-0.2536660663750965
2,LL,1,1,publication_cycles,621920,529040,0.05,-2.9868793413943915
2,LL,1,1,poll_issue_cycles,621920,529040,0.25,-0.5973758682788783
2,LL,1,1,poll_interval_cycles,621920,631920,0.05,0.32158476974530487
2,LL,1,1,memory_bytes_per_second,621920,621071,0.05,-0.02730254695137638
2,LL,1,1,shared_memory_bytes_per_second,621920,621920,0.05,0.0
2,LL,1,4,kernel_entry_cycles,621920,631920,0.05,0.32158476974530487
2,LL,1,4,block_setup_cycles,621920,625920,0.05,0.12863390789812193
2,LL,1,4,warp_issue_cycles,621920,534040,0.25,-0.5652173913043478
2,LL,1,4,barrier_cycles_per_warp,621920,543040,0.5,-0.2536660663750965
2,LL,1,4,publication_cycles,621920,529040,0.05,-2.9868793413943915
2,LL,1,4,poll_issue_cycles,621920,529040,0.25,-0.5973758682788783
2,LL,1,4,poll_interval_cycles,621920,631920,0.05,0.32158476974530487
2,LL,1,4,memory_bytes_per_second,621920,621071,0.05,-0.02730254695137638
2,LL,1,4,shared_memory_bytes_per_second,621920,621920,0.05,0.0
2,LL,4,1,kernel_entry_cycles,1003840,1013840,0.05,0.19923493783869936
2,LL,4,1,block_setup_cycles,1003840,1019840,0.05,0.318775900541919
2,LL,4,1,warp_issue_cycles,1003840,1019840,0.25,0.06375518010838381
2,LL,4,1,barrier_cycles_per_warp,1003840,1099840,0.5,0.19126554032515142
2,LL,4,1,publication_cycles,1003840,1011840,0.05,0.1593879502709595
2,LL,4,1,poll_issue_cycles,1003840,1011840,0.25,0.031877590054191905
2,LL,4,1,poll_interval_cycles,1003840,1003840,0.05,0.0
2,LL,4,1,memory_bytes_per_second,1003840,1002152,0.05,-0.03363085750717246
2,LL,4,1,shared_memory_bytes_per_second,1003840,1003840,0.05,0.0
2,LL,4,4,kernel_entry_cycles,507360,517360,0.05,0.3941974140649637
2,LL,4,4,block_setup_cycles,507360,511360,0.05,0.1576789656259855
2,LL,4,4,warp_issue_cycles,507360,511360,0.25,0.0315357931251971
2,LL,4,4,barrier_cycles_per_warp,507360,530080,0.5,0.08956165247555976
2,LL,4,4,publication_cycles,507360,509360,0.05,0.07883948281299274
2,LL,4,4,poll_issue_cycles,507360,509360,0.25,0.01576789656259855
2,LL,4,4,poll_interval_cycles,507360,512360,0.05,0.19709870703248186
2,LL,4,4,memory_bytes_per_second,507360,506636,0.05,-0.028539892778303374
2,LL,4,4,shared_memory_bytes_per_second,507360,507360,0.05,0.0
2,LL128,1,1,kernel_entry_cycles,704320,714320,0.05,0.2839618355293048
2,LL128,1,1,block_setup_cycles,704320,708320,0.05,0.11358473421172195
2,LL128,1,1,warp_issue_cycles,704320,720320,0.25,0.09086778736937756
2,LL128,1,1,barrier_cycles_per_warp,704320,732320,0.5,0.07950931394820536
2,LL128,1,1,publication_cycles,704320,706320,0.05,0.056792367105860976
2,LL128,1,1,poll_issue_cycles,704320,706320,0.25,0.011358473421172195
2,LL128,1,1,poll_interval_cycles,704320,714320,0.05,0.2839618355293048
2,LL128,1,1,memory_bytes_per_second,704320,701641,0.05,-0.07607337573830077
2,LL128,1,1,shared_memory_bytes_per_second,704320,704320,0.05,0.0
2,LL128,1,4,kernel_entry_cycles,704320,714320,0.05,0.2839618355293048
2,LL128,1,4,block_setup_cycles,704320,708320,0.05,0.11358473421172195
2,LL128,1,4,warp_issue_cycles,704320,720320,0.25,0.09086778736937756
2,LL128,1,4,barrier_cycles_per_warp,704320,732320,0.5,0.07950931394820536
2,LL128,1,4,publication_cycles,704320,706320,0.05,0.056792367105860976
2,LL128,1,4,poll_issue_cycles,704320,706320,0.25,0.011358473421172195
2,LL128,1,4,poll_interval_cycles,704320,714320,0.05,0.2839618355293048
2,LL128,1,4,memory_bytes_per_second,704320,701641,0.05,-0.07607337573830077
2,LL128,1,4,shared_memory_bytes_per_second,704320,704320,0.05,0.0
2,LL128,4,1,kernel_entry_cycles,2191296,2201296,0.05,0.09127018896579923
