payload_bytes,rate_bytes_per_second,packet,wire_bytes,service_ps,oracle_ps
256,12500000000,0,272,21760,21760
256,25000000000,0,272,10880,10880
256,50000000000,0,272,5440,5440
1024,12500000000,0,272,21760,21760
1024,12500000000,1,272,21760,21760
1024,12500000000,2,272,21760,21760
1024,12500000000,3,272,21760,21760
1024,25000000000,0,272,10880,10880
1024,25000000000,1,272,10880,10880
1024,25000000000,2,272,10880,10880
1024,25000000000,3,272,10880,10880
1024,50000000000,0,272,5440,5440
1024,50000000000,1,272,5440,5440
1024,50000000000,2,272,5440,5440
1024,50000000000,3,272,5440,5440
4096,12500000000,0,272,21760,21760
4096,12500000000,1,272,21760,21760
4096,12500000000,2,272,21760,21760
4096,12500000000,3,272,21760,21760
4096,12500000000,4,272,21760,21760
4096,12500000000,5,272,21760,21760
4096,12500000000,6,272,21760,21760
4096,12500000000,7,272,21760,21760
4096,12500000000,8,272,21760,21760
4096,12500000000,9,272,21760,21760
4096,12500000000,10,272,21760,21760
4096,12500000000,11,272,21760,21760
4096,12500000000,12,272,21760,21760
4096,12500000000,13,272,21760,21760
4096,12500000000,14,272,21760,21760
4096,12500000000,15,272,21760,21760
4096,25000000000,0,272,10880,10880
4096,25000000000,1,272,10880,10880
4096,25000000000,2,272,10880,10880
4096,25000000000,3,272,10880,10880
4096,25000000000,4,272,10880,10880
4096,25000000000,5,272,10880,10880
4096,25000000000,6,272,10880,10880
4096,25000000000,7,272,10880,10880
4096,25000000000,8,272,10880,10880
4096,25000000000,9,272,10880,10880
4096,25000000000,10,272,10880,10880
4096,25000000000,11,272,10880,10880
4096,25000000000,12,272,10880,10880
4096,25000000000,13,272,10880,10880
4096,25000000000,14,272,10880,10880
4096,25000000000,15,272,10880,10880
4096,50000000000,0,272,5440,5440
4096,50000000000,1,272,5440,5440
4096,50000000000,2,272,5440,5440
4096,50000000000,3,272,5440,5440
4096,50000000000,4,272,5440,5440
4096,50000000000,5,272,5440,5440
4096,50000000000,6,272,5440,5440
4096,50000000000,7,272,5440,5440
4096,50000000000,8,272,5440,5440
4096,50000000000,9,272,5440,5440
4096,50000000000,10,272,5440,5440
4096,50000000000,11,272,5440,5440
4096,50000000000,12,272,5440,5440
4096,50000000000,13,272,5440,5440
4096,50000000000,14,272,5440,5440
4096,50000000000,15,272,5440,5440
