bytes_per_block,sms,rate_bytes_per_second,completion_ps,oracle_ps
16,1,500000000000,64,64
16,2,500000000000,32,32
16,1,1000000000000,32,32
16,2,1000000000000,16,16
16,1,2000000000000,16,16
16,2,2000000000000,8,8
128,1,500000000000,512,512
128,2,500000000000,256,256
128,1,1000000000000,256,256
128,2,1000000000000,128,128
128,1,2000000000000,128,128
128,2,2000000000000,64,64
1920,1,500000000000,7680,7680
1920,2,500000000000,3840,3840
1920,1,1000000000000,3840,3840
1920,2,1000000000000,1920,1920
1920,1,2000000000000,1920,1920
1920,2,2000000000000,960,960
