protocol,count,reuse_delay_ps,reservation,steps,issued_at_ps,oracle_ps
LL,1,0,1,1,0,0
LL,1,500000,1,1,0,0
LL,1,2000000,1,1,0,0
LL,1,8000000,1,1,0,0
LL,7,0,1,1,0,0
LL,7,0,2,1,0,0
LL,7,0,3,1,0,0
LL,7,0,4,1,0,0
LL,7,0,5,1,0,0
LL,7,0,6,1,0,0
LL,7,0,7,1,0,0
LL,7,500000,1,1,0,0
LL,7,500000,2,1,0,0
LL,7,500000,3,1,0,0
LL,7,500000,4,1,0,0
LL,7,500000,5,1,0,0
LL,7,500000,6,1,0,0
LL,7,500000,7,1,0,0
LL,7,2000000,1,1,0,0
LL,7,2000000,2,1,0,0
LL,7,2000000,3,1,0,0
LL,7,2000000,4,1,0,0
LL,7,2000000,5,1,0,0
LL,7,2000000,6,1,0,0
LL,7,2000000,7,1,0,0
LL,7,8000000,1,1,0,0
LL,7,8000000,2,1,0,0
LL,7,8000000,3,1,0,0
LL,7,8000000,4,1,0,0
LL,7,8000000,5,1,0,0
LL,7,8000000,6,1,0,0
LL,7,8000000,7,1,0,0
LL,8,0,1,1,0,0
LL,8,0,2,1,0,0
LL,8,0,3,1,0,0
LL,8,0,4,1,0,0
LL,8,0,5,1,0,0
LL,8,0,6,1,0,0
LL,8,0,7,1,0,0
LL,8,0,8,1,0,0
LL,8,500000,1,1,0,0
LL,8,500000,2,1,0,0
LL,8,500000,3,1,0,0
LL,8,500000,4,1,0,0
LL,8,500000,5,1,0,0
LL,8,500000,6,1,0,0
LL,8,500000,7,1,0,0
LL,8,500000,8,1,0,0
LL,8,2000000,1,1,0,0
LL,8,2000000,2,1,0,0
LL,8,2000000,3,1,0,0
LL,8,2000000,4,1,0,0
LL,8,2000000,5,1,0,0
LL,8,2000000,6,1,0,0
LL,8,2000000,7,1,0,0
LL,8,2000000,8,1,0,0
LL,8,8000000,1,1,0,0
LL,8,8000000,2,1,0,0
LL,8,8000000,3,1,0,0
LL,8,8000000,4,1,0,0
LL,8,8000000,5,1,0,0
LL,8,8000000,6,1,0,0
LL,8,8000000,7,1,0,0
LL,8,8000000,8,1,0,0
LL,9,0,1,1,0,0
LL,9,0,2,1,0,0
LL,9,0,3,1,0,0
LL,9,0,4,1,0,0
LL,9,0,5,1,0,0
LL,9,0,6,1,0,0
LL,9,0,7,1,0,0
LL,9,0,8,1,0,0
LL,9,0,9,1,0,0
LL,9,500000,1,1,0,0
LL,9,500000,2,1,0,0
LL,9,500000,3,1,0,0
LL,9,500000,4,1,0,0
LL,9,500000,5,1,0,0
LL,9,500000,6,1,0,0
LL,9,500000,7,1,0,0
LL,9,500000,8,1,0,0
LL,9,500000,9,1,500000,500000
LL,9,2000000,1,1,0,0
LL,9,2000000,2,1,0,0
LL,9,2000000,3,1,0,0
LL,9,2000000,4,1,0,0
LL,9,2000000,5,1,0,0
LL,9,2000000,6,1,0,0
LL,9,2000000,7,1,0,0
LL,9,2000000,8,1,0,0
LL,9,2000000,9,1,2000000,2000000
LL,9,8000000,1,1,0,0
LL,9,8000000,2,1,0,0
LL,9,8000000,3,1,0,0
LL,9,8000000,4,1,0,0
LL,9,8000000,5,1,0,0
LL,9,8000000,6,1,0,0
LL,9,8000000,7,1,0,0
LL,9,8000000,8,1,0,0
LL,9,8000000,9,1,8000000,8000000
LL,16,0,1,1,0,0
LL,16,0,2,1,0,0
LL,16,0,3,1,0,0
LL,16,0,4,1,0,0
LL,16,0,5,1,0,0
LL,16,0,6,1,0,0
LL,16,0,7,1,0,0
LL,16,0,8,1,0,0
LL,16,0,9,1,0,0
LL,16,0,10,1,0,0
LL,16,0,11,1,0,0
LL,16,0,12,1,0,0
LL,16,0,13,1,0,0
LL,16,0,14,1,0,0
LL,16,0,15,1,0,0
LL,16,0,16,1,0,0
LL,16,500000,1,1,0,0
LL,16,500000,2,1,0,0
LL,16,500000,3,1,0,0
LL,16,500000,4,1,0,0
LL,16,500000,5,1,0,0
LL,16,500000,6,1,0,0
LL,16,500000,7,1,0,0
LL,16,500000,8,1,0,0
LL,16,500000,9,1,500000,500000
LL,16,500000,10,1,500000,500000
LL,16,500000,11,1,500000,500000
LL,16,500000,12,1,500000,500000
LL,16,500000,13,1,500000,500000
LL,16,500000,14,1,500000,500000
LL,16,500000,15,1,500000,500000
LL,16,500000,16,1,500000,500000
LL,16,2000000,1,1,0,0
LL,16,2000000,2,1,0,0
LL,16,2000000,3,1,0,0
LL,16,2000000,4,1,0,0
LL,16,2000000,5,1,0,0
LL,16,2000000,6,1,0,0
LL,16,2000000,7,1,0,0
LL,16,2000000,8,1,0,0
LL,16,2000000,9,1,2000000,2000000
LL,16,2000000,10,1,2000000,2000000
LL,16,2000000,11,1,2000000,2000000
LL,16,2000000,12,1,2000000,2000000
LL,16,2000000,13,1,2000000,2000000
LL,16,2000000,14,1,2000000,2000000
LL,16,2000000,15,1,2000000,2000000
LL,16,2000000,16,1,2000000,2000000
LL,16,8000000,1,1,0,0
LL,16,8000000,2,1,0,0
LL,16,8000000,3,1,0,0
LL,16,8000000,4,1,0,0
LL,16,8000000,5,1,0,0
LL,16,8000000,6,1,0,0
LL,16,8000000,7,1,0,0
LL,16,8000000,8,1,0,0
LL,16,8000000,9,1,8000000,8000000
LL,16,8000000,10,1,8000000,8000000
LL,16,8000000,11,1,8000000,8000000
LL,16,8000000,12,1,8000000,8000000
LL,16,8000000,13,1,8000000,8000000
LL,16,8000000,14,1,8000000,8000000
LL,16,8000000,15,1,8000000,8000000
LL,16,8000000,16,1,8000000,8000000
LL,17,0,1,1,0,0
LL,17,0,2,1,0,0
LL,17,0,3,1,0,0
LL,17,0,4,1,0,0
LL,17,0,5,1,0,0
LL,17,0,6,1,0,0
LL,17,0,7,1,0,0
LL,17,0,8,1,0,0
LL,17,0,9,1,0,0
LL,17,0,10,1,0,0
LL,17,0,11,1,0,0
LL,17,0,12,1,0,0
LL,17,0,13,1,0,0
LL,17,0,14,1,0,0
LL,17,0,15,1,0,0
LL,17,0,16,1,0,0
LL,17,0,17,1,0,0
LL,17,500000,1,1,0,0
LL,17,500000,2,1,0,0
LL,17,500000,3,1,0,0
LL,17,500000,4,1,0,0
LL,17,500000,5,1,0,0
LL,17,500000,6,1,0,0
LL,17,500000,7,1,0,0
LL,17,500000,8,1,0,0
