architecture,width,phase,payload_bytes,arm,collective_us,ttft_us,tpot_us,step_us
a100,2,prefill,524288,lower,23.68341,247.36682,,247.36682
a100,2,prefill,524288,central,26.432581,252.865162,,252.865162
a100,2,prefill,524288,upper,28.186129,256.372258,,256.372258
a100,2,decode,524288,lower,23.68341,247.36682,247.36682,247.36682
a100,2,decode,524288,central,26.432581,252.865162,252.865162,252.865162
a100,2,decode,524288,upper,28.186129,256.372258,256.372258,256.372258
a100,2,prefill,2097152,lower,55.148929,310.297858,,310.297858
a100,2,prefill,2097152,central,66.859018,333.718036,,333.718036
a100,2,prefill,2097152,upper,75.625607,351.251214,,351.251214
a100,2,decode,2097152,lower,55.148929,310.297858,310.297858,310.297858
a100,2,decode,2097152,central,66.859018,333.718036,333.718036,333.718036
a100,2,decode,2097152,upper,75.625607,351.251214,351.251214,351.251214
a100,4,prefill,524288,lower,17.998762,235.997524,,235.997524
a100,4,prefill,524288,central,22.919725,245.83945,,245.83945
a100,4,prefill,524288,upper,26.055176,252.110352,,252.110352
a100,4,decode,524288,lower,17.998762,235.997524,235.997524,235.997524
a100,4,decode,524288,central,22.919725,245.83945,245.83945,245.83945
a100,4,decode,524288,upper,26.055176,252.110352,252.110352,252.110352
a100,4,prefill,2097152,lower,38.393343,276.786686,,276.786686
a100,4,prefill,2097152,central,51.135114,302.270228,,302.270228
a100,4,prefill,2097152,upper,59.225067,318.450134,,318.450134
a100,4,decode,2097152,lower,38.393343,276.786686,276.786686,276.786686
a100,4,decode,2097152,central,51.135114,302.270228,302.270228,302.270228
a100,4,decode,2097152,upper,59.225067,318.450134,318.450134,318.450134
gh200,2,prefill,524288,lower,14.134739,228.269478,,228.269478
gh200,2,prefill,524288,central,15.882818,231.765636,,231.765636
gh200,2,prefill,524288,upper,17.630897,235.261794,,235.261794
gh200,2,decode,524288,lower,14.134739,228.269478,228.269478,228.269478
gh200,2,decode,524288,central,15.882818,231.765636,231.765636,231.765636
gh200,2,decode,524288,upper,17.630897,235.261794,235.261794,235.261794
gh200,2,prefill,2097152,lower,36.454554,272.909108,,272.909108
gh200,2,prefill,2097152,central,38.062867,276.125734,,276.125734
gh200,2,prefill,2097152,upper,39.639647,279.279294,,279.279294
gh200,2,decode,2097152,lower,36.454554,272.909108,272.909108,272.909108
gh200,2,decode,2097152,central,38.062867,276.125734,276.125734,276.125734
gh200,2,decode,2097152,upper,39.639647,279.279294,279.279294,279.279294
gh200,4,prefill,524288,lower,12.234924,224.469848,,224.469848
gh200,4,prefill,524288,central,13.655649,227.311298,,227.311298
gh200,4,prefill,524288,upper,14.987124,229.974248,,229.974248
gh200,4,decode,524288,lower,12.234924,224.469848,224.469848,224.469848
gh200,4,decode,524288,central,13.655649,227.311298,227.311298,227.311298
gh200,4,decode,524288,upper,14.987124,229.974248,229.974248,229.974248
gh200,4,prefill,2097152,lower,23.632082,247.264164,,247.264164
gh200,4,prefill,2097152,central,26.29311,252.58622,,252.58622
gh200,4,prefill,2097152,upper,28.864888,257.729776,,257.729776
gh200,4,decode,2097152,lower,23.632082,247.264164,247.264164,247.264164
gh200,4,decode,2097152,central,26.29311,252.58622,252.58622,252.58622
gh200,4,decode,2097152,upper,28.864888,257.729776,257.729776,257.729776
