architecture,width,bytes,control,baseline_us,reference_us,controlled_us,baseline_gap_us,controlled_gap_us,effect_us,twice_pooled_iqr_us,qualifies,diagnostic_tiny
a100,2,8,warmup_only,10.1375997066,10.30869,9.88159999251,0.1710902934000007,0.4270900074899995,0.2559997140899988,0.5119994281799976,False,True
a100,2,8,iterations_only,10.1375997066,10.30869,10.0147199631,0.1710902934000007,0.2939700369000011,0.12287974350000042,0.526538551118866,False,True
a100,2,8,workers_only,10.1375997066,10.30869,9.88159999251,0.1710902934000007,0.4270900074899995,0.2559997140899988,0.5221388981596037,False,True
a100,2,8,rotation_only,10.1375997066,10.30869,10.035199672,0.1710902934000007,0.27349032800000117,0.10240003460000047,0.724076535259422,False,True
a100,2,8,joint,10.1375997066,10.30869,10.0761604309,0.1710902934000007,0.23252956910000044,0.06143927569999974,0.5265382729678433,False,True
a100,2,1024,warmup_only,11.264000088,10.60396,13.0048006773,0.6600400879999988,2.4008406772999997,1.740800589300001,7.964849264985663,False,True
a100,2,1024,iterations_only,11.264000088,10.60396,11.8169605732,0.6600400879999988,1.2130005731999987,0.5529604851999999,6.186519412965737,False,True
a100,2,1024,workers_only,11.264000088,10.60396,10.342399776,0.6600400879999988,0.2615602240000001,0.9216003119999989,5.635722080361663,False,True
a100,2,1024,rotation_only,11.264000088,10.60396,13.1071999669,0.6600400879999988,2.503239966899999,1.8431998789000001,5.677430917097041,False,True
a100,2,1024,joint,11.264000088,10.60396,10.7827198505,0.6600400879999988,0.17875985049999876,0.48128023750000004,5.634382331104702,False,True
a100,2,524288,warmup_only,27.3919999599,27.15699,27.4432003498,0.23500995990000106,0.28621034980000104,0.051200389899999976,0.5514395410683913,False,False
a100,2,524288,iterations_only,27.3919999599,27.15699,27.1257591248,0.23500995990000106,0.031230875200002117,0.2662408351000032,0.5316887474100532,False,False
a100,2,524288,workers_only,27.3919999599,27.15699,27.4944007397,0.23500995990000106,0.337410739700001,0.10240077979999995,0.655680260352238,False,False
a100,2,524288,rotation_only,27.3919999599,27.15699,29.183998704,0.23500995990000106,2.027008704,1.791998744099999,0.5970889094666879,False,False
a100,2,524288,joint,27.3919999599,27.15699,29.1430401802,0.23500995990000106,1.9860501801999995,1.7510402202999984,0.6686654709073425,False,False
a100,2,786432,warmup_only,51.0464012623,49.47753,51.2000024319,1.5688712623,1.7224724319000018,0.1536011696000017,0.971459094213886,False,False
a100,2,786432,iterations_only,51.0464012623,49.47753,49.5103979111,1.5688712623,0.03286791109999854,1.5360033512000015,0.33086704511613707,True,False
a100,2,786432,workers_only,51.0464012623,49.47753,51.0464012623,1.5688712623,1.5688712623,0.0,0.4344497144893847,False,False
a100,2,786432,rotation_only,51.0464012623,49.47753,51.71200037,1.5688712623,2.234470369999997,0.6655991076999968,0.3692112619390557,False,False
a100,2,786432,joint,51.0464012623,49.47753,50.1350402832,1.5688712623,0.657510283199997,0.911360979100003,0.33900488582228366,True,False
a100,2,1048576,warmup_only,53.0943989754,51.88438,52.0192027092,1.210018975399997,0.1348227092000016,1.0751962661999954,0.7798564083550841,True,False
a100,2,1048576,iterations_only,53.0943989754,51.88438,52.1625614166,1.210018975399997,0.27818141659999895,0.9318375587999981,0.7352917917627843,True,False
a100,2,1048576,workers_only,53.0943989754,51.88438,53.606402874,1.210018975399997,1.7220228739999968,0.5120038985999997,0.8255755653467952,False,False
a100,2,1048576,rotation_only,53.0943989754,51.88438,53.9135992527,1.210018975399997,2.0292192527000026,0.8192002773000056,1.0885352197650933,False,False
a100,2,1048576,joint,53.0943989754,51.88438,52.8076791763,1.210018975399997,0.9232991762999987,0.28671979909999834,0.8577223519637709,False,False
a100,2,1310720,warmup_only,56.5760016441,55.31539,56.4736008644,1.2606116441000026,1.1582108643999973,0.10240077970000527,0.3692112619390478,False,False
a100,2,1310720,iterations_only,56.5760016441,55.31539,56.627202034,1.2606116441000026,1.311812033999999,0.051200389899996424,0.6505472454525096,False,False
a100,2,1310720,workers_only,56.5760016441,55.31539,56.627202034,1.2606116441000026,1.311812033999999,0.051200389899996424,1.8686271191075008,False,False
a100,2,1310720,rotation_only,56.5760016441,55.31539,57.3952019215,1.2606116441000026,2.079811921500003,0.8192002774000002,0.8749014835325094,False,False
a100,2,1310720,joint,56.5760016441,55.31539,58.1017589569,1.2606116441000026,2.7863689568999988,1.5257573127999962,0.7423836565245768,False,False
a100,2,1572864,warmup_only,60.5184018612,59.28537,60.6208026409,1.233031861199997,1.3354326409000024,0.10240077970000527,0.4222092308244587,False,False
a100,2,1572864,iterations_only,60.5184018612,59.28537,60.4672002792,1.233031861199997,1.1818302791999997,0.05120158199999736,0.43396514881895487,False,False
a100,2,1572864,workers_only,60.5184018612,59.28537,60.3648006916,1.233031861199997,1.0794306916000025,0.1536011695999946,0.8255814796549621,False,False
a100,2,1572864,rotation_only,60.5184018612,59.28537,61.2864017487,1.233031861199997,2.001031748700001,0.7679998875000038,0.5792662859387017,False,False
a100,2,1572864,joint,60.5184018612,59.28537,60.8256006241,1.233031861199997,1.5402306240999977,0.3071987629000006,0.5245479316432262,False,False
a100,2,2097152,warmup_only,68.5055971146,64.9594,68.1984007359,3.546197114599991,3.2390007358999924,0.3071963786999987,0.9660369150227478,False,False
a100,2,2097152,iterations_only,68.5055971146,64.9594,67.9628801346,3.546197114599991,3.0034801345999966,0.5427169799999945,0.8983189011469691,False,False
a100,2,2097152,workers_only,68.5055971146,64.9594,68.147200346,3.546197114599991,3.187800346000003,0.35839676859998804,0.8191943169999831,False,False
a100,2,2097152,rotation_only,68.5055971146,64.9594,69.5807993412,3.546197114599991,4.621399341200004,1.0752022266000125,0.8444068970216511,False,False
a100,2,2097152,joint,68.5055971146,64.9594,69.4271993637,3.546197114599991,4.467799363699996,0.9216022491000047,0.9770406547894634,False,False
a100,2,3145728,warmup_only,84.4799995422,79.07233,84.6336007118,5.407669542200011,5.561270711800006,0.1536011695999946,0.825581479754197,False,False
