architecture,lane,width,bytes,warm,timed,persistent,rotate,median_us,q1_us,q3_us
a100,event,2,8,5,20,0,0,10.1375997066,9.88159999251,10.1375997066
a100,event,2,8,5,20,0,1,10.035199672,9.88159999251,10.1375997066
a100,event,2,8,5,20,1,0,9.88159999251,9.88159999251,9.93279963732
a100,event,2,8,5,20,1,1,10.1375997066,10.0864000618,10.342399776
a100,event,2,8,5,100,0,0,10.0147199631,9.96352016926,10.024960041
a100,event,2,8,5,100,0,1,10.1171195507,10.0147199631,10.1990401745
a100,event,2,8,5,100,1,0,9.92255985737,9.92255985737,9.93279993534
a100,event,2,8,5,100,1,1,10.1171195507,10.1068794727,10.2092802525
a100,event,2,8,20,20,0,0,9.88159999251,9.88159999251,9.88159999251
a100,event,2,8,20,20,0,1,9.98400002718,9.93279963732,9.98400002718
a100,event,2,8,20,20,1,0,9.98400002718,9.88159999251,10.035199672
a100,event,2,8,20,20,1,1,9.93279963732,9.83040034771,10.035199672
a100,event,2,8,20,100,0,0,9.85087990761,9.79968011379,9.86111998558
a100,event,2,8,20,100,0,1,9.96352016926,9.9123197794,10.024960041
a100,event,2,8,20,100,1,0,9.92255985737,9.77919995785,9.97376024723
a100,event,2,8,20,100,1,1,10.0761604309,10.0659203529,10.1273596287
a100,event,2,1024,5,20,0,0,11.264000088,10.8543999493,13.670399785
a100,event,2,1024,5,20,0,1,13.1071999669,13.0048006773,13.3632004261
a100,event,2,1024,5,20,1,0,10.342399776,10.2399997413,10.342399776
a100,event,2,1024,5,20,1,1,10.9056003392,10.7008002698,10.956799984
a100,event,2,1024,5,100,0,0,11.8169605732,10.6905603409,11.9705605507
a100,event,2,1024,5,100,0,1,10.9158396721,10.9055995941,11.4175999165
a100,event,2,1024,5,100,1,0,10.5369603634,10.4140794277,10.5983996391
a100,event,2,1024,5,100,1,1,10.8851194382,10.7519996166,10.936319828
a100,event,2,1024,20,20,0,0,13.0048006773,10.3936001658,13.2095992565
a100,event,2,1024,20,20,0,1,10.8543999493,10.3936001658,13.055999577
a100,event,2,1024,20,20,1,0,10.5471998453,10.4447998106,10.5471998453
a100,event,2,1024,20,20,1,1,10.2399997413,10.035199672,10.5471998453
a100,event,2,1024,20,100,0,0,12.2265601158,10.4652798176,12.2675204277
a100,event,2,1024,20,100,0,1,11.6838395596,11.4073598385,12.0217597485
a100,event,2,1024,20,100,1,0,10.4140794277,10.332159996,10.5779194832
a100,event,2,1024,20,100,1,1,10.7827198505,10.7827198505,10.8646404743
a100,event,2,524288,5,20,0,0,27.3919999599,27.3919999599,27.647998929
a100,event,2,524288,5,20,0,1,29.183998704,29.183998704,29.3375998735
a100,event,2,524288,5,20,1,0,27.4944007397,27.2895991802,27.4944007397
a100,event,2,524288,5,20,1,1,29.3375998735,29.2351990938,29.4400006533
a100,event,2,524288,5,100,0,0,27.1257591248,27.0745611191,27.1462392807
a100,event,2,524288,5,100,0,1,29.1737604141,29.1635203362,29.224960804
a100,event,2,524288,5,100,1,0,27.1564793587,27.1052789688,27.2588801384
a100,event,2,524288,5,100,1,1,29.2659211159,29.1328001022,29.3171191216
a100,event,2,524288,20,20,0,0,27.4432003498,27.4432003498,27.5456011295
a100,event,2,524288,20,20,0,1,29.2351990938,29.0816009045,29.3375998735
a100,event,2,524288,20,20,1,0,27.3919999599,27.3407995701,27.4944007397
a100,event,2,524288,20,20,1,1,29.183998704,29.183998704,29.2863994837
a100,event,2,524288,20,100,0,0,26.9004797935,26.8185591698,26.9209599495
a100,event,2,524288,20,100,0,1,28.9382410049,28.7743997574,28.9382410049
a100,event,2,524288,20,100,1,0,26.9414401054,26.8287992477,26.9824004173
a100,event,2,524288,20,100,1,1,29.1430401802,29.0406394005,29.2556810379
a100,event,2,786432,5,20,0,0,51.0464012623,50.8928000927,51.0464012623
a100,event,2,786432,5,20,0,1,51.71200037,51.6607999802,51.7632007599
a100,event,2,786432,5,20,1,0,51.0464012623,51.0464012623,51.2000024319
a100,event,2,786432,5,20,1,1,51.4047980309,51.4047980309,51.4559984207
