evidence_class,family,check,parameters,expected,measured,status
run_configuration,route_reference,inter_node,"{""channels"":1,""chunk_bytes"":6144,""fifo_slots"":1,""payload_bytes"":4096,""ranks"":[0,1,2,3],""world_size"":4}",null,null,CONFIG
behavioral_relation,inter_node_event_sequence,rank_0,"{""rank"":0,""route"":""inter_node""}","{""event_count"":24,""sha256"":""daed06222f215b874a88abe436a2c062b3293eaf52f0414185271855f48543d5""}","{""event_count"":24,""sha256"":""daed06222f215b874a88abe436a2c062b3293eaf52f0414185271855f48543d5""}",PASS
behavioral_relation,inter_node_event_sequence,rank_1,"{""rank"":1,""route"":""inter_node""}","{""event_count"":24,""sha256"":""b9ee36710b9b6f9186fb6b63f5195e890ea0218f4b444ad8ac6d05773c805df1""}","{""event_count"":24,""sha256"":""b9ee36710b9b6f9186fb6b63f5195e890ea0218f4b444ad8ac6d05773c805df1""}",PASS
behavioral_relation,inter_node_event_sequence,rank_2,"{""rank"":2,""route"":""inter_node""}","{""event_count"":24,""sha256"":""2f58250630538d3a7ecfdcb7b7316726ae86b3aaf82cfd6032fea2a26feef963""}","{""event_count"":24,""sha256"":""2f58250630538d3a7ecfdcb7b7316726ae86b3aaf82cfd6032fea2a26feef963""}",PASS
behavioral_relation,inter_node_event_sequence,rank_3,"{""rank"":3,""route"":""inter_node""}","{""event_count"":24,""sha256"":""a88cbd609956affa429b3374382cfa26c6cc192c39cef9beff4ea6a60099ed6f""}","{""event_count"":24,""sha256"":""a88cbd609956affa429b3374382cfa26c6cc192c39cef9beff4ea6a60099ed6f""}",PASS
run_configuration,route_reference,intra_node,"{""channels"":1,""chunk_bytes"":6144,""fifo_slots"":1,""payload_bytes"":4096,""ranks"":[0,1,2,3],""world_size"":4}",null,null,CONFIG
behavioral_relation,intra_node_event_sequence,rank_0,"{""rank"":0,""route"":""intra_node""}","{""event_count"":11,""sha256"":""1ce213dcd9bb115de7284e8482dcaa285d045cbe6208d050b3a78c878617046b""}","{""event_count"":11,""sha256"":""1ce213dcd9bb115de7284e8482dcaa285d045cbe6208d050b3a78c878617046b""}",PASS
behavioral_relation,intra_node_event_sequence,rank_1,"{""rank"":1,""route"":""intra_node""}","{""event_count"":11,""sha256"":""c1d7399641026a8221717c143dd841525d08c0ead5debbb2606cfff6406d1b39""}","{""event_count"":11,""sha256"":""c1d7399641026a8221717c143dd841525d08c0ead5debbb2606cfff6406d1b39""}",PASS
behavioral_relation,intra_node_event_sequence,rank_2,"{""rank"":2,""route"":""intra_node""}","{""event_count"":11,""sha256"":""8934affe024649208e5b46f530d99d38ab0ab32ba6e552c00fb47d904c763531""}","{""event_count"":11,""sha256"":""8934affe024649208e5b46f530d99d38ab0ab32ba6e552c00fb47d904c763531""}",PASS
behavioral_relation,intra_node_event_sequence,rank_3,"{""rank"":3,""route"":""intra_node""}","{""event_count"":11,""sha256"":""d6888c0e50e368d1496ecebb39451179b8df9eade6525345840498af884bac5a""}","{""event_count"":11,""sha256"":""d6888c0e50e368d1496ecebb39451179b8df9eade6525345840498af884bac5a""}",PASS
run_configuration,planner_sweep,payload_by_channel_count,"{""channel_count"":[1,2,4],""chunk_bytes"":1024,""payload_bytes"":[4096,5120,8192],""world_size"":4}",null,null,CONFIG
behavioral_relation,planner_chunk_count,p4096_c1,"{""channel_count"":1,""payload_bytes"":4096}",6,6,PASS
behavioral_relation,planner_channel_count,p4096_c1,"{""channel_count"":1,""payload_bytes"":4096}",1,1,PASS
behavioral_relation,planner_channel_assignment,p4096_c1,"{""channel_count"":1,""payload_bytes"":4096}",[6],[6],PASS
behavioral_relation,planner_chunk_count,p4096_c2,"{""channel_count"":2,""payload_bytes"":4096}",6,6,PASS
behavioral_relation,planner_channel_count,p4096_c2,"{""channel_count"":2,""payload_bytes"":4096}",2,2,PASS
behavioral_relation,planner_channel_assignment,p4096_c2,"{""channel_count"":2,""payload_bytes"":4096}","[3,3]","[3,3]",PASS
behavioral_relation,planner_chunk_count,p4096_c4,"{""channel_count"":4,""payload_bytes"":4096}",6,6,PASS
behavioral_relation,planner_channel_count,p4096_c4,"{""channel_count"":4,""payload_bytes"":4096}",4,4,PASS
behavioral_relation,planner_channel_assignment,p4096_c4,"{""channel_count"":4,""payload_bytes"":4096}","[2,2,1,1]","[2,2,1,1]",PASS
behavioral_relation,planner_chunk_count,p5120_c1,"{""channel_count"":1,""payload_bytes"":5120}",8,8,PASS
behavioral_relation,planner_channel_count,p5120_c1,"{""channel_count"":1,""payload_bytes"":5120}",1,1,PASS
behavioral_relation,planner_channel_assignment,p5120_c1,"{""channel_count"":1,""payload_bytes"":5120}",[8],[8],PASS
behavioral_relation,planner_chunk_count,p5120_c2,"{""channel_count"":2,""payload_bytes"":5120}",8,8,PASS
behavioral_relation,planner_channel_count,p5120_c2,"{""channel_count"":2,""payload_bytes"":5120}",2,2,PASS
behavioral_relation,planner_channel_assignment,p5120_c2,"{""channel_count"":2,""payload_bytes"":5120}","[4,4]","[4,4]",PASS
behavioral_relation,planner_chunk_count,p5120_c4,"{""channel_count"":4,""payload_bytes"":5120}",8,8,PASS
behavioral_relation,planner_channel_count,p5120_c4,"{""channel_count"":4,""payload_bytes"":5120}",4,4,PASS
behavioral_relation,planner_channel_assignment,p5120_c4,"{""channel_count"":4,""payload_bytes"":5120}","[2,2,2,2]","[2,2,2,2]",PASS
behavioral_relation,planner_chunk_count,p8192_c1,"{""channel_count"":1,""payload_bytes"":8192}",12,12,PASS
behavioral_relation,planner_channel_count,p8192_c1,"{""channel_count"":1,""payload_bytes"":8192}",1,1,PASS
behavioral_relation,planner_channel_assignment,p8192_c1,"{""channel_count"":1,""payload_bytes"":8192}",[12],[12],PASS
behavioral_relation,planner_chunk_count,p8192_c2,"{""channel_count"":2,""payload_bytes"":8192}",12,12,PASS
behavioral_relation,planner_channel_count,p8192_c2,"{""channel_count"":2,""payload_bytes"":8192}",2,2,PASS
