architecture,width,lane,arm,bytes,model_us,measured_us,error_pct
a100,2,legacy,auto,262144,16.844799739980033,18.73919927,-10.109287503296649
a100,2,legacy,auto,278528,17.258055464276687,20.12160048,-14.231199046862864
a100,2,legacy,auto,294912,17.667894389758658,20.22400126,-12.638977012412145
a100,2,legacy,auto,311296,18.074532495184744,20.78719996,-13.049701114316193
a100,2,legacy,auto,327680,18.478161476790767,20.83840035,-11.326391822629677
a100,2,legacy,auto,344064,18.878952555131676,22.2207997,-15.039274868529262
a100,2,legacy,auto,360448,19.277059532252636,22.016,-12.440681630393179
a100,2,legacy,auto,376832,19.672621274205753,22.2207997,-11.467536993253436
a100,2,legacy,auto,393216,20.065763747228686,22.06720039,-9.069735206094776
a100,2,legacy,auto,409600,20.456601703092467,23.50080013,-12.953594814082326
a100,2,legacy,auto,425984,20.84524008568325,23.65439944,-11.875843060155699
a100,2,legacy,auto,442368,21.231775213875977,24.16640148,-12.143414353819725
a100,2,legacy,auto,458752,21.616295783246954,24.16640148,-10.552277296491585
a100,2,legacy,auto,475136,21.998883719848237,25.54880083,-13.894652566171983
a100,2,legacy,auto,491520,22.379614912239358,25.70239827,-12.927911718024443
a100,2,legacy,auto,507904,22.758559842614403,26.00960061,-12.499387499766756
a100,2,legacy,auto,524288,23.135784133738024,26.11199953,-11.397883922457218
a100,2,legacy,auto,540672,23.511349025201135,29.13280204,-19.295957206864223
a100,2,legacy,auto,557056,23.88531178999314,29.1839987,-18.156137424741804
a100,2,legacy,auto,573440,24.257726100406302,29.49120104,-17.74588607800457
a100,2,legacy,auto,589824,24.628642350704403,29.23519909,-15.75688513395923
a100,2,legacy,auto,606208,24.998107942723927,48.38399962,-48.333936551225676
a100,2,legacy,auto,622592,25.366167539551505,48.4864004,-47.68395399475457
a100,2,legacy,auto,638976,25.73286329159223,48.58880118,-47.03951802337464
a100,2,legacy,auto,655360,26.098235038664015,48.99840057,-46.736557244599034
a100,2,legacy,auto,671744,26.46232049119532,48.89599979,-45.88039797765362
a100,2,legacy,auto,688128,26.825155393144456,48.94720018,-45.19573071698326
a100,2,legacy,auto,704512,27.18677366887472,49.04960096,-44.57289532070696
a100,2,legacy,auto,720896,27.547207555901828,49.15199801,-43.95506048340633
a100,2,legacy,auto,737280,27.906487725162073,49.15199801,-43.224103078201445
a100,2,legacy,auto,753664,28.264643390226603,49.35679957,-42.734043462156755
a100,2,legacy,auto,770048,28.621702406694062,49.51040074,-42.190525669548315
a100,2,legacy,auto,786432,28.97769136283658,49.6127978,-41.59230551832217
a100,2,legacy,auto,802816,29.332635662434043,49.92000014,-41.24071398202916
a100,2,legacy,auto,819200,29.686559600615197,49.97120053,-40.59266280226148
a100,2,legacy,auto,835584,30.03948643342507,50.17600209,-40.1317658199558
a100,2,legacy,auto,851968,30.391438441748733,50.07360131,-39.30646558932565
a100,2,legacy,auto,868352,30.74243699015053,51.81439966,-40.66815944625666
a100,2,legacy,auto,884736,31.092502581120712,50.43200403,-38.347675887269894
a100,2,legacy,auto,901120,31.441654905165628,50.48320442,-37.71858330627415
a100,2,legacy,auto,917504,31.78991288713162,50.48320442,-37.02873410599632
a100,2,legacy,auto,933888,32.13729472910537,51.30239576,-37.3571267910211
a100,2,legacy,auto,950272,32.48381795020181,51.50719732,-36.93343913009125
a100,2,legacy,auto,966656,32.82949942351317,51.40479654,-36.13533826951867
a100,2,legacy,auto,983040,33.17435541046759,51.45599693,-35.52868977429878
a100,2,legacy,auto,999424,33.51840159281866,51.6095981,-35.05393797511734
a100,2,legacy,auto,1015808,33.86165310246484,51.71199888,-34.51876965529351
