architecture,lane,arm,width,bytes,median_us,min_us,max_us,q1_us,q3_us,relative_iqr,repetitions
a100,legacy,auto,2,262144,18.73919927,18.48320104,18.84160005,18.53439957,18.73919927,0.010928946165158038,5
a100,legacy,auto,2,278528,20.12160048,19.96799931,20.32640018,19.96799931,20.27519979,0.015267199063282404,5
a100,legacy,auto,2,294912,20.22400126,20.17280087,20.37760057,20.17280087,20.27519979,0.005063237421890807,5
a100,legacy,auto,2,311296,20.78719996,20.63360065,20.94079927,20.68479918,20.83840035,0.007389218860431924,5
a100,legacy,auto,2,327680,20.83840035,20.73599957,20.94079927,20.73599957,20.88959888,0.007370974135257969,5
a100,legacy,auto,2,344064,22.2207997,21.91359922,22.4255994,22.16960117,22.2207997,0.0023040813423110345,5
a100,legacy,auto,2,360448,22.016,21.65759914,22.37440087,21.70879953,22.32320048,0.027907019894622107,5
a100,legacy,auto,2,376832,22.2207997,21.96479961,22.37440087,22.2207997,22.32320048,0.004608330095338556,5
a100,legacy,auto,2,393216,22.06720039,21.96479961,22.27200009,22.016,22.2207997,0.009280728700538272,5
a100,legacy,auto,2,409600,23.50080013,23.39839935,23.55200052,23.50080013,23.50080013,0.0,5
a100,legacy,auto,2,425984,23.65439944,23.55200052,23.85919914,23.60319905,23.80799875,0.008657996180350238,5
a100,legacy,auto,2,442368,24.16640148,24.0640007,24.26880039,24.11520109,24.26880039,0.006355902848304404,5
a100,legacy,auto,2,458752,24.16640148,24.0640007,24.4223997,24.11520109,24.2176,0.004237242772149855,5
a100,legacy,auto,2,475136,25.54880083,25.39519966,26.41919814,25.54880083,25.65119788,0.004007900436554478,5
a100,legacy,auto,2,491520,25.70239827,25.54880083,25.85599944,25.60000122,25.80479905,0.007968043598446675,5
a100,legacy,auto,2,507904,26.00960061,25.80479905,26.16319992,26.00960061,26.00960061,0.0,5
a100,legacy,auto,2,524288,26.11199953,26.00960061,26.2656007,26.06079914,26.11199953,0.001960799284680372,5
a100,legacy,auto,2,540672,29.13280204,28.92800048,29.1839987,29.08160165,29.1839987,0.0035148369820179656,5
a100,legacy,auto,2,557056,29.1839987,29.03040126,29.33759987,29.08160165,29.1839987,0.0035086710033330843,5
a100,legacy,auto,2,573440,29.49120104,29.08160165,29.49120104,29.13280204,29.49120104,0.012152743440794048,5
a100,legacy,auto,2,589824,29.23519909,29.13280204,29.74719927,29.23519909,29.33759987,0.0035026537594206606,5
a100,legacy,auto,2,606208,48.38399962,48.28160256,49.6127978,48.38399962,49.40799996,0.02116402835735639,5
a100,legacy,auto,2,622592,48.4864004,48.38399962,49.76639897,48.43520001,48.79359901,0.007391742778249189,5
a100,legacy,auto,2,638976,48.58880118,48.28160256,48.8447994,48.58880118,48.64000157,0.001053748780718638,5
a100,legacy,auto,2,655360,48.99840057,48.58880118,49.2031984,48.89599979,48.99840057,0.0020898800534052517,5
a100,legacy,auto,2,671744,48.89599979,48.79359901,48.99840057,48.79359901,48.94720018,0.0031413851983739492,5
a100,legacy,auto,2,688128,48.94720018,48.74239862,49.71519858,48.94720018,49.04960096,0.0020920661370502193,5
a100,legacy,auto,2,704512,49.04960096,48.69120196,49.25439879,48.89599979,49.04960096,0.0031315478004655664,5
a100,legacy,auto,2,720896,49.15199801,48.79359901,49.2031984,49.04960096,49.2031984,0.003124948043185328,5
a100,legacy,auto,2,737280,49.15199801,48.94720018,49.45920035,49.04960096,49.25439879,0.004166622686596336,5
a100,legacy,auto,2,753664,49.35679957,49.10080135,50.02240092,49.30559918,49.97120053,0.013485504647764093,5
a100,legacy,auto,2,770048,49.51040074,49.2031984,49.66399819,49.40799996,49.6127978,0.004136460964545301,5
a100,legacy,auto,2,786432,49.6127978,49.30559918,49.71519858,49.40799996,49.66399819,0.005159923272861725,5
a100,legacy,auto,2,802816,49.92000014,49.45920035,52.58240178,49.6127978,52.58240178,0.05948725904791224,5
a100,legacy,auto,2,819200,49.97120053,49.71519858,50.32960325,49.76639897,50.07360131,0.006147587745376977,5
a100,legacy,auto,2,835584,50.17600209,50.07360131,50.48320442,50.07360131,50.22720248,0.003061247680205558,5
a100,legacy,auto,2,851968,50.07360131,49.92000014,50.58559775,50.02240092,50.38080364,0.007157518345468506,5
a100,legacy,auto,2,868352,51.81439966,50.63679814,51.91680044,50.8415997,51.86560005,0.01976285273436273,5
a100,legacy,auto,2,884736,50.43200403,50.1248017,51.20000243,50.43200403,50.58559775,0.003045560511706605,5
a100,legacy,auto,2,901120,50.48320442,50.38080364,50.79039931,50.43200403,50.48320442,0.0010142064195060106,5
a100,legacy,auto,2,917504,50.48320442,50.22720248,50.73919892,50.27840286,50.53439736,0.005070884523696801,5
a100,legacy,auto,2,933888,51.30239576,51.04640126,51.45599693,51.14880204,51.35359615,0.003991901488539795,5
a100,legacy,auto,2,950272,51.50719732,51.14880204,51.55839771,51.35359615,51.55839771,0.003976173635067433,5
a100,legacy,auto,2,966656,51.40479654,51.30239576,51.55839771,51.30239576,51.55839771,0.00498011795068177,5
a100,legacy,auto,2,983040,51.45599693,51.25120282,51.86560005,51.30239576,51.6095981,0.005970195085675048,5
a100,legacy,auto,2,999424,51.6095981,51.40479654,54.57919836,51.40479654,51.66079849,0.004960355426600351,5
a100,legacy,auto,2,1015808,51.71199888,51.55839771,51.81439966,51.71199888,51.76319927,0.0009901065731148973,5
a100,legacy,auto,2,1032192,51.76319927,51.6095981,52.22399905,51.71199888,51.81439966,0.001978254463482207,5
a100,legacy,auto,2,1048576,52.01920122,51.76319927,52.53120139,51.96800083,52.07039788,0.0019684471810119124,5
a100,legacy,auto,2,1064960,53.96480113,53.04319784,54.8864007,53.35040018,54.68159914,0.024667911900447356,5
a100,legacy,auto,2,1081344,53.40160057,53.09439823,54.63039875,53.2479994,53.45280096,0.0038351202550856414,5
a100,legacy,auto,2,1097728,53.40160057,53.09439823,54.22080308,53.09439823,53.75999957,0.01246407098093455,5
a100,legacy,auto,2,1114112,53.45280096,53.40160057,53.60640213,53.45280096,53.50400135,0.0009578616850840012,5
a100,legacy,auto,2,1130496,53.60640213,53.50400135,53.81119996,53.55520174,53.75999957,0.0038203987184841286,5
a100,legacy,auto,2,1146880,53.91360074,53.55520174,54.78399992,53.70879918,54.47679758,0.014244984372379416,5
a100,legacy,auto,2,1163264,53.91360074,53.81119996,54.27200347,53.86240035,54.01600152,0.002849024511287015,5
a100,legacy,auto,2,1179648,53.96480113,53.86240035,54.42559719,53.86240035,54.06720191,0.003795095241927003,5
a100,legacy,auto,2,1196032,55.34719676,55.09120226,55.44959754,55.14240265,55.34719676,0.0037001713183061973,5
a100,legacy,auto,2,1212416,55.24479598,55.14240265,57.80480057,55.14240265,55.6543991,0.009267777008088755,5
a100,legacy,auto,2,1228800,55.24479598,54.98880148,55.80800027,55.09120226,55.29599637,0.0037070298906368517,5
a100,legacy,auto,2,1245184,55.60319871,55.19359559,55.6543991,55.50079793,55.60319871,0.0018416346968468053,5
a100,legacy,auto,2,1261568,55.70559949,55.34719676,56.0127981,55.39839715,55.80800027,0.007352997252520904,5
a100,legacy,auto,2,1277952,55.6543991,55.50079793,56.524802,55.55199832,55.75679988,0.003679880895524752,5
a100,legacy,auto,2,1294336,56.72960356,55.60319871,57.80480057,56.21759966,56.93439767,0.0126353431897666,5
a100,legacy,auto,2,1310720,56.06399849,55.70559949,56.37120083,56.0127981,56.06399849,0.0009132489900651271,5
a100,legacy,auto,2,1327104,57.13919923,56.93439767,57.59999901,56.98559806,57.54879862,0.00985664075782671,5
a100,legacy,auto,2,1343488,57.13919923,56.93439767,58.06080252,57.13919923,57.24160001,0.0017921283703645704,5
a100,legacy,auto,2,1359872,57.19039962,56.83199689,57.39520118,56.93439767,57.19039962,0.004476309864959781,5
a100,legacy,auto,2,1376256,57.08799884,57.03679845,58.4191978,57.03679845,57.19039962,0.00269060350898791,5
a100,legacy,auto,2,1392640,57.39520118,57.03679845,57.49760196,57.2928004,57.44640157,0.0026762023103340175,5
a100,legacy,auto,2,1409024,57.59999901,57.13919923,58.06080252,57.49760196,57.95840174,0.007999996318055529,5
a100,legacy,auto,2,1425408,57.85600096,57.85600096,59.13599581,57.85600096,58.1632033,0.0053097748704129645,5
a100,legacy,auto,2,1441792,61.54239923,59.80160087,62.97600269,60.62080339,61.64480001,0.016638880394848694,5
a100,legacy,auto,2,1458176,59.23839658,58.26560408,59.59679931,58.77760053,59.34079736,0.009507293622294773,5
a100,legacy,auto,2,1474560,58.67519975,58.36799741,59.54559892,58.62399936,58.98240209,0.006108248996629989,5
a100,legacy,auto,2,1490944,58.88000131,58.21440369,59.95519832,58.82880092,59.1871962,0.006086876223270985,5
a100,legacy,auto,2,1507328,59.1871962,58.57279897,59.49439853,59.13599581,59.44319814,0.005190351118541456,5
a100,legacy,auto,2,1523712,59.44319814,58.98240209,59.75040048,59.23839658,59.69920009,0.007751997275024108,5
a100,legacy,auto,2,1540096,59.85280126,59.34079736,61.54239923,59.80160087,60.00639871,0.003421691812056679,5
a100,legacy,auto,2,1556480,60.21120027,59.1871962,60.31360105,59.59679931,60.31360105,0.011904790749656335,5
a100,legacy,auto,2,1572864,59.80160087,59.6479997,60.21120027,59.75040048,60.15999988,0.006849304935672328,5
a100,legacy,auto,2,1589248,60.46720222,60.31360105,61.44000217,60.41600183,61.23520061,0.013547820139246401,5
a100,legacy,auto,2,1605632,60.67199633,60.36480144,61.74720079,60.569603,60.87679788,0.00506320705732409,5
a100,legacy,auto,2,1622016,60.7743971,60.51840261,62.82240152,60.72319672,61.03039905,0.005054798478617941,5
a100,legacy,auto,2,1638400,60.7743971,59.85280126,62.00320274,60.62080339,61.59359962,0.016006678410965265,5
a100,legacy,auto,2,1654784,61.08159944,59.13599581,61.59359962,59.54559892,61.38880178,0.030176073922402156,5
a100,legacy,auto,2,1671168,61.18400022,59.49439853,61.64480001,60.51840261,61.44000217,0.015062754260692193,5
a100,legacy,auto,2,1687552,61.95200235,60.72319672,64.15359676,60.7743971,63.9487952,0.05123963680893032,5
a100,legacy,auto,2,1703936,63.74400109,60.569603,64.10239637,61.38880178,63.84639442,0.03855410074636094,5
a100,legacy,auto,2,1720320,62.56639957,60.82559749,63.02719563,61.44000217,62.97600269,0.024549926646833926,5
a100,legacy,auto,2,1736704,62.51519918,60.46720222,63.64160031,61.74720079,62.56639957,0.01310399376064182,5
a100,legacy,auto,2,1753088,63.02719563,60.87679788,63.48799914,61.18400022,63.12959641,0.03086915371297151,5
a100,legacy,auto,2,1769472,63.02719563,61.286401,63.43679875,61.54239923,63.1807968,0.025995089161481737,5
a100,legacy,auto,2,1785856,63.23199719,61.38880178,63.89759481,61.95200235,63.6928007,0.027530339501522214,5
a100,legacy,auto,2,1802240,63.74400109,61.33760139,65.84320217,62.10560352,64.25599754,0.033734845369431034,5
a100,legacy,auto,2,1818624,63.38559836,61.79840118,64.05119598,63.02719563,63.9487952,0.014539573560002563,5
a100,legacy,auto,2,1835008,64.15359676,63.12959641,64.25599754,63.59039992,64.20479715,0.009576972469657078,5
a100,legacy,auto,2,1851392,64.25599754,62.82240152,65.12640417,62.97600269,64.66560066,0.026294790131430185,5
a100,legacy,auto,2,1867776,64.40959871,62.36159801,65.53599983,63.59039992,64.51199949,0.0143084196836784,5
a100,legacy,auto,2,1884160,64.76800144,62.66880035,65.02400339,62.72000074,64.87040222,0.03320160314028055,5
a100,legacy,auto,2,1900544,64.87040222,62.77120113,65.28000534,63.38559836,65.12640417,0.026835132054465586,5
a100,legacy,auto,2,1916928,64.76800144,63.38559836,65.43359905,63.64160031,65.33120573,0.026087039625040994,5
a100,legacy,auto,2,1933312,65.02400339,63.48799914,66.35519862,64.10239637,65.63840061,0.023622111219258335,5
