architecture,lane,arm,repeat,width,bytes,in_place,callbacks,ranks,algo,proto,#channels,#warps,kernelVariant
a100,diagnostic,auto,0,2,262144,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,278528,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,294912,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,311296,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,327680,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,344064,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,360448,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,376832,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,393216,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,409600,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,425984,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,442368,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,458752,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,475136,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,491520,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,507904,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,524288,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,540672,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,557056,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,573440,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,589824,False,22,2,RING,LL,8,16,
a100,diagnostic,auto,0,2,606208,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,622592,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,638976,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,655360,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,671744,False,22,2,RING,SIMPLE,7,17,
a100,diagnostic,auto,0,2,688128,False,22,2,RING,SIMPLE,7,17,
a100,diagnostic,auto,0,2,704512,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,720896,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,737280,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,753664,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,770048,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,786432,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,802816,False,22,2,RING,SIMPLE,7,17,
a100,diagnostic,auto,0,2,819200,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,835584,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,851968,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,868352,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,884736,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,901120,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,917504,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,933888,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,950272,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,966656,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,983040,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,999424,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1015808,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1032192,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1048576,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1064960,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1081344,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1097728,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1114112,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1130496,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1146880,False,22,2,RING,SIMPLE,8,17,
a100,diagnostic,auto,0,2,1163264,False,22,2,RING,SIMPLE,8,17,
