degree,jain_seed_max,jain_seed_mean,jain_seed_min,jain_worst_wave_seed_max,jain_worst_wave_seed_mean,jain_worst_wave_seed_min,size_bytes,transport
1,1.0,1.0,1.0,1.0,1.0,1.0,256,nvlink-credit
1,1.0,1.0,1.0,1.0,1.0,1.0,256,rnic-nn
1,1.0,1.0,1.0,1.0,1.0,1.0,256,rnic-nn-fluid
1,1.0,1.0,1.0,1.0,1.0,1.0,1024,nvlink-credit
1,1.0,1.0,1.0,1.0,1.0,1.0,1024,rnic-nn
1,1.0,1.0,1.0,1.0,1.0,1.0,1024,rnic-nn-fluid
1,1.0,1.0,1.0,1.0,1.0,1.0,4096,nvlink-credit
1,1.0,1.0,1.0,1.0,1.0,1.0,4096,rnic-nn
1,1.0,1.0,1.0,1.0,1.0,1.0,4096,rnic-nn-fluid
1,1.0,1.0,1.0,1.0,1.0,1.0,16384,nvlink-credit
1,1.0,1.0,1.0,1.0,1.0,1.0,16384,rnic-nn
1,1.0,1.0,1.0,1.0,1.0,1.0,16384,rnic-nn-fluid
1,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,65536,nvlink-credit
1,1.0,1.0,1.0,1.0,1.0,1.0,65536,rnic-nn
1,1.0,1.0,1.0,1.0,1.0,1.0,65536,rnic-nn-fluid
1,1.0,1.0,1.0,1.0,1.0,1.0,262144,nvlink-credit
1,1.0,1.0,1.0,1.0,1.0,1.0,262144,rnic-nn
1,1.0,1.0,1.0,1.0,1.0,1.0,262144,rnic-nn-fluid
1,1.0,1.0,1.0,1.0,1.0,1.0,524288,nvlink-credit
1,1.0,1.0,1.0,1.0,1.0,1.0,524288,rnic-nn
1,1.0,1.0,1.0,1.0,1.0,1.0,524288,rnic-nn-fluid
2,0.9996671305935473,0.9992977942895285,0.9984702660097805,0.9981730436694505,0.9960132112076973,0.9921412618536956,256,nvlink-credit
2,0.995842833471666,0.9913820924638804,0.9802617148619652,0.9721691999849483,0.9538363578069576,0.9140342393866592,256,rnic-nn
2,0.9999830851066376,0.9877858677242212,0.9787689461973536,0.9997970212796514,0.921422061498717,0.8351636685990039,256,rnic-nn-fluid
2,0.9986042596873531,0.9912698883968465,0.9834015102215977,0.9922289845882173,0.9561470640893912,0.9334980435486795,1024,nvlink-credit
2,0.9985851416662789,0.9887956747403277,0.9794949488269382,0.9966412866375294,0.9451470387705729,0.9016747944906817,1024,rnic-nn
2,0.9983095048474225,0.9869441281957232,0.9738670009624432,0.993580977528112,0.9303370789921414,0.8952565608739453,1024,rnic-nn-fluid
2,0.9998039561839535,0.998554666162887,0.9967154654475544,0.9986486166173284,0.9936717216698907,0.9866882546280523,4096,nvlink-credit
2,0.9994480092166862,0.9985722600000972,0.9977331123678467,0.997745377697597,0.9932584517989549,0.9851995003142281,4096,rnic-nn
2,0.9995793330213111,0.9986398988053389,0.9978679019419242,0.9978413383702104,0.9934485435008589,0.9855028172775766,4096,rnic-nn-fluid
2,0.9999687248896852,0.9998604284982279,0.9996726611831487,0.9998816570338273,0.9990607364204163,0.9974172701984229,16384,nvlink-credit
2,0.999966021729877,0.9998934888660691,0.9997848218055134,0.9998715347640643,0.999406946785622,0.9987440516757219,16384,rnic-nn
2,0.9999542463856775,0.99989111412454,0.9997689852378264,0.9998115451747832,0.9993835935488428,0.9988633337435443,16384,rnic-nn-fluid
2,0.9999981478385226,0.9999931837005344,0.9999897331752078,0.9999882278186962,0.9999681678466449,0.999936808802744,65536,nvlink-credit
2,0.9999977317192025,0.9999951080762409,0.9999926085325835,0.9999888692390432,0.9999755725999098,0.999945174363384,65536,rnic-nn
2,0.9999979269817133,0.9999948205357652,0.9999919620082779,0.999992277049152,0.9999753022707346,0.9999353614122501,65536,rnic-nn-fluid
2,0.9999998854414605,0.9999994880533823,0.9999987600172333,0.9999997394148014,0.9999968137017601,0.9999915810591865,262144,nvlink-credit
2,0.9999998709615104,0.9999996302276382,0.999999288476943,0.9999997033620035,0.9999984745901368,0.9999968813260659,262144,rnic-nn
2,0.9999998959734714,0.9999996663182164,0.9999993433682032,0.9999995503211486,0.9999985035211664,0.9999968111229243,262144,rnic-nn-fluid
2,0.9999999778563925,0.9999999363736009,0.9999998811225635,0.9999999256170328,0.9999996393636449,0.9999992271063008,524288,nvlink-credit
2,0.9999999591680554,0.9999999488658476,0.9999999352301482,0.9999998547774612,0.9999997364064954,0.9999995892159989,524288,rnic-nn
2,0.9999999704317357,0.9999999483190243,0.9999999275464488,0.9999999162494416,0.9999997235576505,0.9999996055038407,524288,rnic-nn-fluid
3,0.9992865112794829,0.9971344037022943,0.9907058087695115,0.9974006868684614,0.9896794761609152,0.9677529181720766,256,nvlink-credit
3,0.9895436329583047,0.9740885737743407,0.9462007175190333,0.9516022414496224,0.900040037551896,0.8137611317660151,256,rnic-nn
3,0.9956899524990934,0.9795275384442648,0.9447789424229632,0.9813798184901179,0.9078233882831837,0.7860223908498428,256,rnic-nn-fluid
3,0.9979978259829639,0.9952693348683739,0.9915379608994637,0.9960571402079071,0.9809553333440435,0.9571211264975497,1024,nvlink-credit
3,0.9972214008506107,0.9944722437709211,0.9906520198516932,0.9891570624416103,0.9767227868950233,0.9609000988316933,1024,rnic-nn
3,0.9981179926759157,0.9956046180419295,0.9922888848195713,0.9937364777519123,0.9772847953192216,0.9585132290955215,1024,rnic-nn-fluid
3,0.9999405693686695,0.9998474704654936,0.9997487585189919,0.9997829699634234,0.9994686515450736,0.999212783810954,4096,nvlink-credit
3,0.999314194299148,0.9987167871825804,0.9967438493700119,0.9980008812989896,0.9961296647917192,0.9923445494885735,4096,rnic-nn
3,0.9993048892038646,0.9987126754986745,0.9974560037289537,0.9977393372407798,0.9958105527761298,0.9887799671267065,4096,rnic-nn-fluid
3,0.9999985546172874,0.9999960312229237,0.9999937753979676,0.9999950813698252,0.9999829974080094,0.9999735185366811,16384,nvlink-credit
3,0.999951214381306,0.999901821497637,0.9997770317276422,0.9998252418319277,0.999676025549574,0.9994481225121018,16384,rnic-nn
3,0.9999646434421076,0.999907612894358,0.999793339548161,0.999891822263248,0.9997293397388157,0.9995103352810815,16384,rnic-nn-fluid
3,0.9999998668906277,0.9999997820100227,0.9999995427253244,0.9999995960334772,0.9999987036923103,0.9999961764821093,65536,nvlink-credit
3,0.9999982144359549,0.9999933562604948,0.9999877280226963,0.9999954315170334,0.9999799058024647,0.9999669829568252,65536,rnic-nn
3,0.9999981284466757,0.9999937370446056,0.9999848895325348,0.9999954737051338,0.999979832735911,0.9999585168146805,65536,rnic-nn-fluid
3,0.9999999919129907,0.9999999825622419,0.9999999721631799,0.9999999716488926,0.9999999023000916,0.9999997082839744,262144,nvlink-credit
3,0.9999998793336377,0.9999996151567991,0.9999992985327005,0.9999994068578754,0.9999986873332455,0.9999982026347312,262144,rnic-nn
3,0.999999915647372,0.9999996538395989,0.9999994045005224,0.999999662917687,0.9999988601026568,0.9999983661207186,262144,rnic-nn-fluid
3,0.9999999978124094,0.9999999959311844,0.9999999943153955,0.9999999956287644,0.9999999827794641,0.9999999522632115,524288,nvlink-credit
3,0.9999999655738668,0.9999999045896052,0.9999997255228984,0.9999999158733369,0.9999996301026834,0.9999991617812349,524288,rnic-nn
3,0.9999999622310938,0.999999910755556,0.9999997712823049,0.9999998462006635,0.9999996373392394,0.9999993083409205,524288,rnic-nn-fluid
4,0.9988456287113056,0.996958154721048,0.9935794511420205,0.9970665025775793,0.9875306549497647,0.9687002935876566,256,nvlink-credit
4,0.9823868666641,0.9641798302915812,0.9389843142478562,0.9471110168693672,0.8803022426468025,0.719256595533453,256,rnic-nn
4,0.996416472090619,0.9765247601397363,0.9496571431222426,0.9878666420147649,0.9057570442116835,0.773191646653804,256,rnic-nn-fluid
4,0.9948310147399989,0.991994720736357,0.9884355076232554,0.9879402616503098,0.9758921556384919,0.9574389020901558,1024,nvlink-credit
4,0.993350331485621,0.991069120312919,0.987289696895612,0.9846144140250472,0.9781832426035633,0.9723913677580402,1024,rnic-nn
4,0.997214176730922,0.994937527758887,0.9923954463816659,0.9900739111169561,0.9803585071770389,0.9703717875924297,1024,rnic-nn-fluid
4,0.9998329756601779,0.9997619077657873,0.9996328585715831,0.9995124853552905,0.999309495055544,0.9991004642025765,4096,nvlink-credit
4,0.9994620922839443,0.9986032385963042,0.9975661784368853,0.9988925026378889,0.9964809682052276,0.9942896741776618,4096,rnic-nn
4,0.9995377070356003,0.998523999606133,0.995426730494691,0.9990364056334979,0.9966334745460704,0.9916189014649499,4096,rnic-nn-fluid
4,0.9999950729472946,0.9999922240859525,0.9999894683278622,0.9999885253331706,0.9999704408772817,0.9999512130505137,16384,nvlink-credit
4,0.9999585804272021,0.9998986196703699,0.9997750670280898,0.9998707027963327,0.9996527708598829,0.9992947565943163,16384,rnic-nn
4,0.9999694053754037,0.9998823134862916,0.9997299017701428,0.9999151499620327,0.9996250148314897,0.999236049243745,16384,rnic-nn-fluid
4,0.9999996108198865,0.9999993560204266,0.9999991503365737,0.9999987042035675,0.9999971466553236,0.999995071450767,65536,nvlink-credit
4,0.999998207929414,0.9999952337663048,0.999990307908262,0.99999592881232,0.9999853700571705,0.9999654710877168,65536,rnic-nn
4,0.9999980587944353,0.9999954751422843,0.9999902973826988,0.9999945327889257,0.9999854891852229,0.9999666435648868,65536,rnic-nn-fluid
4,0.9999999742234578,0.999999963226421,0.9999999458382475,0.99999992078667,0.9999998435911694,0.9999997386279856,262144,nvlink-credit
4,0.999999893478282,0.9999996399335763,0.9999993919111675,0.9999996738844796,0.9999986878554158,0.9999973351412094,262144,rnic-nn
4,0.9999999047965092,0.9999996466502661,0.9999994048694191,0.999999681572494,0.9999986941486875,0.9999969263635671,262144,rnic-nn-fluid
4,0.9999999920342225,0.9999999900210175,0.9999999872404653,0.9999999770656123,0.9999999604692549,0.9999999408258342,524288,nvlink-credit
4,0.9999999559477684,0.9999999224924588,0.9999998952042869,0.9999998358917964,0.9999997789065791,0.9999996272067386,524288,rnic-nn
4,0.9999999633853626,0.9999999256053642,0.9999998882397039,0.999999884610473,0.9999997857634099,0.999999623245711,524288,rnic-nn-fluid
8,0.9955481282582185,0.993411596800006,0.9904756173953447,0.9902102201402014,0.9812611931825087,0.9631693153171819,256,nvlink-credit
8,0.9491308427436227,0.936228683594755,0.9196701456913031,0.904485383077109,0.8556919518539877,0.7471524359747664,256,rnic-nn
8,0.9609341238821413,0.9383139387897427,0.9219246950244085,0.907272547390786,0.8074641239882485,0.6938510145662476,256,rnic-nn-fluid
8,0.9893205143933369,0.9776292452777129,0.9642010679732874,0.9726871329587051,0.9508277314726641,0.9372727359270757,1024,nvlink-credit
8,0.9950543799395021,0.9922066924469441,0.9885398639394589,0.985544130572848,0.9793542813682296,0.9649796005648827,1024,rnic-nn
8,0.9963611783725956,0.993591094980887,0.9924973991582928,0.9907243633029146,0.978774649344795,0.9579210730342673,1024,rnic-nn-fluid
8,0.999487857395679,0.9994215682987269,0.999322198074728,0.9984839970451099,0.9980418484455935,0.9974438990894141,4096,nvlink-credit
8,0.9993046863829718,0.9990868580380037,0.9988932729420612,0.998529526756892,0.9977061308444275,0.9966790472013052,4096,rnic-nn
8,0.9994502575773625,0.9990928999959129,0.998767801909925,0.9989404986215923,0.9978222916110293,0.9969639491035475,4096,rnic-nn-fluid
8,0.9999769594887851,0.9999738710407845,0.9999696990082491,0.9999360747735296,0.9999173180508012,0.9998976148521529,16384,nvlink-credit
8,0.9999837990039446,0.9999702903796356,0.9999600701563809,0.9999293697577535,0.9999131768426128,0.9998830609107714,16384,rnic-nn
8,0.9999867093477096,0.9999746229768982,0.999952337020817,0.9999493614959413,0.9999253632409965,0.9998973148232054,16384,rnic-nn-fluid
8,0.9999985300972378,0.9999980574359242,0.9999976244811198,0.9999963684187886,0.9999916594793432,0.9999883550467702,65536,nvlink-credit
8,0.9999978964996146,0.9999967918683041,0.999993509728602,0.9999949139772352,0.9999918454662653,0.9999858797409404,65536,rnic-nn
8,0.9999986084852758,0.999996601523371,0.999992138679906,0.9999958254769171,0.9999916850280466,0.9999835321697162,65536,rnic-nn-fluid
8,0.9999999041254432,0.9999998785529933,0.999999857876093,0.9999997058887268,0.9999995647914611,0.9999993450949186,262144,nvlink-credit
8,0.9999999292812746,0.9999998356689846,0.9999996942729076,0.9999998073490344,0.9999995059631137,0.9999990219697448,262144,rnic-nn
8,0.999999943591345,0.9999998252314877,0.9999996417296252,0.9999998341948023,0.9999994890861301,0.9999988992564126,262144,rnic-nn-fluid
8,0.9999999790716753,0.9999999709728298,0.9999999658121701,0.9999999316296155,0.999999908872907,0.9999998787678148,524288,nvlink-credit
8,0.9999999821399506,0.999999967579742,0.9999999400054497,0.999999963375794,0.9999999099977089,0.9999998498815397,524288,rnic-nn
8,0.9999999785927328,0.999999969239848,0.9999999558504524,0.9999999535227962,0.9999999206302418,0.999999853891996,524288,rnic-nn-fluid
16,0.976839225181149,0.9717998160743506,0.9681588460640903,0.9648528680242369,0.9559295883791593,0.9457741710663705,256,nvlink-credit
16,0.870691901314813,0.8353711120975823,0.8071382860637318,0.7702194910236666,0.7205808807779485,0.6891216101585016,256,rnic-nn
16,0.9436832448671679,0.8876201486367632,0.8309912862146365,0.8336703351089271,0.6878539136831532,0.5525953229996575,256,rnic-nn-fluid
16,0.9821288547722843,0.9726449305288529,0.9620924195302379,0.9474246769214724,0.9128215199584169,0.8825917828861283,1024,nvlink-credit
16,0.9977114466405532,0.9959780841523899,0.9943900061175683,0.9953838679583237,0.9876777854291647,0.9750487915896907,1024,rnic-nn
16,0.9982849929632832,0.9968544176867415,0.9952940711907883,0.9973724276593978,0.993148826801729,0.9910400701685531,1024,rnic-nn-fluid
