active_pair_limit_violations,allocation_epochs,credit_wait_packets,credit_wait_ps,degree,flow_count,max_active_classes,max_destination_allocated_bps,max_source_allocated_bps,mean_fct_ps,p50_seed_max_ps,p50_seed_mean_ps,p50_seed_min_ps,p99_seed_max_ps,p99_seed_mean_ps,p99_seed_min_ps,packet_count,payload_bytes,rx_wait_packets,rx_wait_ps,sample_count,size_bytes,transport,wire_bytes,worst_seed_max_ps,worst_seed_mean_ps,worst_seed_min_ps
,,0,0,1,,,,,12320.722222222223,12194,12194.0,12194,14282,13067.333333333334,12194,108,,0,0,108,256,nvlink-credit,29376,14282,13067.333333333334,12194
0,108,,,1,108,9,7200000000000,7200000000000,2701.7314814814813,2627,2627.0,2627,3958,3164.222222222222,2627,108,27648,,,108,256,rnic-nn,29376,3958,3164.222222222222,2627
0,216,,,1,108,9,7200000000000,7200000000000,2831.9074074074074,2560,2560.0,2560,6384,4264.666666666667,2560,0,27648,,,108,256,rnic-nn-fluid,0,6384,4264.666666666667,2560
,,0,0,1,,,,,25051.472222222223,40751,23717.11111111111,17270,52290,35820.666666666664,23374,432,,0,0,108,1024,nvlink-credit,117504,52290,35820.666666666664,23374
0,756,,,1,108,9,7200000000000,7200000000000,13046.027777777777,15347,11510.111111111111,10507,27622,19938.777777777777,14925,432,110592,,,108,1024,rnic-nn,117504,27622,19938.777777777777,14925
0,216,,,1,108,9,7200000000000,7200000000000,14048.50925925926,21105,12369.888888888889,10240,33330,22272.444444444445,15704,0,110592,,,108,1024,rnic-nn-fluid,0,33330,22272.444444444445,15704
,,0,0,1,,,,,126182.60185185185,178430,127261.55555555556,107886,225471,172411.11111111112,143525,1728,,0,0,108,4096,nvlink-credit,470016,225471,172411.11111111112,143525
0,3456,,,1,108,9,7200000000000,7200000000000,76582.07407407407,95219,74589.55555555556,64511,134821,106975.33333333333,85420,1728,442368,,,108,4096,rnic-nn,470016,134821,106975.33333333333,85420
0,216,,,1,108,9,7200000000000,7200000000000,68967.93518518518,87499,67019.66666666667,56350,121116,94516.33333333333,71295,0,442368,,,108,4096,rnic-nn-fluid,0,121116,94516.33333333333,71295
,,0,0,1,,,,,602695.2962962963,650124,606642.1111111111,578655,879961,828548.8888888889,799682,6912,,0,0,108,16384,nvlink-credit,1880064,879961,828548.8888888889,799682
0,14148,,,1,108,9,7200000000000,7200000000000,376771.3425925926,372644,360281.0,341410,620694,574806.0,543833,6912,1769472,,,108,16384,rnic-nn,1880064,620694,574806.0,543833
0,216,,,1,108,9,7200000000000,7200000000000,322088.9259259259,322067,309704.0,290833,520854,474966.0,443993,0,1769472,,,108,16384,rnic-nn-fluid,0,520854,474966.0,443993
,,0,0,1,,,,,2566956.3981481483,2599424,2582308.111111111,2550218,3546432,3519332.6666666665,3490391,27648,,0,0,108,65536,nvlink-credit,7520256,3546432,3519332.6666666665,3490391
0,57132,,,1,108,9,7200000000000,7200000000000,1623371.6759259258,1554520,1539131.888888889,1503068,2569910,2551251.0,2520707,27648,7077888,,,108,65536,rnic-nn,7520256,2569910,2551251.0,2520707
0,216,,,1,108,9,7200000000000,7200000000000,1365899.1759259258,1316752,1301363.888888889,1265300,2095688,2077029.0,2046485,0,7077888,,,108,65536,rnic-nn-fluid,0,2095688,2077029.0,2046485
,,0,0,1,,,,,10385986.99074074,10439683,10404908.777777778,10376299,14269370,14233746.888888888,14189850,110592,,0,0,108,262144,nvlink-credit,30081024,14269370,14233746.888888888,14189850
0,228852,,,1,108,9,7200000000000,7200000000000,6572820.777777778,6249227,6228538.888888889,6202192,10384924,10358911.333333334,10333698,110592,28311552,,,108,262144,rnic-nn,30081024,10384924,10358911.333333334,10333698
0,216,,,1,108,9,7200000000000,7200000000000,5521261.694444444,5278456,5257767.888888889,5231421,8444696,8418683.333333334,8393470,0,28311552,,,108,262144,rnic-nn-fluid,0,8444696,8418683.333333334,8393470
,,0,0,1,,,,,20830040.64814815,20923820,20862777.222222224,20836455,28631845,28555775.666666668,28533094,221184,,0,0,108,524288,nvlink-credit,60162048,28631845,28555775.666666668,28533094
0,457920,,,1,108,9,7200000000000,7200000000000,13189607.527777778,12531167,12497166.888888888,12469719,20842782,20811098.333333332,20789905,221184,56623104,,,108,524288,rnic-nn,60162048,20842782,20811098.333333332,20789905
0,216,,,1,108,9,7200000000000,7200000000000,11070729.611111112,10575179,10541178.888888888,10513731,16932119,16900435.333333332,16879242,0,56623104,,,108,524288,rnic-nn-fluid,0,16932119,16900435.333333332,16879242
,,0,0,2,,,,,12436.856481481482,12194,12194.0,12194,15038,13895.0,13310,216,,50,35492,216,256,nvlink-credit,58752,15038,13895.0,13310
0,216,,,2,216,12,9600000000000,7200000000000,2828.4675925925926,2627,2627.0,2627,4951,4217.111111111111,3697,216,55296,,,216,256,rnic-nn,58752,4951,4217.111111111111,3697
0,432,,,2,216,18,14400000000000,7200000000000,2779.865740740741,2560,2560.0,2560,6653,4742.333333333333,3310,0,55296,,,216,256,rnic-nn-fluid,0,6653,4742.333333333333,3310
,,0,0,2,,,,,26011.76851851852,47464,24938.0,19142,53929,36699.555555555555,29355,864,,650,1069771,216,1024,nvlink-credit,235008,53929,36699.555555555555,29355
0,953,,,2,216,18,14400000000000,7200000000000,15023.38425925926,26243,13852.0,11385,35180,23869.777777777777,16582,864,221184,,,216,1024,rnic-nn,235008,35180,23869.777777777777,16582
0,432,,,2,216,18,14400000000000,7200000000000,13600.953703703704,23573,12068.0,10240,31430,22424.777777777777,17078,0,221184,,,216,1024,rnic-nn-fluid,0,31430,22424.777777777777,17078
,,0,0,2,,,,,130464.16666666667,178918,135002.88888888888,74555,232403,177736.55555555556,94401,3456,,2968,4592531,216,4096,nvlink-credit,940032,232403,177736.55555555556,94401
0,3485,,,2,216,18,14400000000000,7200000000000,78464.25462962964,97133,77424.0,48985,160521,112070.33333333333,58437,3456,884736,,,216,4096,rnic-nn,940032,160521,112070.33333333333,58437
0,432,,,2,216,18,14400000000000,7200000000000,70294.87037037036,88193,69625.88888888889,42531,145173,99062.0,50791,0,884736,,,216,4096,rnic-nn-fluid,0,145173,99062.0,50791
,,0,0,2,,,,,601168.3888888889,637427,617701.5555555555,598146,872790,844053.4444444445,817783,13824,,11311,14284574,216,16384,nvlink-credit,3760128,872790,844053.4444444445,817783
0,14274,,,2,216,18,14400000000000,7200000000000,383946.60185185185,375121,361997.22222222225,345279,613509,600727.0,584046,13824,3538944,,,216,16384,rnic-nn,3760128,613509,600727.0,584046
0,432,,,2,216,18,14400000000000,7200000000000,320677.52314814815,316329,303086.44444444444,285939,499222,485844.22222222225,468876,0,3538944,,,216,16384,rnic-nn-fluid,0,499222,485844.22222222225,468876
,,0,0,2,,,,,2576099.5416666665,2618862,2589703.3333333335,2550254,3576117,3533085.222222222,3484615,55296,,47602,63935626,216,65536,nvlink-credit,15040512,3576117,3533085.222222222,3484615
0,57211,,,2,216,18,14400000000000,7200000000000,1632199.5046296297,1565459,1549360.6666666667,1516909,2581516,2559525.777777778,2524737,55296,14155776,,,216,65536,rnic-nn,15040512,2581516,2559525.777777778,2524737
0,432,,,2,216,18,14400000000000,7200000000000,1369873.6712962964,1327202,1306800.7777777778,1270905,2102886,2076678.5555555555,2049641,0,14155776,,,216,65536,rnic-nn-fluid,0,2102886,2076678.5555555555,2049641
,,0,0,2,,,,,10395546.208333334,10436268,10414850.222222222,10368044,14298117,14252625.555555556,14203874,221184,,184298,211745408,216,262144,nvlink-credit,60162048,14298117,14252625.555555556,14203874
0,228985,,,2,216,18,14400000000000,7200000000000,6585512.925925926,6259574,6243833.444444444,6213463,10417913,10388654.0,10346262,221184,56623104,,,216,262144,rnic-nn,60162048,10417913,10388654.0,10346262
0,432,,,2,216,18,14400000000000,7200000000000,5525495.638888889,5279736,5264456.888888889,5234499,8462051,8433119.222222222,8391587,0,56623104,,,216,262144,rnic-nn-fluid,0,8462051,8433119.222222222,8391587
,,0,0,2,,,,,20844313.375,20929017,20876967.222222224,20842674,28632787,28581077.666666668,28525304,442368,,380920,532941712,216,524288,nvlink-credit,120324096,28632787,28581077.666666668,28525304
0,458039,,,2,216,18,14400000000000,7200000000000,13204547.731481481,12548916,12510573.888888888,12482478,20860758,20840367.666666668,20795342,442368,113246208,,,216,524288,rnic-nn,120324096,20860758,20840367.666666668,20795342
0,432,,,2,216,18,14400000000000,7200000000000,11077332.125,10584104,10546610.555555556,10519923,16934705,16914623.333333332,16869827,0,113246208,,,216,524288,rnic-nn-fluid,0,16934705,16914623.333333332,16869827
,,0,0,3,,,,,13033.922839506173,13187,12381.111111111111,12194,21076,15976.555555555555,13642,324,,135,223988,324,256,nvlink-credit,88128,21076,15976.555555555555,13642
0,324,,,3,324,21,14570446125021,7200000000000,3447.2006172839506,3619,2801.4444444444443,2627,12319,6973.222222222223,4413,324,82944,,,324,256,rnic-nn,88128,12319,6973.222222222223,4413
0,648,,,3,324,27,14911338375063,7200000000000,3259.1111111111113,3529,2752.3333333333335,2560,11290,6444.888888888889,4239,0,82944,,,324,256,rnic-nn-fluid,0,11290,6444.888888888889,4239
,,0,0,3,,,,,22416.65740740741,23823,22113.88888888889,20078,36402,30244.555555555555,25878,1296,,1119,4239176,324,1024,nvlink-credit,352512,36402,30244.555555555555,25878
0,1395,,,3,324,27,14911338375063,7200000000000,14953.598765432098,15904,14395.666666666666,13134,29116,23257.88888888889,17545,1296,331776,,,324,1024,rnic-nn,352512,29116,23257.88888888889,17545
0,648,,,3,324,27,14911338375063,7200000000000,13506.052469135802,14122,13065.222222222223,11715,26453,21150.666666666668,15938,0,331776,,,324,1024,rnic-nn-fluid,0,26453,21150.666666666668,15938
,,0,0,3,,,,,106305.72839506173,122452,103118.33333333333,89660,176517,147855.44444444444,122864,5184,,5159,245368657,324,4096,nvlink-credit,1410048,176517,147855.44444444444,122864
0,5195,,,3,324,27,14911338375063,7200000000000,99437.8024691358,119015,98280.0,84741,172167,141838.11111111112,115794,5184,1327104,,,324,4096,rnic-nn,1410048,172167,141838.11111111112,115794
0,648,,,3,324,27,14911338375063,7200000000000,77139.6975308642,96536,76323.66666666667,63607,129066,102817.33333333333,75003,0,1327104,,,324,4096,rnic-nn-fluid,0,129066,102817.33333333333,75003
,,0,0,3,,,,,551357.6080246913,539675,522291.1111111111,504281,872791,847714.0,828097,20736,,20718,6900584986,324,16384,nvlink-credit,5640192,872791,847714.0,828097
0,20746,,,3,324,27,14911338375063,7200000000000,544539.8888888889,543446,521195.77777777775,503126,863901,842318.0,821062,20736,5308416,,,324,16384,rnic-nn,5640192,863901,842318.0,821062
