mode,profile,size_bytes,depth,gap_ps,burst_messages,senders,qps,loss_ppm,offered_pps,offered_bps,messages,completions,errors,packets_issued,packets_retransmitted,recovery_episodes,timeouts,payload_bytes,wire_bytes,first_packet_ps,last_completion_ps,warm_start_ps,warm_payload_bytes,gap_time_ps,injected_losses,rx_packets_offered,rx_packets_delivered,rx_payload_bytes,rx_bytes_phy,rx_discards_phy,rx_discards_meter,rx_discards_rate,rx_discards_sequence,rx_high_watermark,out_of_sequence,packet_seq_err,roce_adp_retrans,local_ack_timeout_err,np_ecn_marked,tx_pause_ctrl_phy,late_releases,sender0_payload_bytes,sender1_payload_bytes,sender2_payload_bytes,congestion_control,receivers,egress_buffer_bytes,run_end_ps,np_cnp_sent,np_cnps_suppressed,np_congestion_observed,rp_cnp_handled,rp_cnp_ignored,rp_rate_cuts,rp_rate_increases,rp_min_rate_bps,rp_rate_persistence_breaks,egress_offered,egress_admitted,egress_dropped,egress_offered_bytes,egress_admitted_bytes,egress_dropped_bytes,egress_high_watermark,rx_payload_bytes_receiver1,rx_discards_phy_receiver1,replay_identical,steady_goodput_bps,steady_wire_bps,steady_offered_bps,steady_tax,steady_cnp_per_s,kind,np_threshold_bytes,cnp_min_interval_ps,cnp_per_qp_per_s,pre_bps,cut30_ms,fair_ms,recovery_ms,slope_bps_per_ms,overlap_share,overlap_offered_bps,overlap_wire_bps,overlap_goodput_bps,alpha_init_ppm,rate_step_bps,offered_target_bps,max_share,min_share,packets_lost,burst_ratio,loss_rate,amplification,receiver_split,delivered_fraction,identity_differences,identity_difference_names,rx_drain_bps,alpha_gain_ppm,alpha_update_ps
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,2434,0,721281,96943,8642,8,2954366976,3000528960,2340000,249893194323,0,0,0,0,713884,624330,2557255680,2969757440,1326,1326,0,79430,262016,9043,8634,96943,0,0,20,0,1314914304,1237319680,0,1,1,5200000,250000000000,431,76171,76602,431,0,431,1992,10320305534,0,721281,713892,7389,3000528960,2969790720,30738240,5200000,0,0,1,95102435328.0,96588410880.0,96587878400.0,0.01538461538461533,2104.0,np_grid,65504,2000000000,263.0,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,2287,0,747966,161337,29234,8,3063668736,3111538560,2340000,249764582433,0,0,0,0,729782,586618,2402787328,3035893120,4341,4341,0,108214,262014,30091,29226,161337,0,0,67,0,1220542464,1177550848,0,1,1,5200000,250000000000,525,263794,264319,525,0,525,1992,11746319393,0,747966,729793,18173,3111538560,3035938880,75599680,5200000,0,0,1,95111348224.0,96597463040.0,96597729280.0,0.01538461538461533,2112.0,np_grid,65504,3530000000,264.0,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,72,0,1012557,943192,251329,24,4147433472,4212237120,2340000,212920986000,0,0,0,0,751187,69155,283258880,3124937920,25479,25479,0,377092,262014,257897,251305,943192,0,0,398,0,46137344,29360128,0,1,1,5200000,250000000000,336,750417,750753,336,0,336,1992,15728085916,0,1012557,752444,260113,4212237120,3130167040,1082070080,5200000,0,0,1,9597616128.0,100000010240.0,137434152960.0,0.9040238485479579,1344.0,np_grid,65504,6000000000,168.0,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,2440,0,723921,97941,8197,8,2965180416,3011511360,2340000,249954744517,0,0,0,0,715904,625971,2563977216,2978160640,1429,1429,0,80357,262016,8584,8189,97941,0,0,22,0,1244659712,1313865728,0,1,1,5200000,250000000000,441,92695,93136,441,0,441,1992,10428960541,0,723921,715913,8008,3011511360,2978198080,33313280,5200000,0,0,1,95114756096.0,96600924160.0,96601190400.0,0.01538461538461533,2136.0,np_grid,131008,2000000000,267.0,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,2264,0,749606,169151,32291,8,3070386176,3118360960,2340000,249985602196,0,0,0,0,730342,580445,2377502720,3038222720,4809,4809,0,111603,262015,33235,32283,169151,0,0,75,0,1170210816,1203765248,0,1,1,5200000,250000000000,528,413270,413798,528,0,528,1992,11794510933,0,749606,730352,19254,3118360960,3038264320,80096640,5200000,0,0,1,95082250240.0,96611307520.0,96611840000.0,0.01582689769190282,2176.0,np_grid,131008,3530000000,272.0,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,59,0,1018322,949133,259583,24,4171046912,4236219520,2340000,208909082000,0,0,0,0,751187,69002,282632192,3124937920,25479,25479,0,367063,262014,265800,259559,949133,0,0,398,0,27262976,34603008,0,1,1,5200000,250000000000,336,749954,750290,336,0,336,1992,15816740847,0,1018322,752444,265878,4236219520,3130167040,1106052480,5200000,0,0,1,9703784448.0,100000010240.0,138144747520.0,0.9029621654566743,1344.0,np_grid,131008,6000000000,168.0,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,2435,0,726543,102094,9784,8,2975920128,3022418880,2340000,249939394914,0,0,0,0,717871,624440,2557706240,2986343360,1523,1523,0,82015,262016,10344,9776,102094,0,0,23,0,1164967936,1388314624,0,1,1,5200000,250000000000,451,101363,101814,451,0,451,1992,10537114288,0,726543,717880,8663,3022418880,2986380800,36038080,5200000,0,0,1,95113183232.0,96599326720.0,96599326720.0,0.01538461538461533,2128.0,np_grid,196512,2000000000,266.0,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,2237,0,751411,177502,34375,9,3077779456,3125869760,2340000,249798309260,0,0,0,0,730906,573898,2350686208,3040568960,5243,5243,0,115568,262016,35249,34366,177502,0,0,81,0,1124073472,1221591040,0,1,1,5200000,250000000000,534,426563,427097,534,0,534,1992,11831334768,0,751411,730917,20494,3125869760,3040614720,85255040,5200000,0,0,1,95100076032.0,96606781440.0,96607047680.0,0.01559626959454985,2160.0,np_grid,196512,3530000000,270.0,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,28,0,1023043,959969,258445,24,4190384128,4255858880,2340000,213294760400,0,0,0,0,751187,62989,258002944,3124937920,25479,25479,0,377220,262014,264692,258421,959969,0,0,398,0,9437184,19922944,0,1,1,5200000,250000000000,336,749491,749827,336,0,336,1992,15904885731,0,1023043,752445,270598,4255858880,3130171200,1125687680,5200000,0,0,1,8957198336.0,100000010240.0,138709975040.0,0.9104280258121702,1344.0,np_grid,196512,6000000000,168.0,,,,,,,,,,,,,,,,,,,,,,,,,
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,12008,0,7287751,4213335,1430430,160,29850628096,30317044160,2340000,2399982549406,0,0,0,0,6452679,3074408,12592775168,26843144640,125159,125159,0,1697748,262016,1478198,1430270,4213335,0,0,1955,0,11449401344,1141899264,0,1,1,5200000,2400000000000,3070,3981491,3984561,3070,0,3070,19192,11797459622,0,7287751,6452687,835064,30317044160,26843177920,3473866240,5200000,0,0,1,,,,,,rp_grid,,,,96524646400.0,310.0,5.0,446.0,92744365.93304068,0.48283882188985416,91188198400.0,88831213714.28572,17653432320.0,250000,22500000,,,,,,,,,,,,,,
