check,cell,measured,reference,band,verdict,note
np_rate,131008B/3.53ms,272.0,283,30 percent,PASS,
np_grid_direction,threshold 65504B,263;264;168,non-increasing in the limiter interval,categorical,FAIL,
np_grid_direction,threshold 131008B,267;272;168,non-increasing in the limiter interval,categorical,FAIL,
np_grid_direction,threshold 196512B,266;270;168,non-increasing in the limiter interval,categorical,FAIL,
lone_quiet,80Gb/s x1,0,0,exact,PASS,
lone_rate_intact,80Gb/s x1,80.00,80.00,2 percent,PASS,
lone_quiet,80Gb/s x4,0,0,exact,PASS,
lone_rate_intact,80Gb/s x4,80.00,80.00,2 percent,PASS,
lone_quiet,90Gb/s x1,0,0,exact,PASS,
lone_rate_intact,90Gb/s x1,90.00,90.00,2 percent,PASS,
lone_quiet,90Gb/s x4,0,0,exact,PASS,
lone_rate_intact,90Gb/s x4,90.00,90.00,2 percent,PASS,
rp_cut,alpha 500000ppm step 27.5Mb,293.0,3 to 39 ms,measured range,FAIL,
rp_fair_time,alpha 500000ppm step 27.5Mb,5.0,5 to 2300 ms,measured range,PASS,
rp_recovery,alpha 500000ppm step 27.5Mb,526.0,337 to 557 ms,measured range,PASS,
rp_slope,alpha 500000ppm step 27.5Mb,0.0721,0.10,25 percent,FAIL,
rp_steady,alpha 500000ppm step 27.5Mb split,51.45,50,2 points,PASS,
rp_steady,alpha 500000ppm step 27.5Mb wire,101.40,97,at least,PASS,
rp_persistent,alpha 500000ppm step 27.5Mb,0,0,exact,PASS,
incast_wire,5.2MB/1MiB/2,98.50,97,at least,PASS,
incast_goodput,5.2MB/1MiB/2 goodput,94.06,73.89,15 percent,FAIL,
incast_goodput,5.2MB/1MiB/2 tax,3.17,21 to 27,window,FAIL,
incast_fair,5.2MB/1MiB/2,50.69,50,2 points,PASS,
incast_seq_err_bursts,5.2MB/64KiB/2,0.15,at least 2,ratio,FAIL,packets lost over packet_seq_err
incast_seq_err_bursts,5.2MB/64KiB/3,0.59,at least 2,ratio,FAIL,packets lost over packet_seq_err
