kind,size_bytes,depth,gap_ps,burst_messages,senders,qps,loss_ppm,offered_pps,offered_bps,messages,completions,errors,packets_issued,packets_retransmitted,recovery_episodes,timeouts,payload_bytes,wire_bytes,first_packet_ps,last_completion_ps,warm_start_ps,warm_payload_bytes,gap_time_ps,injected_losses,rx_packets_offered,rx_packets_delivered,rx_payload_bytes,rx_bytes_phy,rx_discards_phy,rx_discards_meter,rx_discards_rate,rx_discards_sequence,rx_high_watermark,out_of_sequence,packet_seq_err,roce_adp_retrans,local_ack_timeout_err,np_ecn_marked,tx_pause_ctrl_phy,late_releases,sender0_payload_bytes,sender1_payload_bytes,replay_identical,goodput_gbps,steady_gbps,in_burst_gbps,delivered_mpps
gap,8192,1024,0,128,1,1,0,0,0,8192,8192,0,19399,3015,335,0,79458304,80699840,2340000,6550988536,3163836981,33554432,0,0,19399,16384,67108864,80699840,335,335,0,2680,262016,335,335,3015,0,0,5,0,67108864,0,1,81.9527,79.2511,81.9527,
gap,8192,1024,4000000,128,1,1,0,0,0,8192,8192,0,16384,0,0,0,67108864,68157440,2340000,6067472958,3031736479,33554432,252000000,0,16384,16384,67108864,68157440,0,0,0,0,25859,0,0,0,0,0,0,0,67108864,0,1,88.4834,88.4252,92.3177,
gap,8192,1024,100000000,128,1,1,0,0,0,8192,8192,0,16384,0,0,0,67108864,68157440,2340000,12115472958,6007736479,33554432,6300000000,0,16384,16384,67108864,68157440,0,0,0,0,25859,0,0,0,0,0,0,0,67108864,0,1,44.3128,43.9501,92.3177,
gap,8192,1024,368000000,128,1,1,0,0,0,8192,8192,0,16384,0,0,0,67108864,68157440,2340000,28999472958,14315736479,33554432,23184000000,0,16384,16384,67108864,68157440,0,0,0,0,25859,0,0,0,0,0,0,0,67108864,0,1,18.5131,18.2811,92.3177,
gap,65536,1024,0,128,1,1,0,0,0,1024,1024,0,19399,3015,335,0,79458304,80699840,2340000,6550988536,3163836981,33554432,0,0,19399,16384,67108864,80699840,335,335,0,2680,262016,335,335,3015,0,0,5,0,67108864,0,1,81.9527,79.2511,81.9527,
gap,65536,1024,4000000,128,1,1,0,0,0,1024,1024,0,17460,1076,120,0,71516160,72633600,2340000,5957056320,2912877892,33554432,28000000,0,17460,16384,67108864,72633600,120,120,0,956,262016,120,120,1076,0,0,1,0,67108864,0,1,90.1235,88.1799,90.5491,
gap,65536,1024,100000000,128,1,1,0,0,0,1024,1024,0,16384,0,0,0,67108864,68157440,2340000,6264854284,3082427140,33554432,700000000,0,16384,16384,67108864,68157440,0,0,0,0,178343,0,0,0,0,0,0,0,67108864,0,1,85.6957,84.3493,96.4753,
gap,65536,1024,368000000,128,1,1,0,0,0,1024,1024,0,16384,0,0,0,67108864,68157440,2340000,8140854284,3886427140,33554432,2576000000,0,16384,16384,67108864,68157440,0,0,0,0,178343,0,0,0,0,0,0,0,67108864,0,1,65.9477,63.0956,96.4753,
gap,1048576,1024,0,128,1,1,0,0,0,384,384,0,119805,21501,2389,0,490721280,498388800,2340000,40434652882,20105669154,201326592,0,0,119805,98304,402653184,498388800,2389,2389,0,19112,262016,2389,2389,21501,0,0,37,0,402653184,0,1,79.6650,79.2274,79.6650,
gap,1048576,1024,4000000,128,1,1,0,0,0,384,384,0,119263,20959,2329,0,488501248,496134080,2340000,40269109811,20023028525,201326592,8000000,0,119263,98304,402653184,496134080,2329,2329,0,18630,262016,2329,2329,20959,0,0,36,0,402653184,0,1,79.9925,79.5518,80.0084,
