profile,size_bytes,depth,mtu_bytes,messages,packets,payload_bytes,wire_bytes,last_completion_ps,goodput_gbps,packet_rate_mpps
cx5_100g,4096,1,4096,8192,8192,33554432,34078720,39426457600,6.808511,0.207779
cx5_100g,4096,16,4096,8192,8192,33554432,34078720,2769001141,96.943064,2.958468
cx5_100g,4096,1024,4096,8192,8192,33554432,34078720,2769001141,96.943064,2.958468
cx5_100g,8192,1,4096,4096,8192,33554432,34078720,21095491700,12.724778,0.388329
cx5_100g,8192,16,4096,4096,8192,33554432,34078720,2769001141,96.943064,2.958468
cx5_100g,8192,1024,4096,4096,8192,33554432,34078720,2769001141,96.943064,2.958468
cx5_100g,16384,1,4096,2048,8192,33554432,34078720,11930008754,22.500860,0.686672
cx5_100g,16384,16,4096,2048,8192,33554432,34078720,2769001141,96.943064,2.958468
cx5_100g,16384,1024,4096,4096,16384,67108864,68157440,5533526950,97.021469,2.960860
cx5_100g,65536,1,4096,512,8192,33554432,34078720,5055896544,53.093542,1.620286
cx5_100g,65536,16,4096,512,8192,33554432,34078720,2769001141,96.943064,2.958468
cx5_100g,65536,1024,4096,4096,65536,268435456,272629760,22120681801,97.080355,2.962657
cx5_100g,262144,1,4096,128,8192,33554432,34078720,3337368494,80.433268,2.454629
cx5_100g,262144,16,4096,128,8192,33554432,34078720,2769001141,96.943064,2.958468
cx5_100g,262144,1024,4096,4096,262144,1073741824,1090519040,88469301203,97.095088,2.963107
cx5_100g,1048576,1,4096,32,8192,33554432,34078720,2907736479,92.317670,2.817312
cx5_100g,1048576,16,4096,64,16384,67108864,68157440,5533526950,97.021469,2.960860
cx5_100g,1048576,1024,4096,1024,262144,1073741824,1090519040,88469301203,97.095088,2.963107
cx5_100g,1048576,1024,1024,256,262144,268435456,285212672,23141433237,92.798213,11.327907
cx5_100g,1024,1024,4096,32768,32768,33554432,35651584,8471492104,31.686916,3.868032
cx7_400g,4096,1,4096,8192,8192,33554432,34078720,37381734400,7.180926,0.219144
cx7_400g,4096,16,4096,8192,8192,33554432,34078720,2361332149,113.679669,3.469228
cx7_400g,4096,1024,4096,8192,8192,33554432,34078720,695610285,385.899205,11.776709
cx7_400g,8192,1,4096,4096,8192,33554432,34078720,19036432928,14.101143,0.430333
cx7_400g,8192,16,4096,4096,8192,33554432,34078720,1203621576,223.023134,6.806126
cx7_400g,8192,1024,4096,4096,8192,33554432,34078720,695610285,385.899205,11.776709
cx7_400g,16384,1,4096,2048,8192,33554432,34078720,9863782192,27.214252,0.830513
cx7_400g,16384,16,4096,2048,8192,33554432,34078720,695610285,385.899205,11.776709
cx7_400g,16384,1024,4096,4096,16384,67108864,68157440,1386741737,387.145564,11.814745
cx7_400g,65536,1,4096,512,8192,33554432,34078720,2984294137,89.949396,2.745038
cx7_400g,65536,16,4096,512,8192,33554432,34078720,695610285,385.899205,11.776709
cx7_400g,65536,1024,4096,4096,65536,268435456,272629760,5533530450,388.085629,11.843434
cx7_400g,262144,1,4096,128,8192,33554432,34078720,1264422124,212.298924,6.478849
cx7_400g,262144,16,4096,128,8192,33554432,34078720,695610285,385.899205,11.776709
cx7_400g,262144,1024,4096,4096,262144,1073741824,1090519040,22120685300,388.321360,11.850627
cx7_400g,1048576,1,4096,32,8192,33554432,34078720,834454120,321.689892,9.817196
cx7_400g,1048576,16,4096,64,16384,67108864,68157440,1386741737,387.145564,11.814745
cx7_400g,1048576,1024,4096,1024,262144,1073741824,1090519040,22120685300,388.321360,11.850627
cx7_400g,1048576,1024,1024,256,262144,268435456,285212672,5788718309,370.977397,45.285327
cx7_400g,1024,1024,4096,32768,32768,33554432,35651584,2121233026,126.546896,15.447619
