check,cell,measured,reference,band,verdict,note
depth1_law,cx5_100g/4096,6.80851,6.80192,15 percent,PASS,
depth1_law,cx5_100g/8192,12.7248,12.7133,15 percent,PASS,
depth1_law,cx5_100g/16384,22.5009,22.4828,15 percent,PASS,
depth1_law,cx5_100g/65536,53.0935,53.0685,15 percent,PASS,
depth1_law,cx5_100g/262144,80.4333,80.4189,15 percent,PASS,
depth1_law,cx5_100g/1048576,92.3177,92.3129,15 percent,PASS,
depth1_law,cx7_400g/4096,7.18093,7.17909,15 percent,PASS,
depth1_law,cx7_400g/8192,14.1011,14.0976,15 percent,PASS,
depth1_law,cx7_400g/16384,27.2143,27.2077,15 percent,PASS,
depth1_law,cx7_400g/65536,89.9494,89.9314,15 percent,PASS,
depth1_law,cx7_400g/262144,212.299,212.274,15 percent,PASS,
depth1_law,cx7_400g/1048576,321.69,321.676,15 percent,PASS,
depth_ratio_law,cx5_100g/8192,7.61845,7.6377,2 percent,PASS,the lossless pipeline must saturate at the goodput ceiling
depth_ratio_measured,cx5_100g/8192,7.61845,5.9,20 percent,FAIL,residual owned by the ingress meter (BACK-56)
depth_ratio_law,cx5_100g/65536,1.82848,1.82971,2 percent,PASS,the lossless pipeline must saturate at the goodput ceiling
depth_ratio_measured,cx5_100g/65536,1.82848,1.57,20 percent,PASS,
depth_ratio_law,cx7_400g/8192,27.3665,27.5508,2 percent,PASS,the lossless pipeline must saturate at the goodput ceiling
depth_ratio_law,cx7_400g/65536,4.31449,4.31885,2 percent,PASS,the lossless pipeline must saturate at the goodput ceiling
mtu_tax,cx5_100g/1 MiB,4.42543,5.6,2 percentage points,PASS,
mtu_tax,cx7_400g/1 MiB,4.46639,5.6,2 percentage points,PASS,
cx7_scaling,cx7_400g/4096,7.18093,7.17909,1 percent,PASS,
cx7_scaling,cx7_400g/8192,14.1011,14.0976,1 percent,PASS,
cx7_scaling,cx7_400g/16384,27.2143,27.2077,1 percent,PASS,
cx7_scaling,cx7_400g/65536,89.9494,89.9314,1 percent,PASS,
cx7_scaling,cx7_400g/262144,212.299,212.274,1 percent,PASS,
cx7_scaling,cx7_400g/1048576,321.69,321.676,1 percent,PASS,
pps_ceiling,cx5_100g/1 KiB,3.86803,3.87,5 percent,PASS,
pps_ceiling,cx7_400g/1 KiB,15.4476,15.48,5 percent,PASS,
depth_monotone,cx5_100g/4096,96.9431,6.80851,non-decreasing,PASS,
depth_monotone,cx5_100g/8192,96.9431,12.7248,non-decreasing,PASS,
depth_monotone,cx5_100g/16384,97.0215,22.5009,non-decreasing,PASS,
depth_monotone,cx5_100g/65536,97.0804,53.0935,non-decreasing,PASS,
depth_monotone,cx5_100g/262144,97.0951,80.4333,non-decreasing,PASS,
depth_monotone,cx5_100g/1048576,97.0951,92.3177,non-decreasing,PASS,
depth_monotone,cx7_400g/4096,385.899,7.18093,non-decreasing,PASS,
depth_monotone,cx7_400g/8192,385.899,14.1011,non-decreasing,PASS,
depth_monotone,cx7_400g/16384,387.146,27.2143,non-decreasing,PASS,
depth_monotone,cx7_400g/65536,388.086,89.9494,non-decreasing,PASS,
depth_monotone,cx7_400g/262144,388.321,212.299,non-decreasing,PASS,
depth_monotone,cx7_400g/1048576,388.321,321.69,non-decreasing,PASS,
ceiling_bound,cx5_100g,97.0951,97.1,at or below the ceiling,PASS,
ceiling_bound,cx7_400g,388.321,388.4,at or below the ceiling,PASS,
