coupling,producer_shape,sm_occupancy,background_shared_bytes,baseline_submission_cycle,task_present,task_submitted_cycle,task_eligible_cycle,task_started_cycle,task_finished_cycle,task_completed_cycle,task_issued_instructions,task_hbm_requested_bytes,task_hbm_transacted_bytes,task_hbm_request_instructions,task_nvlink_requested_bytes,task_nvlink_transacted_bytes,task_nvlink_request_instructions,effective_submission_cycle,submission_delay_cycles,native_linked_records,native_record_submission_ps,native_invariants_valid
disabled,host_cpu_driver,idle,0,16,0,,,,,,,,,,,,,16,0,0,0,0
disabled,host_cpu_driver,half,32768,16,0,,,,,,,,,,,,,16,0,0,0,0
disabled,host_cpu_driver,saturated,65536,16,0,,,,,,,,,,,,,16,0,0,0,0
disabled,cpu_proxy,idle,0,16,0,,,,,,,,,,,,,16,0,0,0,0
disabled,cpu_proxy,half,32768,16,0,,,,,,,,,,,,,16,0,0,0,0
disabled,cpu_proxy,saturated,65536,16,0,,,,,,,,,,,,,16,0,0,0,0
disabled,gpu_initiated,idle,0,16,0,,,,,,,,,,,,,16,0,0,0,0
disabled,gpu_initiated,half,32768,16,0,,,,,,,,,,,,,16,0,0,0,0
disabled,gpu_initiated,saturated,65536,16,0,,,,,,,,,,,,,16,0,0,0,0
enabled,host_cpu_driver,idle,0,16,0,,,,,,,,,,,,,16,0,0,0,0
enabled,host_cpu_driver,half,32768,16,0,,,,,,,,,,,,,16,0,0,0,0
enabled,host_cpu_driver,saturated,65536,16,0,,,,,,,,,,,,,16,0,0,0,0
enabled,cpu_proxy,idle,0,16,1,0,0,0,4,4,2,64,64,1,0,0,0,16,0,1,16000,1
enabled,cpu_proxy,half,32768,16,1,0,0,0,5,5,2,64,64,1,0,0,0,16,0,1,16000,1
enabled,cpu_proxy,saturated,65536,16,1,0,0,32,36,36,2,64,64,1,0,0,0,36,20,1,36000,1
enabled,gpu_initiated,idle,0,16,1,0,0,0,7,7,3,68,68,2,0,0,0,16,0,1,16000,1
enabled,gpu_initiated,half,32768,16,1,0,0,0,8,8,3,68,68,2,0,0,0,16,0,1,16000,1
enabled,gpu_initiated,saturated,65536,16,1,0,0,32,39,39,3,68,68,2,0,0,0,39,23,1,39000,1
