evidence_class,family,cell_id,status,mismatch_count,clause,expected,actual
behavioral,F1,f1-budget16-seqs1,PASS,0,F1 budget by sequence cap,"{""decision_steps"": 6, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 6}"
behavioral,F1,f1-budget16-seqs2,PASS,0,F1 budget by sequence cap,"{""decision_steps"": 4, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 4}"
behavioral,F1,f1-budget24-seqs1,PASS,0,F1 budget by sequence cap,"{""decision_steps"": 6, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 6}"
behavioral,F1,f1-budget24-seqs2,PASS,0,F1 budget by sequence cap,"{""decision_steps"": 4, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 4}"
behavioral,F2,f2-budget-minus-one,PASS,0,F2 prompt at budget minus one with chunking enabled,"{""decision_steps"": 1, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 1}"
behavioral,F2,f2-budget,PASS,0,F2 prompt at budget with chunking enabled,"{""decision_steps"": 1, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 1}"
behavioral,F2,f2-budget-plus-one,PASS,0,F2 prompt at budget plus one with chunking enabled,"{""decision_steps"": 2, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 2}"
behavioral,F2,f2-threshold-one,PASS,0,F2 one long-prefill-threshold extent with chunking enabled,"{""decision_steps"": 1, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 1}"
behavioral,F2,f2-threshold-two,PASS,0,F2 two long-prefill-threshold extents with chunking enabled,"{""decision_steps"": 2, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 2}"
behavioral,F2,f2-threshold-three,PASS,0,F2 three long-prefill-threshold extents with chunking enabled,"{""decision_steps"": 3, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 3}"
